,item,clause_type,locality,c-command,grammatical,counterbalance,subject,mismatch_position,mismatch_feature,matrix_subj_noun,rc_subj_noun,verb,pronoun,sentence,sentence_no_eos,bert_sentence,surprisal
37,4,simple,local,c-command,1,b,male,none,none,fathers,boys,considered,themselves,The fathers that the boys liked considered themselves . <eos>,The fathers that the boys liked considered themselves .,the fathers that the boys liked considered ***mask*** .,0.0014867454636492766
38,4,simple,local,c-command,1,a,female,none,none,girls,mothers,considered,themselves,The girls that the mothers liked considered themselves . <eos>,The girls that the mothers liked considered themselves .,the girls that the mothers liked considered ***mask*** .,0.0013995123614828117
39,4,simple,local,c-command,1,b,female,none,none,mothers,girls,considered,themselves,The mothers that the girls liked considered themselves . <eos>,The mothers that the girls liked considered themselves .,the mothers that the girls liked considered ***mask*** .,0.0009544612029661753
40,4,simple,local,no-c-command,0,a,male,matrix_subj,number,boy,fathers,considered,themselves,The boy that the fathers liked considered themselves . <eos>,The boy that the fathers liked considered themselves .,the boy that the fathers liked considered ***mask*** .,0.15501536772386687
41,4,simple,local,no-c-command,0,b,male,matrix_subj,number,father,boys,considered,themselves,The father that the boys liked considered themselves . <eos>,The father that the boys liked considered themselves .,the father that the boys liked considered ***mask*** .,0.2789223227922692
42,4,simple,local,no-c-command,0,a,female,matrix_subj,number,girl,mothers,considered,themselves,The girl that the mothers liked considered themselves . <eos>,The girl that the mothers liked considered themselves .,the girl that the mothers liked considered ***mask*** .,0.09636262752338041
43,4,simple,local,no-c-command,0,b,female,matrix_subj,number,mother,girls,considered,themselves,The mother that the girls liked considered themselves . <eos>,The mother that the girls liked considered themselves .,the mother that the girls liked considered ***mask*** .,0.22273871963135905
44,4,simple,local,c-command,1,a,male,rc_subj,number,boys,father,considered,themselves,The boys that the father liked considered themselves . <eos>,The boys that the father liked considered themselves .,the boys that the father liked considered ***mask*** .,0.0007577080969775314
45,4,simple,local,c-command,1,b,male,rc_subj,number,fathers,boy,considered,themselves,The fathers that the boy liked considered themselves . <eos>,The fathers that the boy liked considered themselves .,the fathers that the boy liked considered ***mask*** .,0.0015557816505909776
46,4,simple,local,c-command,1,a,female,rc_subj,number,girls,mother,considered,themselves,The girls that the mother liked considered themselves . <eos>,The girls that the mother liked considered themselves .,the girls that the mother liked considered ***mask*** .,0.0013918148893706894
47,4,simple,local,c-command,1,b,female,rc_subj,number,mothers,girl,considered,themselves,The mothers that the girl liked considered themselves . <eos>,The mothers that the girl liked considered themselves .,the mothers that the girl liked considered ***mask*** .,0.0007409118986886106
48,5,simple,local,c-command,1,a,male,none,none,boys,fathers,identified,themselves,The boys that the fathers liked identified themselves . <eos>,The boys that the fathers liked identified themselves .,the boys that the fathers liked identified ***mask*** .,5.598072024150101e-05
49,5,simple,local,c-command,1,b,male,none,none,fathers,boys,identified,themselves,The fathers that the boys liked identified themselves . <eos>,The fathers that the boys liked identified themselves .,the fathers that the boys liked identified ***mask*** .,4.020400885624056e-05
50,5,simple,local,c-command,1,a,female,none,none,girls,mothers,identified,themselves,The girls that the mothers liked identified themselves . <eos>,The girls that the mothers liked identified themselves .,the girls that the mothers liked identified ***mask*** .,6.545524325413528e-05
51,5,simple,local,c-command,1,b,female,none,none,mothers,girls,identified,themselves,The mothers that the girls liked identified themselves . <eos>,The mothers that the girls liked identified themselves .,the mothers that the girls liked identified ***mask*** .,4.954399521589592e-05
52,5,simple,local,no-c-command,0,a,male,matrix_subj,number,boy,fathers,identified,themselves,The boy that the fathers liked identified themselves . <eos>,The boy that the fathers liked identified themselves .,the boy that the fathers liked identified ***mask*** .,0.0012905319513126432
53,5,simple,local,no-c-command,0,b,male,matrix_subj,number,father,boys,identified,themselves,The father that the boys liked identified themselves . <eos>,The father that the boys liked identified themselves .,the father that the boys liked identified ***mask*** .,0.0009288214832651066
54,5,simple,local,no-c-command,0,a,female,matrix_subj,number,girl,mothers,identified,themselves,The girl that the mothers liked identified themselves . <eos>,The girl that the mothers liked identified themselves .,the girl that the mothers liked identified ***mask*** .,0.0005445764497163915
55,5,simple,local,no-c-command,0,b,female,matrix_subj,number,mother,girls,identified,themselves,The mother that the girls liked identified themselves . <eos>,The mother that the girls liked identified themselves .,the mother that the girls liked identified ***mask*** .,0.000644644898339603
56,5,simple,local,c-command,1,a,male,rc_subj,number,boys,father,identified,themselves,The boys that the father liked identified themselves . <eos>,The boys that the father liked identified themselves .,the boys that the father liked identified ***mask*** .,5.092277131402975e-05
57,5,simple,local,c-command,1,b,male,rc_subj,number,fathers,boy,identified,themselves,The fathers that the boy liked identified themselves . <eos>,The fathers that the boy liked identified themselves .,the fathers that the boy liked identified ***mask*** .,7.092047501820506e-05
58,5,simple,local,c-command,1,a,female,rc_subj,number,girls,mother,identified,themselves,The girls that the mother liked identified themselves . <eos>,The girls that the mother liked identified themselves .,the girls that the mother liked identified ***mask*** .,7.300056550566049e-05
59,5,simple,local,c-command,1,b,female,rc_subj,number,mothers,girl,identified,themselves,The mothers that the girl liked identified themselves . <eos>,The mothers that the girl liked identified themselves .,the mothers that the girl liked identified ***mask*** .,5.789645350832284e-05
60,6,simple,local,c-command,1,a,male,none,none,boys,fathers,made,themselves,The boys that the fathers liked made themselves . <eos>,The boys that the fathers liked made themselves .,the boys that the fathers liked made ***mask*** .,0.04116728571161936
61,6,simple,local,c-command,1,b,male,none,none,fathers,boys,made,themselves,The fathers that the boys liked made themselves . <eos>,The fathers that the boys liked made themselves .,the fathers that the boys liked made ***mask*** .,0.11356464590284643
62,6,simple,local,c-command,1,a,female,none,none,girls,mothers,made,themselves,The girls that the mothers liked made themselves . <eos>,The girls that the mothers liked made themselves .,the girls that the mothers liked made ***mask*** .,0.03706071237311145
63,6,simple,local,c-command,1,b,female,none,none,mothers,girls,made,themselves,The mothers that the girls liked made themselves . <eos>,The mothers that the girls liked made themselves .,the mothers that the girls liked made ***mask*** .,0.05426433838987038
64,6,simple,local,no-c-command,0,a,male,matrix_subj,number,boy,fathers,made,themselves,The boy that the fathers liked made themselves . <eos>,The boy that the fathers liked made themselves .,the boy that the fathers liked made ***mask*** .,0.4207167840991463
65,6,simple,local,no-c-command,0,b,male,matrix_subj,number,father,boys,made,themselves,The father that the boys liked made themselves . <eos>,The father that the boys liked made themselves .,the father that the boys liked made ***mask*** .,0.6700021189883522
66,6,simple,local,no-c-command,0,a,female,matrix_subj,number,girl,mothers,made,themselves,The girl that the mothers liked made themselves . <eos>,The girl that the mothers liked made themselves .,the girl that the mothers liked made ***mask*** .,0.2613495520453405
67,6,simple,local,no-c-command,0,b,female,matrix_subj,number,mother,girls,made,themselves,The mother that the girls liked made themselves . <eos>,The mother that the girls liked made themselves .,the mother that the girls liked made ***mask*** .,0.3993296127159258
68,6,simple,local,c-command,1,a,male,rc_subj,number,boys,father,made,themselves,The boys that the father liked made themselves . <eos>,The boys that the father liked made themselves .,the boys that the father liked made ***mask*** .,0.07952509124969201
69,6,simple,local,c-command,1,b,male,rc_subj,number,fathers,boy,made,themselves,The fathers that the boy liked made themselves . <eos>,The fathers that the boy liked made themselves .,the fathers that the boy liked made ***mask*** .,0.1540237813907485
70,6,simple,local,c-command,1,a,female,rc_subj,number,girls,mother,made,themselves,The girls that the mother liked made themselves . <eos>,The girls that the mother liked made themselves .,the girls that the mother liked made ***mask*** .,0.06560816762848372
71,6,simple,local,c-command,1,b,female,rc_subj,number,mothers,girl,made,themselves,The mothers that the girl liked made themselves . <eos>,The mothers that the girl liked made themselves .,the mothers that the girl liked made ***mask*** .,0.08171041194903998
72,7,simple,local,c-command,1,a,male,none,none,boys,fathers,found,themselves,The boys that the fathers liked found themselves . <eos>,The boys that the fathers liked found themselves .,the boys that the fathers liked found ***mask*** .,0.0010476076050385291
73,7,simple,local,c-command,1,b,male,none,none,fathers,boys,found,themselves,The fathers that the boys liked found themselves . <eos>,The fathers that the boys liked found themselves .,the fathers that the boys liked found ***mask*** .,0.0011027659176502883
74,7,simple,local,c-command,1,a,female,none,none,girls,mothers,found,themselves,The girls that the mothers liked found themselves . <eos>,The girls that the mothers liked found themselves .,the girls that the mothers liked found ***mask*** .,0.0011462661776393554
75,7,simple,local,c-command,1,b,female,none,none,mothers,girls,found,themselves,The mothers that the girls liked found themselves . <eos>,The mothers that the girls liked found themselves .,the mothers that the girls liked found ***mask*** .,0.000715489540944864
76,7,simple,local,no-c-command,0,a,male,matrix_subj,number,boy,fathers,found,themselves,The boy that the fathers liked found themselves . <eos>,The boy that the fathers liked found themselves .,the boy that the fathers liked found ***mask*** .,0.11004323377736472
77,7,simple,local,no-c-command,0,b,male,matrix_subj,number,father,boys,found,themselves,The father that the boys liked found themselves . <eos>,The father that the boys liked found themselves .,the father that the boys liked found ***mask*** .,0.05686138813136218
78,7,simple,local,no-c-command,0,a,female,matrix_subj,number,girl,mothers,found,themselves,The girl that the mothers liked found themselves . <eos>,The girl that the mothers liked found themselves .,the girl that the mothers liked found ***mask*** .,0.03218728825959919
79,7,simple,local,no-c-command,0,b,female,matrix_subj,number,mother,girls,found,themselves,The mother that the girls liked found themselves . <eos>,The mother that the girls liked found themselves .,the mother that the girls liked found ***mask*** .,0.018346073821578504
80,7,simple,local,c-command,1,a,male,rc_subj,number,boys,father,found,themselves,The boys that the father liked found themselves . <eos>,The boys that the father liked found themselves .,the boys that the father liked found ***mask*** .,0.0013733997885991866
81,7,simple,local,c-command,1,b,male,rc_subj,number,fathers,boy,found,themselves,The fathers that the boy liked found themselves . <eos>,The fathers that the boy liked found themselves .,the fathers that the boy liked found ***mask*** .,0.002047437242188721
82,7,simple,local,c-command,1,a,female,rc_subj,number,girls,mother,found,themselves,The girls that the mother liked found themselves . <eos>,The girls that the mother liked found themselves .,the girls that the mother liked found ***mask*** .,0.0018301285879416182
83,7,simple,local,c-command,1,b,female,rc_subj,number,mothers,girl,found,themselves,The mothers that the girl liked found themselves . <eos>,The mothers that the girl liked found themselves .,the mothers that the girl liked found ***mask*** .,0.001117202138500655
84,8,simple,local,c-command,1,a,male,none,none,boys,fathers,distinguished,themselves,The boys that the fathers liked distinguished themselves . <eos>,The boys that the fathers liked distinguished themselves .,the boys that the fathers liked distinguished ***mask*** .,8.796866480488654e-05
85,8,simple,local,c-command,1,b,male,none,none,fathers,boys,distinguished,themselves,The fathers that the boys liked distinguished themselves . <eos>,The fathers that the boys liked distinguished themselves .,the fathers that the boys liked distinguished ***mask*** .,0.0005788288424686187
86,8,simple,local,c-command,1,a,female,none,none,girls,mothers,distinguished,themselves,The girls that the mothers liked distinguished themselves . <eos>,The girls that the mothers liked distinguished themselves .,the girls that the mothers liked distinguished ***mask*** .,2.0941316072692834e-05
87,8,simple,local,c-command,1,b,female,none,none,mothers,girls,distinguished,themselves,The mothers that the girls liked distinguished themselves . <eos>,The mothers that the girls liked distinguished themselves .,the mothers that the girls liked distinguished ***mask*** .,1.6066323920240035e-05
88,8,simple,local,no-c-command,0,a,male,matrix_subj,number,boy,fathers,distinguished,themselves,The boy that the fathers liked distinguished themselves . <eos>,The boy that the fathers liked distinguished themselves .,the boy that the fathers liked distinguished ***mask*** .,0.0033948274699235814
89,8,simple,local,no-c-command,0,b,male,matrix_subj,number,father,boys,distinguished,themselves,The father that the boys liked distinguished themselves . <eos>,The father that the boys liked distinguished themselves .,the father that the boys liked distinguished ***mask*** .,0.006023576926502072
90,8,simple,local,no-c-command,0,a,female,matrix_subj,number,girl,mothers,distinguished,themselves,The girl that the mothers liked distinguished themselves . <eos>,The girl that the mothers liked distinguished themselves .,the girl that the mothers liked distinguished ***mask*** .,0.00038921442209295887
91,8,simple,local,no-c-command,0,b,female,matrix_subj,number,mother,girls,distinguished,themselves,The mother that the girls liked distinguished themselves . <eos>,The mother that the girls liked distinguished themselves .,the mother that the girls liked distinguished ***mask*** .,0.0015406910444015103
92,8,simple,local,c-command,1,a,male,rc_subj,number,boys,father,distinguished,themselves,The boys that the father liked distinguished themselves . <eos>,The boys that the father liked distinguished themselves .,the boys that the father liked distinguished ***mask*** .,0.00011299698016700939
93,8,simple,local,c-command,1,b,male,rc_subj,number,fathers,boy,distinguished,themselves,The fathers that the boy liked distinguished themselves . <eos>,The fathers that the boy liked distinguished themselves .,the fathers that the boy liked distinguished ***mask*** .,0.00034527962699239614
94,8,simple,local,c-command,1,a,female,rc_subj,number,girls,mother,distinguished,themselves,The girls that the mother liked distinguished themselves . <eos>,The girls that the mother liked distinguished themselves .,the girls that the mother liked distinguished ***mask*** .,6.526264451457817e-05
95,8,simple,local,c-command,1,b,female,rc_subj,number,mothers,girl,distinguished,themselves,The mothers that the girl liked distinguished themselves . <eos>,The mothers that the girl liked distinguished themselves .,the mothers that the girl liked distinguished ***mask*** .,5.359694215786751e-05
96,9,simple,local,c-command,1,a,male,none,none,boys,fathers,taught,themselves,The boys that the fathers liked taught themselves . <eos>,The boys that the fathers liked taught themselves .,the boys that the fathers liked taught ***mask*** .,0.004590242752474245
97,9,simple,local,c-command,1,b,male,none,none,fathers,boys,taught,themselves,The fathers that the boys liked taught themselves . <eos>,The fathers that the boys liked taught themselves .,the fathers that the boys liked taught ***mask*** .,0.004726578515960723
98,9,simple,local,c-command,1,a,female,none,none,girls,mothers,taught,themselves,The girls that the mothers liked taught themselves . <eos>,The girls that the mothers liked taught themselves .,the girls that the mothers liked taught ***mask*** .,0.004353432030824016
99,9,simple,local,c-command,1,b,female,none,none,mothers,girls,taught,themselves,The mothers that the girls liked taught themselves . <eos>,The mothers that the girls liked taught themselves .,the mothers that the girls liked taught ***mask*** .,0.0046334251568456
100,9,simple,local,no-c-command,0,a,male,matrix_subj,number,boy,fathers,taught,themselves,The boy that the fathers liked taught themselves . <eos>,The boy that the fathers liked taught themselves .,the boy that the fathers liked taught ***mask*** .,0.07303935405084241
101,9,simple,local,no-c-command,0,b,male,matrix_subj,number,father,boys,taught,themselves,The father that the boys liked taught themselves . <eos>,The father that the boys liked taught themselves .,the father that the boys liked taught ***mask*** .,0.035170052948385
102,9,simple,local,no-c-command,0,a,female,matrix_subj,number,girl,mothers,taught,themselves,The girl that the mothers liked taught themselves . <eos>,The girl that the mothers liked taught themselves .,the girl that the mothers liked taught ***mask*** .,0.057228839301659895
103,9,simple,local,no-c-command,0,b,female,matrix_subj,number,mother,girls,taught,themselves,The mother that the girls liked taught themselves . <eos>,The mother that the girls liked taught themselves .,the mother that the girls liked taught ***mask*** .,0.026099190923355244
104,9,simple,local,c-command,1,a,male,rc_subj,number,boys,father,taught,themselves,The boys that the father liked taught themselves . <eos>,The boys that the father liked taught themselves .,the boys that the father liked taught ***mask*** .,0.014098306437289845
105,9,simple,local,c-command,1,b,male,rc_subj,number,fathers,boy,taught,themselves,The fathers that the boy liked taught themselves . <eos>,The fathers that the boy liked taught themselves .,the fathers that the boy liked taught ***mask*** .,0.14477656548988035
106,9,simple,local,c-command,1,a,female,rc_subj,number,girls,mother,taught,themselves,The girls that the mother liked taught themselves . <eos>,The girls that the mother liked taught themselves .,the girls that the mother liked taught ***mask*** .,0.022689014706704192
107,9,simple,local,c-command,1,b,female,rc_subj,number,mothers,girl,taught,themselves,The mothers that the girl liked taught themselves . <eos>,The mothers that the girl liked taught themselves .,the mothers that the girl liked taught ***mask*** .,0.09698483807742629
108,10,simple,local,c-command,1,a,male,none,none,boys,fathers,killed,themselves,The boys that the fathers liked killed themselves . <eos>,The boys that the fathers liked killed themselves .,the boys that the fathers liked killed ***mask*** .,0.0007763513615131479
109,10,simple,local,c-command,1,b,male,none,none,fathers,boys,killed,themselves,The fathers that the boys liked killed themselves . <eos>,The fathers that the boys liked killed themselves .,the fathers that the boys liked killed ***mask*** .,0.0033059218237469178
110,10,simple,local,c-command,1,a,female,none,none,girls,mothers,killed,themselves,The girls that the mothers liked killed themselves . <eos>,The girls that the mothers liked killed themselves .,the girls that the mothers liked killed ***mask*** .,0.0006858604389267658
111,10,simple,local,c-command,1,b,female,none,none,mothers,girls,killed,themselves,The mothers that the girls liked killed themselves . <eos>,The mothers that the girls liked killed themselves .,the mothers that the girls liked killed ***mask*** .,0.0005059255337426591
112,10,simple,local,no-c-command,0,a,male,matrix_subj,number,boy,fathers,killed,themselves,The boy that the fathers liked killed themselves . <eos>,The boy that the fathers liked killed themselves .,the boy that the fathers liked killed ***mask*** .,0.05553470174219002
113,10,simple,local,no-c-command,0,b,male,matrix_subj,number,father,boys,killed,themselves,The father that the boys liked killed themselves . <eos>,The father that the boys liked killed themselves .,the father that the boys liked killed ***mask*** .,0.042882615621339396
114,10,simple,local,no-c-command,0,a,female,matrix_subj,number,girl,mothers,killed,themselves,The girl that the mothers liked killed themselves . <eos>,The girl that the mothers liked killed themselves .,the girl that the mothers liked killed ***mask*** .,0.04918315289666994
115,10,simple,local,no-c-command,0,b,female,matrix_subj,number,mother,girls,killed,themselves,The mother that the girls liked killed themselves . <eos>,The mother that the girls liked killed themselves .,the mother that the girls liked killed ***mask*** .,0.021633540039911716
116,10,simple,local,c-command,1,a,male,rc_subj,number,boys,father,killed,themselves,The boys that the father liked killed themselves . <eos>,The boys that the father liked killed themselves .,the boys that the father liked killed ***mask*** .,0.001307992274994745
117,10,simple,local,c-command,1,b,male,rc_subj,number,fathers,boy,killed,themselves,The fathers that the boy liked killed themselves . <eos>,The fathers that the boy liked killed themselves .,the fathers that the boy liked killed ***mask*** .,0.004397259414427067
118,10,simple,local,c-command,1,a,female,rc_subj,number,girls,mother,killed,themselves,The girls that the mother liked killed themselves . <eos>,The girls that the mother liked killed themselves .,the girls that the mother liked killed ***mask*** .,0.0013867362861241317
119,10,simple,local,c-command,1,b,female,rc_subj,number,mothers,girl,killed,themselves,The mothers that the girl liked killed themselves . <eos>,The mothers that the girl liked killed themselves .,the mothers that the girl liked killed ***mask*** .,0.0010457177471314256
120,11,simple,local,c-command,1,a,male,none,none,boys,fathers,called,themselves,The boys that the fathers liked called themselves . <eos>,The boys that the fathers liked called themselves .,the boys that the fathers liked called ***mask*** .,0.001253213377385854
121,11,simple,local,c-command,1,b,male,none,none,fathers,boys,called,themselves,The fathers that the boys liked called themselves . <eos>,The fathers that the boys liked called themselves .,the fathers that the boys liked called ***mask*** .,0.0036599790042633547
122,11,simple,local,c-command,1,a,female,none,none,girls,mothers,called,themselves,The girls that the mothers liked called themselves . <eos>,The girls that the mothers liked called themselves .,the girls that the mothers liked called ***mask*** .,0.0027797367595862733
123,11,simple,local,c-command,1,b,female,none,none,mothers,girls,called,themselves,The mothers that the girls liked called themselves . <eos>,The mothers that the girls liked called themselves .,the mothers that the girls liked called ***mask*** .,0.0007658560182592643
124,11,simple,local,no-c-command,0,a,male,matrix_subj,number,boy,fathers,called,themselves,The boy that the fathers liked called themselves . <eos>,The boy that the fathers liked called themselves .,the boy that the fathers liked called ***mask*** .,1.636080705752068
125,11,simple,local,no-c-command,0,b,male,matrix_subj,number,father,boys,called,themselves,The father that the boys liked called themselves . <eos>,The father that the boys liked called themselves .,the father that the boys liked called ***mask*** .,1.4886082189314955
126,11,simple,local,no-c-command,0,a,female,matrix_subj,number,girl,mothers,called,themselves,The girl that the mothers liked called themselves . <eos>,The girl that the mothers liked called themselves .,the girl that the mothers liked called ***mask*** .,1.7695840171651431
127,11,simple,local,no-c-command,0,b,female,matrix_subj,number,mother,girls,called,themselves,The mother that the girls liked called themselves . <eos>,The mother that the girls liked called themselves .,the mother that the girls liked called ***mask*** .,1.3175449899527085
128,11,simple,local,c-command,1,a,male,rc_subj,number,boys,father,called,themselves,The boys that the father liked called themselves . <eos>,The boys that the father liked called themselves .,the boys that the father liked called ***mask*** .,0.0014574083391455323
129,11,simple,local,c-command,1,b,male,rc_subj,number,fathers,boy,called,themselves,The fathers that the boy liked called themselves . <eos>,The fathers that the boy liked called themselves .,the fathers that the boy liked called ***mask*** .,0.003643981888616933
