,item,clause_type,locality,grammatical,counterbalance,mismatch_position,mismatch_feature,nonlocal_subj,local_sub,verb,pronoun,sentence,sentence_no_eos,bert_sentence,surprisal
18,2,embed,nonlocal,0,c,local_subj,number,bankers,author,injured,themselves,The bankers said that the author injured themselves . <eos>,The bankers said that the author injured themselves .,the bankers said that the author injured ***mask*** .,0.0010244172400546896
19,2,embed,nonlocal,0,d,local_subj,number,authors,banker,injured,themselves,The authors said that the banker injured themselves . <eos>,The authors said that the banker injured themselves .,the authors said that the banker injured ***mask*** .,0.004498836071756366
20,2,embed,local,1,a,nonlocal_subj,number,mechanic,authors,injured,themselves,The mechanic said that the authors injured themselves . <eos>,The mechanic said that the authors injured themselves .,the mechanic said that the authors injured ***mask*** .,6.679618843643952e-05
21,2,embed,local,1,b,nonlocal_subj,number,author,mechanics,injured,themselves,The author said that the mechanics injured themselves . <eos>,The author said that the mechanics injured themselves .,the author said that the mechanics injured ***mask*** .,0.00018119850874797163
22,2,embed,local,1,c,nonlocal_subj,number,banker,authors,injured,themselves,The banker said that the authors injured themselves . <eos>,The banker said that the authors injured themselves .,the banker said that the authors injured ***mask*** .,7.929565098751155e-06
23,2,embed,local,1,d,nonlocal_subj,number,author,bankers,injured,themselves,The author said that the bankers injured themselves . <eos>,The author said that the bankers injured themselves .,the author said that the bankers injured ***mask*** .,9.295846810143916e-05
24,3,embed,local,1,a,none,none,mechanics,authors,congratulated,themselves,The mechanics said that the authors congratulated themselves . <eos>,The mechanics said that the authors congratulated themselves .,the mechanics said that the authors congratulated ***mask*** .,0.0014324215061654977
25,3,embed,local,1,b,none,none,authors,mechanics,congratulated,themselves,The authors said that the mechanics congratulated themselves . <eos>,The authors said that the mechanics congratulated themselves .,the authors said that the mechanics congratulated ***mask*** .,0.0013345393407723561
26,3,embed,local,1,c,none,none,bankers,authors,congratulated,themselves,The bankers said that the authors congratulated themselves . <eos>,The bankers said that the authors congratulated themselves .,the bankers said that the authors congratulated ***mask*** .,0.0017503191645233942
27,3,embed,local,1,d,none,none,authors,bankers,congratulated,themselves,The authors said that the bankers congratulated themselves . <eos>,The authors said that the bankers congratulated themselves .,the authors said that the bankers congratulated ***mask*** .,0.0025900717485263275
28,3,embed,nonlocal,0,a,local_subj,number,mechanics,author,congratulated,themselves,The mechanics said that the author congratulated themselves . <eos>,The mechanics said that the author congratulated themselves .,the mechanics said that the author congratulated ***mask*** .,0.006092094292684688
29,3,embed,nonlocal,0,b,local_subj,number,authors,mechanic,congratulated,themselves,The authors said that the mechanic congratulated themselves . <eos>,The authors said that the mechanic congratulated themselves .,the authors said that the mechanic congratulated ***mask*** .,0.0038413341007675927
30,3,embed,nonlocal,0,c,local_subj,number,bankers,author,congratulated,themselves,The bankers said that the author congratulated themselves . <eos>,The bankers said that the author congratulated themselves .,the bankers said that the author congratulated ***mask*** .,0.006898661180084916
31,3,embed,nonlocal,0,d,local_subj,number,authors,banker,congratulated,themselves,The authors said that the banker congratulated themselves . <eos>,The authors said that the banker congratulated themselves .,the authors said that the banker congratulated ***mask*** .,0.005927413670802343
32,3,embed,local,1,a,nonlocal_subj,number,mechanic,authors,congratulated,themselves,The mechanic said that the authors congratulated themselves . <eos>,The mechanic said that the authors congratulated themselves .,the mechanic said that the authors congratulated ***mask*** .,0.0020603851934843584
33,3,embed,local,1,b,nonlocal_subj,number,author,mechanics,congratulated,themselves,The author said that the mechanics congratulated themselves . <eos>,The author said that the mechanics congratulated themselves .,the author said that the mechanics congratulated ***mask*** .,0.0027486407133976163
34,3,embed,local,1,c,nonlocal_subj,number,banker,authors,congratulated,themselves,The banker said that the authors congratulated themselves . <eos>,The banker said that the authors congratulated themselves .,the banker said that the authors congratulated ***mask*** .,0.002602812479484923
35,3,embed,local,1,d,nonlocal_subj,number,author,bankers,congratulated,themselves,The author said that the bankers congratulated themselves . <eos>,The author said that the bankers congratulated themselves .,the author said that the bankers congratulated ***mask*** .,0.0050459231121170005
36,4,embed,local,1,a,none,none,mechanics,authors,embarrassed,themselves,The mechanics said that the authors embarrassed themselves . <eos>,The mechanics said that the authors embarrassed themselves .,the mechanics said that the authors embarrassed ***mask*** .,0.0001535364622604281
37,4,embed,local,1,b,none,none,authors,mechanics,embarrassed,themselves,The authors said that the mechanics embarrassed themselves . <eos>,The authors said that the mechanics embarrassed themselves .,the authors said that the mechanics embarrassed ***mask*** .,0.00048645571328736727
38,4,embed,local,1,c,none,none,bankers,authors,embarrassed,themselves,The bankers said that the authors embarrassed themselves . <eos>,The bankers said that the authors embarrassed themselves .,the bankers said that the authors embarrassed ***mask*** .,0.0001825196423907848
39,4,embed,local,1,d,none,none,authors,bankers,embarrassed,themselves,The authors said that the bankers embarrassed themselves . <eos>,The authors said that the bankers embarrassed themselves .,the authors said that the bankers embarrassed ***mask*** .,0.0005511405908395893
40,4,embed,nonlocal,0,a,local_subj,number,mechanics,author,embarrassed,themselves,The mechanics said that the author embarrassed themselves . <eos>,The mechanics said that the author embarrassed themselves .,the mechanics said that the author embarrassed ***mask*** .,0.0006402694099850988
41,4,embed,nonlocal,0,b,local_subj,number,authors,mechanic,embarrassed,themselves,The authors said that the mechanic embarrassed themselves . <eos>,The authors said that the mechanic embarrassed themselves .,the authors said that the mechanic embarrassed ***mask*** .,0.0026858285883307417
42,4,embed,nonlocal,0,c,local_subj,number,bankers,author,embarrassed,themselves,The bankers said that the author embarrassed themselves . <eos>,The bankers said that the author embarrassed themselves .,the bankers said that the author embarrassed ***mask*** .,0.0008703540230713771
43,4,embed,nonlocal,0,d,local_subj,number,authors,banker,embarrassed,themselves,The authors said that the banker embarrassed themselves . <eos>,The authors said that the banker embarrassed themselves .,the authors said that the banker embarrassed ***mask*** .,0.003699946283584102
44,4,embed,local,1,a,nonlocal_subj,number,mechanic,authors,embarrassed,themselves,The mechanic said that the authors embarrassed themselves . <eos>,The mechanic said that the authors embarrassed themselves .,the mechanic said that the authors embarrassed ***mask*** .,0.00020333467062633588
45,4,embed,local,1,b,nonlocal_subj,number,author,mechanics,embarrassed,themselves,The author said that the mechanics embarrassed themselves . <eos>,The author said that the mechanics embarrassed themselves .,the author said that the mechanics embarrassed ***mask*** .,0.0014672476877327619
46,4,embed,local,1,c,nonlocal_subj,number,banker,authors,embarrassed,themselves,The banker said that the authors embarrassed themselves . <eos>,The banker said that the authors embarrassed themselves .,the banker said that the authors embarrassed ***mask*** .,0.00020801180843568366
47,4,embed,local,1,d,nonlocal_subj,number,author,bankers,embarrassed,themselves,The author said that the bankers embarrassed themselves . <eos>,The author said that the bankers embarrassed themselves .,the author said that the bankers embarrassed ***mask*** .,0.0029782327828265396
48,5,embed,local,1,a,none,none,mechanics,authors,disguised,themselves,The mechanics said that the authors disguised themselves . <eos>,The mechanics said that the authors disguised themselves .,the mechanics said that the authors disguised ***mask*** .,1.8754378158619243e-06
49,5,embed,local,1,b,none,none,authors,mechanics,disguised,themselves,The authors said that the mechanics disguised themselves . <eos>,The authors said that the mechanics disguised themselves .,the authors said that the mechanics disguised ***mask*** .,3.563538077117739e-05
50,5,embed,local,1,c,none,none,bankers,authors,disguised,themselves,The bankers said that the authors disguised themselves . <eos>,The bankers said that the authors disguised themselves .,the bankers said that the authors disguised ***mask*** .,5.214301167234087e-07
51,5,embed,local,1,d,none,none,authors,bankers,disguised,themselves,The authors said that the bankers disguised themselves . <eos>,The authors said that the bankers disguised themselves .,the authors said that the bankers disguised ***mask*** .,7.834463234235186e-07
52,5,embed,nonlocal,0,a,local_subj,number,mechanics,author,disguised,themselves,The mechanics said that the author disguised themselves . <eos>,The mechanics said that the author disguised themselves .,the mechanics said that the author disguised ***mask*** .,0.00012523184255529724
53,5,embed,nonlocal,0,b,local_subj,number,authors,mechanic,disguised,themselves,The authors said that the mechanic disguised themselves . <eos>,The authors said that the mechanic disguised themselves .,the authors said that the mechanic disguised ***mask*** .,0.0004451079563942372
54,5,embed,nonlocal,0,c,local_subj,number,bankers,author,disguised,themselves,The bankers said that the author disguised themselves . <eos>,The bankers said that the author disguised themselves .,the bankers said that the author disguised ***mask*** .,7.572752463357759e-05
55,5,embed,nonlocal,0,d,local_subj,number,authors,banker,disguised,themselves,The authors said that the banker disguised themselves . <eos>,The authors said that the banker disguised themselves .,the authors said that the banker disguised ***mask*** .,0.00017068887152509488
56,5,embed,local,1,a,nonlocal_subj,number,mechanic,authors,disguised,themselves,The mechanic said that the authors disguised themselves . <eos>,The mechanic said that the authors disguised themselves .,the mechanic said that the authors disguised ***mask*** .,1.3487948159151971e-06
57,5,embed,local,1,b,nonlocal_subj,number,author,mechanics,disguised,themselves,The author said that the mechanics disguised themselves . <eos>,The author said that the mechanics disguised themselves .,the author said that the mechanics disguised ***mask*** .,7.98721614549073e-06
58,5,embed,local,1,c,nonlocal_subj,number,banker,authors,disguised,themselves,The banker said that the authors disguised themselves . <eos>,The banker said that the authors disguised themselves .,the banker said that the authors disguised ***mask*** .,2.929871663796573e-07
59,5,embed,local,1,d,nonlocal_subj,number,author,bankers,disguised,themselves,The author said that the bankers disguised themselves . <eos>,The author said that the bankers disguised themselves .,the author said that the bankers disguised ***mask*** .,1.480011276013775e-06
60,6,embed,local,1,a,none,none,mechanics,authors,hated,themselves,The mechanics said that the authors hated themselves . <eos>,The mechanics said that the authors hated themselves .,the mechanics said that the authors hated ***mask*** .,0.02371703906209376
61,6,embed,local,1,b,none,none,authors,mechanics,hated,themselves,The authors said that the mechanics hated themselves . <eos>,The authors said that the mechanics hated themselves .,the authors said that the mechanics hated ***mask*** .,0.032365510521302585
62,6,embed,local,1,c,none,none,bankers,authors,hated,themselves,The bankers said that the authors hated themselves . <eos>,The bankers said that the authors hated themselves .,the bankers said that the authors hated ***mask*** .,0.021525493334450835
63,6,embed,local,1,d,none,none,authors,bankers,hated,themselves,The authors said that the bankers hated themselves . <eos>,The authors said that the bankers hated themselves .,the authors said that the bankers hated ***mask*** .,0.02833605906537327
64,6,embed,nonlocal,0,a,local_subj,number,mechanics,author,hated,themselves,The mechanics said that the author hated themselves . <eos>,The mechanics said that the author hated themselves .,the mechanics said that the author hated ***mask*** .,0.15699383066759318
65,6,embed,nonlocal,0,b,local_subj,number,authors,mechanic,hated,themselves,The authors said that the mechanic hated themselves . <eos>,The authors said that the mechanic hated themselves .,the authors said that the mechanic hated ***mask*** .,0.1632706431832836
66,6,embed,nonlocal,0,c,local_subj,number,bankers,author,hated,themselves,The bankers said that the author hated themselves . <eos>,The bankers said that the author hated themselves .,the bankers said that the author hated ***mask*** .,0.1887350409590142
67,6,embed,nonlocal,0,d,local_subj,number,authors,banker,hated,themselves,The authors said that the banker hated themselves . <eos>,The authors said that the banker hated themselves .,the authors said that the banker hated ***mask*** .,0.161774816845857
68,6,embed,local,1,a,nonlocal_subj,number,mechanic,authors,hated,themselves,The mechanic said that the authors hated themselves . <eos>,The mechanic said that the authors hated themselves .,the mechanic said that the authors hated ***mask*** .,0.020316344979056575
69,6,embed,local,1,b,nonlocal_subj,number,author,mechanics,hated,themselves,The author said that the mechanics hated themselves . <eos>,The author said that the mechanics hated themselves .,the author said that the mechanics hated ***mask*** .,0.03996740913601993
70,6,embed,local,1,c,nonlocal_subj,number,banker,authors,hated,themselves,The banker said that the authors hated themselves . <eos>,The banker said that the authors hated themselves .,the banker said that the authors hated ***mask*** .,0.01689596651225559
71,6,embed,local,1,d,nonlocal_subj,number,author,bankers,hated,themselves,The author said that the bankers hated themselves . <eos>,The author said that the bankers hated themselves .,the author said that the bankers hated ***mask*** .,0.04257185303599876
72,7,embed,local,1,a,none,none,mechanics,authors,doubted,themselves,The mechanics said that the authors doubted themselves . <eos>,The mechanics said that the authors doubted themselves .,the mechanics said that the authors doubted ***mask*** .,0.014881225138021776
73,7,embed,local,1,b,none,none,authors,mechanics,doubted,themselves,The authors said that the mechanics doubted themselves . <eos>,The authors said that the mechanics doubted themselves .,the authors said that the mechanics doubted ***mask*** .,0.00488103563922268
74,7,embed,local,1,c,none,none,bankers,authors,doubted,themselves,The bankers said that the authors doubted themselves . <eos>,The bankers said that the authors doubted themselves .,the bankers said that the authors doubted ***mask*** .,0.015242038155485459
75,7,embed,local,1,d,none,none,authors,bankers,doubted,themselves,The authors said that the bankers doubted themselves . <eos>,The authors said that the bankers doubted themselves .,the authors said that the bankers doubted ***mask*** .,0.008347039706566065
76,7,embed,nonlocal,0,a,local_subj,number,mechanics,author,doubted,themselves,The mechanics said that the author doubted themselves . <eos>,The mechanics said that the author doubted themselves .,the mechanics said that the author doubted ***mask*** .,0.038717184387747426
77,7,embed,nonlocal,0,b,local_subj,number,authors,mechanic,doubted,themselves,The authors said that the mechanic doubted themselves . <eos>,The authors said that the mechanic doubted themselves .,the authors said that the mechanic doubted ***mask*** .,0.012053187131090841
78,7,embed,nonlocal,0,c,local_subj,number,bankers,author,doubted,themselves,The bankers said that the author doubted themselves . <eos>,The bankers said that the author doubted themselves .,the bankers said that the author doubted ***mask*** .,0.04251191488588563
79,7,embed,nonlocal,0,d,local_subj,number,authors,banker,doubted,themselves,The authors said that the banker doubted themselves . <eos>,The authors said that the banker doubted themselves .,the authors said that the banker doubted ***mask*** .,0.01880647866433511
80,7,embed,local,1,a,nonlocal_subj,number,mechanic,authors,doubted,themselves,The mechanic said that the authors doubted themselves . <eos>,The mechanic said that the authors doubted themselves .,the mechanic said that the authors doubted ***mask*** .,0.01717743948077929
81,7,embed,local,1,b,nonlocal_subj,number,author,mechanics,doubted,themselves,The author said that the mechanics doubted themselves . <eos>,The author said that the mechanics doubted themselves .,the author said that the mechanics doubted ***mask*** .,0.006628696378647026
82,7,embed,local,1,c,nonlocal_subj,number,banker,authors,doubted,themselves,The banker said that the authors doubted themselves . <eos>,The banker said that the authors doubted themselves .,the banker said that the authors doubted ***mask*** .,0.011279895183151275
83,7,embed,local,1,d,nonlocal_subj,number,author,bankers,doubted,themselves,The author said that the bankers doubted themselves . <eos>,The author said that the bankers doubted themselves .,the author said that the bankers doubted ***mask*** .,0.017036020131797835
84,8,embed,local,1,a,none,none,mechanics,pilots,hurt,themselves,The mechanics said that the pilots hurt themselves . <eos>,The mechanics said that the pilots hurt themselves .,the mechanics said that the pilots hurt ***mask*** .,7.970859504347186e-05
85,8,embed,local,1,b,none,none,pilots,mechanics,hurt,themselves,The pilots said that the mechanics hurt themselves . <eos>,The pilots said that the mechanics hurt themselves .,the pilots said that the mechanics hurt ***mask*** .,0.00022169090873604434
86,8,embed,local,1,c,none,none,bankers,pilots,hurt,themselves,The bankers said that the pilots hurt themselves . <eos>,The bankers said that the pilots hurt themselves .,the bankers said that the pilots hurt ***mask*** .,0.00024424795211384415
87,8,embed,local,1,d,none,none,pilots,bankers,hurt,themselves,The pilots said that the bankers hurt themselves . <eos>,The pilots said that the bankers hurt themselves .,the pilots said that the bankers hurt ***mask*** .,0.0010807374792540202
88,8,embed,nonlocal,0,a,local_subj,number,mechanics,pilot,hurt,themselves,The mechanics said that the pilot hurt themselves . <eos>,The mechanics said that the pilot hurt themselves .,the mechanics said that the pilot hurt ***mask*** .,0.005954969908404406
89,8,embed,nonlocal,0,b,local_subj,number,pilots,mechanic,hurt,themselves,The pilots said that the mechanic hurt themselves . <eos>,The pilots said that the mechanic hurt themselves .,the pilots said that the mechanic hurt ***mask*** .,0.0013031839898942682
90,8,embed,nonlocal,0,c,local_subj,number,bankers,pilot,hurt,themselves,The bankers said that the pilot hurt themselves . <eos>,The bankers said that the pilot hurt themselves .,the bankers said that the pilot hurt ***mask*** .,0.01341566504176346
91,8,embed,nonlocal,0,d,local_subj,number,pilots,banker,hurt,themselves,The pilots said that the banker hurt themselves . <eos>,The pilots said that the banker hurt themselves .,the pilots said that the banker hurt ***mask*** .,0.004220719530430684
92,8,embed,local,1,a,nonlocal_subj,number,mechanic,pilots,hurt,themselves,The mechanic said that the pilots hurt themselves . <eos>,The mechanic said that the pilots hurt themselves .,the mechanic said that the pilots hurt ***mask*** .,0.000128352452161761
93,8,embed,local,1,b,nonlocal_subj,number,pilot,mechanics,hurt,themselves,The pilot said that the mechanics hurt themselves . <eos>,The pilot said that the mechanics hurt themselves .,the pilot said that the mechanics hurt ***mask*** .,0.0007686163264067663
94,8,embed,local,1,c,nonlocal_subj,number,banker,pilots,hurt,themselves,The banker said that the pilots hurt themselves . <eos>,The banker said that the pilots hurt themselves .,the banker said that the pilots hurt ***mask*** .,0.00017646923460014726
95,8,embed,local,1,d,nonlocal_subj,number,pilot,bankers,hurt,themselves,The pilot said that the bankers hurt themselves . <eos>,The pilot said that the bankers hurt themselves .,the pilot said that the bankers hurt ***mask*** .,0.002638229834452026
96,9,embed,local,1,a,none,none,mechanics,pilots,injured,themselves,The mechanics said that the pilots injured themselves . <eos>,The mechanics said that the pilots injured themselves .,the mechanics said that the pilots injured ***mask*** .,2.0877784870531106e-05
97,9,embed,local,1,b,none,none,pilots,mechanics,injured,themselves,The pilots said that the mechanics injured themselves . <eos>,The pilots said that the mechanics injured themselves .,the pilots said that the mechanics injured ***mask*** .,8.373125509387909e-05
98,9,embed,local,1,c,none,none,bankers,pilots,injured,themselves,The bankers said that the pilots injured themselves . <eos>,The bankers said that the pilots injured themselves .,the bankers said that the pilots injured ***mask*** .,6.472736519665672e-05
99,9,embed,local,1,d,none,none,pilots,bankers,injured,themselves,The pilots said that the bankers injured themselves . <eos>,The pilots said that the bankers injured themselves .,the pilots said that the bankers injured ***mask*** .,0.00011030889981237483
100,9,embed,nonlocal,0,a,local_subj,number,mechanics,pilot,injured,themselves,The mechanics said that the pilot injured themselves . <eos>,The mechanics said that the pilot injured themselves .,the mechanics said that the pilot injured ***mask*** .,0.0036363783868738372
101,9,embed,nonlocal,0,b,local_subj,number,pilots,mechanic,injured,themselves,The pilots said that the mechanic injured themselves . <eos>,The pilots said that the mechanic injured themselves .,the pilots said that the mechanic injured ***mask*** .,0.002676716032703276
102,9,embed,nonlocal,0,c,local_subj,number,bankers,pilot,injured,themselves,The bankers said that the pilot injured themselves . <eos>,The bankers said that the pilot injured themselves .,the bankers said that the pilot injured ***mask*** .,0.02045527078271407
103,9,embed,nonlocal,0,d,local_subj,number,pilots,banker,injured,themselves,The pilots said that the banker injured themselves . <eos>,The pilots said that the banker injured themselves .,the pilots said that the banker injured ***mask*** .,0.0033596592876122197
104,9,embed,local,1,a,nonlocal_subj,number,mechanic,pilots,injured,themselves,The mechanic said that the pilots injured themselves . <eos>,The mechanic said that the pilots injured themselves .,the mechanic said that the pilots injured ***mask*** .,5.479545810247763e-05
105,9,embed,local,1,b,nonlocal_subj,number,pilot,mechanics,injured,themselves,The pilot said that the mechanics injured themselves . <eos>,The pilot said that the mechanics injured themselves .,the pilot said that the mechanics injured ***mask*** .,0.00028716478107646535
106,9,embed,local,1,c,nonlocal_subj,number,banker,pilots,injured,themselves,The banker said that the pilots injured themselves . <eos>,The banker said that the pilots injured themselves .,the banker said that the pilots injured ***mask*** .,7.049801518026097e-05
107,9,embed,local,1,d,nonlocal_subj,number,pilot,bankers,injured,themselves,The pilot said that the bankers injured themselves . <eos>,The pilot said that the bankers injured themselves .,the pilot said that the bankers injured ***mask*** .,0.00019234309497908293
108,10,embed,local,1,a,none,none,mechanics,pilots,congratulated,themselves,The mechanics said that the pilots congratulated themselves . <eos>,The mechanics said that the pilots congratulated themselves .,the mechanics said that the pilots congratulated ***mask*** .,0.0017698284492414231
109,10,embed,local,1,b,none,none,pilots,mechanics,congratulated,themselves,The pilots said that the mechanics congratulated themselves . <eos>,The pilots said that the mechanics congratulated themselves .,the pilots said that the mechanics congratulated ***mask*** .,0.001354528872914264
110,10,embed,local,1,c,none,none,bankers,pilots,congratulated,themselves,The bankers said that the pilots congratulated themselves . <eos>,The bankers said that the pilots congratulated themselves .,the bankers said that the pilots congratulated ***mask*** .,0.0024041823875134965
111,10,embed,local,1,d,none,none,pilots,bankers,congratulated,themselves,The pilots said that the bankers congratulated themselves . <eos>,The pilots said that the bankers congratulated themselves .,the pilots said that the bankers congratulated ***mask*** .,0.003818810839871377
112,10,embed,nonlocal,0,a,local_subj,number,mechanics,pilot,congratulated,themselves,The mechanics said that the pilot congratulated themselves . <eos>,The mechanics said that the pilot congratulated themselves .,the mechanics said that the pilot congratulated ***mask*** .,0.00880172345903198
113,10,embed,nonlocal,0,b,local_subj,number,pilots,mechanic,congratulated,themselves,The pilots said that the mechanic congratulated themselves . <eos>,The pilots said that the mechanic congratulated themselves .,the pilots said that the mechanic congratulated ***mask*** .,0.005622092366621084
114,10,embed,nonlocal,0,c,local_subj,number,bankers,pilot,congratulated,themselves,The bankers said that the pilot congratulated themselves . <eos>,The bankers said that the pilot congratulated themselves .,the bankers said that the pilot congratulated ***mask*** .,0.016582041230508385
115,10,embed,nonlocal,0,d,local_subj,number,pilots,banker,congratulated,themselves,The pilots said that the banker congratulated themselves . <eos>,The pilots said that the banker congratulated themselves .,the pilots said that the banker congratulated ***mask*** .,0.006236694481345638
116,10,embed,local,1,a,nonlocal_subj,number,mechanic,pilots,congratulated,themselves,The mechanic said that the pilots congratulated themselves . <eos>,The mechanic said that the pilots congratulated themselves .,the mechanic said that the pilots congratulated ***mask*** .,0.0037747379924108634
117,10,embed,local,1,b,nonlocal_subj,number,pilot,mechanics,congratulated,themselves,The pilot said that the mechanics congratulated themselves . <eos>,The pilot said that the mechanics congratulated themselves .,the pilot said that the mechanics congratulated ***mask*** .,0.0030588087669430656
118,10,embed,local,1,c,nonlocal_subj,number,banker,pilots,congratulated,themselves,The banker said that the pilots congratulated themselves . <eos>,The banker said that the pilots congratulated themselves .,the banker said that the pilots congratulated ***mask*** .,0.0028130114838812404
119,10,embed,local,1,d,nonlocal_subj,number,pilot,bankers,congratulated,themselves,The pilot said that the bankers congratulated themselves . <eos>,The pilot said that the bankers congratulated themselves .,the pilot said that the bankers congratulated ***mask*** .,0.010271640440591714
120,11,embed,local,1,a,none,none,mechanics,pilots,embarrassed,themselves,The mechanics said that the pilots embarrassed themselves . <eos>,The mechanics said that the pilots embarrassed themselves .,the mechanics said that the pilots embarrassed ***mask*** .,0.000322141049157793
121,11,embed,local,1,b,none,none,pilots,mechanics,embarrassed,themselves,The pilots said that the mechanics embarrassed themselves . <eos>,The pilots said that the mechanics embarrassed themselves .,the pilots said that the mechanics embarrassed ***mask*** .,0.00028599024903469794
122,11,embed,local,1,c,none,none,bankers,pilots,embarrassed,themselves,The bankers said that the pilots embarrassed themselves . <eos>,The bankers said that the pilots embarrassed themselves .,the bankers said that the pilots embarrassed ***mask*** .,0.0006830630781475952
123,11,embed,local,1,d,none,none,pilots,bankers,embarrassed,themselves,The pilots said that the bankers embarrassed themselves . <eos>,The pilots said that the bankers embarrassed themselves .,the pilots said that the bankers embarrassed ***mask*** .,0.0008256891338685264
124,11,embed,nonlocal,0,a,local_subj,number,mechanics,pilot,embarrassed,themselves,The mechanics said that the pilot embarrassed themselves . <eos>,The mechanics said that the pilot embarrassed themselves .,the mechanics said that the pilot embarrassed ***mask*** .,0.002054871122270361
125,11,embed,nonlocal,0,b,local_subj,number,pilots,mechanic,embarrassed,themselves,The pilots said that the mechanic embarrassed themselves . <eos>,The pilots said that the mechanic embarrassed themselves .,the pilots said that the mechanic embarrassed ***mask*** .,0.0014724778262016965
126,11,embed,nonlocal,0,c,local_subj,number,bankers,pilot,embarrassed,themselves,The bankers said that the pilot embarrassed themselves . <eos>,The bankers said that the pilot embarrassed themselves .,the bankers said that the pilot embarrassed ***mask*** .,0.004672021619951632
127,11,embed,nonlocal,0,d,local_subj,number,pilots,banker,embarrassed,themselves,The pilots said that the banker embarrassed themselves . <eos>,The pilots said that the banker embarrassed themselves .,the pilots said that the banker embarrassed ***mask*** .,0.004370047677736922
