item,RC_verb,clause_type,locality,grammatical,counterbalance,mismatch_position,mismatch_feature,rc_subj,local_sub,verb,pronoun,sentence,sentence_no_eos
7,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,author,doubted,himself,The mechanics that the author liked doubted himself . <eos>,The mechanics that the author liked doubted himself .
7,liked,embed,nonlocal,0,b,matrix_subj,number,authors,mechanic,doubted,himself,The authors that the mechanic liked doubted himself . <eos>,The authors that the mechanic liked doubted himself .
7,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,author,doubted,himself,The bankers that the author liked doubted himself . <eos>,The bankers that the author liked doubted himself .
7,liked,embed,nonlocal,0,d,matrix_subj,number,authors,banker,doubted,himself,The authors that the banker liked doubted himself . <eos>,The authors that the banker liked doubted himself .
7,liked,embed,local,1,a,rc_subj,number,mechanic,authors,doubted,himself,The mechanic that the authors liked doubted himself . <eos>,The mechanic that the authors liked doubted himself .
7,liked,embed,local,1,b,rc_subj,number,author,mechanics,doubted,himself,The author that the mechanics liked doubted himself . <eos>,The author that the mechanics liked doubted himself .
7,liked,embed,local,1,c,rc_subj,number,banker,authors,doubted,himself,The banker that the authors liked doubted himself . <eos>,The banker that the authors liked doubted himself .
7,liked,embed,local,1,d,rc_subj,number,author,bankers,doubted,himself,The author that the bankers liked doubted himself . <eos>,The author that the bankers liked doubted himself .
8,liked,embed,local,1,a,none,none,mechanic,pilot,hurt,himself,The mechanic that the pilot liked hurt himself . <eos>,The mechanic that the pilot liked hurt himself .
8,liked,embed,local,1,b,none,none,pilot,mechanic,hurt,himself,The pilot that the mechanic liked hurt himself . <eos>,The pilot that the mechanic liked hurt himself .
8,liked,embed,local,1,c,none,none,banker,pilot,hurt,himself,The banker that the pilot liked hurt himself . <eos>,The banker that the pilot liked hurt himself .
8,liked,embed,local,1,d,none,none,pilot,banker,hurt,himself,The pilot that the banker liked hurt himself . <eos>,The pilot that the banker liked hurt himself .
8,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,pilot,hurt,himself,The mechanics that the pilot liked hurt himself . <eos>,The mechanics that the pilot liked hurt himself .
8,liked,embed,nonlocal,0,b,matrix_subj,number,pilots,mechanic,hurt,himself,The pilots that the mechanic liked hurt himself . <eos>,The pilots that the mechanic liked hurt himself .
8,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,pilot,hurt,himself,The bankers that the pilot liked hurt himself . <eos>,The bankers that the pilot liked hurt himself .
8,liked,embed,nonlocal,0,d,matrix_subj,number,pilots,banker,hurt,himself,The pilots that the banker liked hurt himself . <eos>,The pilots that the banker liked hurt himself .
8,liked,embed,local,1,a,rc_subj,number,mechanic,pilots,hurt,himself,The mechanic that the pilots liked hurt himself . <eos>,The mechanic that the pilots liked hurt himself .
8,liked,embed,local,1,b,rc_subj,number,pilot,mechanics,hurt,himself,The pilot that the mechanics liked hurt himself . <eos>,The pilot that the mechanics liked hurt himself .
8,liked,embed,local,1,c,rc_subj,number,banker,pilots,hurt,himself,The banker that the pilots liked hurt himself . <eos>,The banker that the pilots liked hurt himself .
8,liked,embed,local,1,d,rc_subj,number,pilot,bankers,hurt,himself,The pilot that the bankers liked hurt himself . <eos>,The pilot that the bankers liked hurt himself .
9,liked,embed,local,1,a,none,none,mechanic,pilot,injured,himself,The mechanic that the pilot liked injured himself . <eos>,The mechanic that the pilot liked injured himself .
9,liked,embed,local,1,b,none,none,pilot,mechanic,injured,himself,The pilot that the mechanic liked injured himself . <eos>,The pilot that the mechanic liked injured himself .
9,liked,embed,local,1,c,none,none,banker,pilot,injured,himself,The banker that the pilot liked injured himself . <eos>,The banker that the pilot liked injured himself .
9,liked,embed,local,1,d,none,none,pilot,banker,injured,himself,The pilot that the banker liked injured himself . <eos>,The pilot that the banker liked injured himself .
9,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,pilot,injured,himself,The mechanics that the pilot liked injured himself . <eos>,The mechanics that the pilot liked injured himself .
9,liked,embed,nonlocal,0,b,matrix_subj,number,pilots,mechanic,injured,himself,The pilots that the mechanic liked injured himself . <eos>,The pilots that the mechanic liked injured himself .
9,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,pilot,injured,himself,The bankers that the pilot liked injured himself . <eos>,The bankers that the pilot liked injured himself .
9,liked,embed,nonlocal,0,d,matrix_subj,number,pilots,banker,injured,himself,The pilots that the banker liked injured himself . <eos>,The pilots that the banker liked injured himself .
9,liked,embed,local,1,a,rc_subj,number,mechanic,pilots,injured,himself,The mechanic that the pilots liked injured himself . <eos>,The mechanic that the pilots liked injured himself .
9,liked,embed,local,1,b,rc_subj,number,pilot,mechanics,injured,himself,The pilot that the mechanics liked injured himself . <eos>,The pilot that the mechanics liked injured himself .
9,liked,embed,local,1,c,rc_subj,number,banker,pilots,injured,himself,The banker that the pilots liked injured himself . <eos>,The banker that the pilots liked injured himself .
9,liked,embed,local,1,d,rc_subj,number,pilot,bankers,injured,himself,The pilot that the bankers liked injured himself . <eos>,The pilot that the bankers liked injured himself .
10,liked,embed,local,1,a,none,none,mechanic,pilot,congratulated,himself,The mechanic that the pilot liked congratulated himself . <eos>,The mechanic that the pilot liked congratulated himself .
10,liked,embed,local,1,b,none,none,pilot,mechanic,congratulated,himself,The pilot that the mechanic liked congratulated himself . <eos>,The pilot that the mechanic liked congratulated himself .
10,liked,embed,local,1,c,none,none,banker,pilot,congratulated,himself,The banker that the pilot liked congratulated himself . <eos>,The banker that the pilot liked congratulated himself .
10,liked,embed,local,1,d,none,none,pilot,banker,congratulated,himself,The pilot that the banker liked congratulated himself . <eos>,The pilot that the banker liked congratulated himself .
10,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,pilot,congratulated,himself,The mechanics that the pilot liked congratulated himself . <eos>,The mechanics that the pilot liked congratulated himself .
10,liked,embed,nonlocal,0,b,matrix_subj,number,pilots,mechanic,congratulated,himself,The pilots that the mechanic liked congratulated himself . <eos>,The pilots that the mechanic liked congratulated himself .
10,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,pilot,congratulated,himself,The bankers that the pilot liked congratulated himself . <eos>,The bankers that the pilot liked congratulated himself .
10,liked,embed,nonlocal,0,d,matrix_subj,number,pilots,banker,congratulated,himself,The pilots that the banker liked congratulated himself . <eos>,The pilots that the banker liked congratulated himself .
10,liked,embed,local,1,a,rc_subj,number,mechanic,pilots,congratulated,himself,The mechanic that the pilots liked congratulated himself . <eos>,The mechanic that the pilots liked congratulated himself .
10,liked,embed,local,1,b,rc_subj,number,pilot,mechanics,congratulated,himself,The pilot that the mechanics liked congratulated himself . <eos>,The pilot that the mechanics liked congratulated himself .
10,liked,embed,local,1,c,rc_subj,number,banker,pilots,congratulated,himself,The banker that the pilots liked congratulated himself . <eos>,The banker that the pilots liked congratulated himself .
10,liked,embed,local,1,d,rc_subj,number,pilot,bankers,congratulated,himself,The pilot that the bankers liked congratulated himself . <eos>,The pilot that the bankers liked congratulated himself .
11,liked,embed,local,1,a,none,none,mechanic,pilot,embarrassed,himself,The mechanic that the pilot liked embarrassed himself . <eos>,The mechanic that the pilot liked embarrassed himself .
11,liked,embed,local,1,b,none,none,pilot,mechanic,embarrassed,himself,The pilot that the mechanic liked embarrassed himself . <eos>,The pilot that the mechanic liked embarrassed himself .
11,liked,embed,local,1,c,none,none,banker,pilot,embarrassed,himself,The banker that the pilot liked embarrassed himself . <eos>,The banker that the pilot liked embarrassed himself .
11,liked,embed,local,1,d,none,none,pilot,banker,embarrassed,himself,The pilot that the banker liked embarrassed himself . <eos>,The pilot that the banker liked embarrassed himself .
11,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,pilot,embarrassed,himself,The mechanics that the pilot liked embarrassed himself . <eos>,The mechanics that the pilot liked embarrassed himself .
11,liked,embed,nonlocal,0,b,matrix_subj,number,pilots,mechanic,embarrassed,himself,The pilots that the mechanic liked embarrassed himself . <eos>,The pilots that the mechanic liked embarrassed himself .
11,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,pilot,embarrassed,himself,The bankers that the pilot liked embarrassed himself . <eos>,The bankers that the pilot liked embarrassed himself .
11,liked,embed,nonlocal,0,d,matrix_subj,number,pilots,banker,embarrassed,himself,The pilots that the banker liked embarrassed himself . <eos>,The pilots that the banker liked embarrassed himself .
11,liked,embed,local,1,a,rc_subj,number,mechanic,pilots,embarrassed,himself,The mechanic that the pilots liked embarrassed himself . <eos>,The mechanic that the pilots liked embarrassed himself .
11,liked,embed,local,1,b,rc_subj,number,pilot,mechanics,embarrassed,himself,The pilot that the mechanics liked embarrassed himself . <eos>,The pilot that the mechanics liked embarrassed himself .
11,liked,embed,local,1,c,rc_subj,number,banker,pilots,embarrassed,himself,The banker that the pilots liked embarrassed himself . <eos>,The banker that the pilots liked embarrassed himself .
11,liked,embed,local,1,d,rc_subj,number,pilot,bankers,embarrassed,himself,The pilot that the bankers liked embarrassed himself . <eos>,The pilot that the bankers liked embarrassed himself .
12,liked,embed,local,1,a,none,none,mechanic,pilot,disguised,himself,The mechanic that the pilot liked disguised himself . <eos>,The mechanic that the pilot liked disguised himself .
12,liked,embed,local,1,b,none,none,pilot,mechanic,disguised,himself,The pilot that the mechanic liked disguised himself . <eos>,The pilot that the mechanic liked disguised himself .
12,liked,embed,local,1,c,none,none,banker,pilot,disguised,himself,The banker that the pilot liked disguised himself . <eos>,The banker that the pilot liked disguised himself .
12,liked,embed,local,1,d,none,none,pilot,banker,disguised,himself,The pilot that the banker liked disguised himself . <eos>,The pilot that the banker liked disguised himself .
12,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,pilot,disguised,himself,The mechanics that the pilot liked disguised himself . <eos>,The mechanics that the pilot liked disguised himself .
12,liked,embed,nonlocal,0,b,matrix_subj,number,pilots,mechanic,disguised,himself,The pilots that the mechanic liked disguised himself . <eos>,The pilots that the mechanic liked disguised himself .
12,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,pilot,disguised,himself,The bankers that the pilot liked disguised himself . <eos>,The bankers that the pilot liked disguised himself .
12,liked,embed,nonlocal,0,d,matrix_subj,number,pilots,banker,disguised,himself,The pilots that the banker liked disguised himself . <eos>,The pilots that the banker liked disguised himself .
12,liked,embed,local,1,a,rc_subj,number,mechanic,pilots,disguised,himself,The mechanic that the pilots liked disguised himself . <eos>,The mechanic that the pilots liked disguised himself .
12,liked,embed,local,1,b,rc_subj,number,pilot,mechanics,disguised,himself,The pilot that the mechanics liked disguised himself . <eos>,The pilot that the mechanics liked disguised himself .
12,liked,embed,local,1,c,rc_subj,number,banker,pilots,disguised,himself,The banker that the pilots liked disguised himself . <eos>,The banker that the pilots liked disguised himself .
12,liked,embed,local,1,d,rc_subj,number,pilot,bankers,disguised,himself,The pilot that the bankers liked disguised himself . <eos>,The pilot that the bankers liked disguised himself .
13,liked,embed,local,1,a,none,none,mechanic,pilot,hated,himself,The mechanic that the pilot liked hated himself . <eos>,The mechanic that the pilot liked hated himself .
13,liked,embed,local,1,b,none,none,pilot,mechanic,hated,himself,The pilot that the mechanic liked hated himself . <eos>,The pilot that the mechanic liked hated himself .
13,liked,embed,local,1,c,none,none,banker,pilot,hated,himself,The banker that the pilot liked hated himself . <eos>,The banker that the pilot liked hated himself .
13,liked,embed,local,1,d,none,none,pilot,banker,hated,himself,The pilot that the banker liked hated himself . <eos>,The pilot that the banker liked hated himself .
13,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,pilot,hated,himself,The mechanics that the pilot liked hated himself . <eos>,The mechanics that the pilot liked hated himself .
13,liked,embed,nonlocal,0,b,matrix_subj,number,pilots,mechanic,hated,himself,The pilots that the mechanic liked hated himself . <eos>,The pilots that the mechanic liked hated himself .
13,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,pilot,hated,himself,The bankers that the pilot liked hated himself . <eos>,The bankers that the pilot liked hated himself .
13,liked,embed,nonlocal,0,d,matrix_subj,number,pilots,banker,hated,himself,The pilots that the banker liked hated himself . <eos>,The pilots that the banker liked hated himself .
13,liked,embed,local,1,a,rc_subj,number,mechanic,pilots,hated,himself,The mechanic that the pilots liked hated himself . <eos>,The mechanic that the pilots liked hated himself .
13,liked,embed,local,1,b,rc_subj,number,pilot,mechanics,hated,himself,The pilot that the mechanics liked hated himself . <eos>,The pilot that the mechanics liked hated himself .
13,liked,embed,local,1,c,rc_subj,number,banker,pilots,hated,himself,The banker that the pilots liked hated himself . <eos>,The banker that the pilots liked hated himself .
13,liked,embed,local,1,d,rc_subj,number,pilot,bankers,hated,himself,The pilot that the bankers liked hated himself . <eos>,The pilot that the bankers liked hated himself .
14,liked,embed,local,1,a,none,none,mechanic,pilot,doubted,himself,The mechanic that the pilot liked doubted himself . <eos>,The mechanic that the pilot liked doubted himself .
14,liked,embed,local,1,b,none,none,pilot,mechanic,doubted,himself,The pilot that the mechanic liked doubted himself . <eos>,The pilot that the mechanic liked doubted himself .
14,liked,embed,local,1,c,none,none,banker,pilot,doubted,himself,The banker that the pilot liked doubted himself . <eos>,The banker that the pilot liked doubted himself .
14,liked,embed,local,1,d,none,none,pilot,banker,doubted,himself,The pilot that the banker liked doubted himself . <eos>,The pilot that the banker liked doubted himself .
14,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,pilot,doubted,himself,The mechanics that the pilot liked doubted himself . <eos>,The mechanics that the pilot liked doubted himself .
14,liked,embed,nonlocal,0,b,matrix_subj,number,pilots,mechanic,doubted,himself,The pilots that the mechanic liked doubted himself . <eos>,The pilots that the mechanic liked doubted himself .
14,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,pilot,doubted,himself,The bankers that the pilot liked doubted himself . <eos>,The bankers that the pilot liked doubted himself .
14,liked,embed,nonlocal,0,d,matrix_subj,number,pilots,banker,doubted,himself,The pilots that the banker liked doubted himself . <eos>,The pilots that the banker liked doubted himself .
14,liked,embed,local,1,a,rc_subj,number,mechanic,pilots,doubted,himself,The mechanic that the pilots liked doubted himself . <eos>,The mechanic that the pilots liked doubted himself .
14,liked,embed,local,1,b,rc_subj,number,pilot,mechanics,doubted,himself,The pilot that the mechanics liked doubted himself . <eos>,The pilot that the mechanics liked doubted himself .
14,liked,embed,local,1,c,rc_subj,number,banker,pilots,doubted,himself,The banker that the pilots liked doubted himself . <eos>,The banker that the pilots liked doubted himself .
14,liked,embed,local,1,d,rc_subj,number,pilot,bankers,doubted,himself,The pilot that the bankers liked doubted himself . <eos>,The pilot that the bankers liked doubted himself .
15,liked,embed,local,1,a,none,none,mechanic,surgeon,hurt,himself,The mechanic that the surgeon liked hurt himself . <eos>,The mechanic that the surgeon liked hurt himself .
15,liked,embed,local,1,b,none,none,surgeon,mechanic,hurt,himself,The surgeon that the mechanic liked hurt himself . <eos>,The surgeon that the mechanic liked hurt himself .
15,liked,embed,local,1,c,none,none,banker,surgeon,hurt,himself,The banker that the surgeon liked hurt himself . <eos>,The banker that the surgeon liked hurt himself .
15,liked,embed,local,1,d,none,none,surgeon,banker,hurt,himself,The surgeon that the banker liked hurt himself . <eos>,The surgeon that the banker liked hurt himself .
15,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,surgeon,hurt,himself,The mechanics that the surgeon liked hurt himself . <eos>,The mechanics that the surgeon liked hurt himself .
15,liked,embed,nonlocal,0,b,matrix_subj,number,surgeons,mechanic,hurt,himself,The surgeons that the mechanic liked hurt himself . <eos>,The surgeons that the mechanic liked hurt himself .
15,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,surgeon,hurt,himself,The bankers that the surgeon liked hurt himself . <eos>,The bankers that the surgeon liked hurt himself .
15,liked,embed,nonlocal,0,d,matrix_subj,number,surgeons,banker,hurt,himself,The surgeons that the banker liked hurt himself . <eos>,The surgeons that the banker liked hurt himself .
15,liked,embed,local,1,a,rc_subj,number,mechanic,surgeons,hurt,himself,The mechanic that the surgeons liked hurt himself . <eos>,The mechanic that the surgeons liked hurt himself .
15,liked,embed,local,1,b,rc_subj,number,surgeon,mechanics,hurt,himself,The surgeon that the mechanics liked hurt himself . <eos>,The surgeon that the mechanics liked hurt himself .
15,liked,embed,local,1,c,rc_subj,number,banker,surgeons,hurt,himself,The banker that the surgeons liked hurt himself . <eos>,The banker that the surgeons liked hurt himself .
15,liked,embed,local,1,d,rc_subj,number,surgeon,bankers,hurt,himself,The surgeon that the bankers liked hurt himself . <eos>,The surgeon that the bankers liked hurt himself .
16,liked,embed,local,1,a,none,none,mechanic,surgeon,injured,himself,The mechanic that the surgeon liked injured himself . <eos>,The mechanic that the surgeon liked injured himself .
16,liked,embed,local,1,b,none,none,surgeon,mechanic,injured,himself,The surgeon that the mechanic liked injured himself . <eos>,The surgeon that the mechanic liked injured himself .
