item,clause_type,locality,grammatical,counterbalance,mismatch_position,mismatch_feature,nonlocal_subj,local_sub,verb,pronoun,sentence,sentence_no_eos
3,embed,nonlocal,1,a,local_subj,number,boy,fathers,devoted,him,The boy said that the fathers devoted him . <eos>,The boy said that the fathers devoted him .
3,embed,nonlocal,1,b,local_subj,number,father,boys,devoted,him,The father said that the boys devoted him . <eos>,The father said that the boys devoted him .
4,embed,nonlocal,1,a,none,none,boy,father,considered,him,The boy said that the father considered him . <eos>,The boy said that the father considered him .
4,embed,nonlocal,1,b,none,none,father,boy,considered,him,The father said that the boy considered him . <eos>,The father said that the boy considered him .
4,embed,local,0,a,nonlocal_subj,number,boys,father,considered,him,The boys said that the father considered him . <eos>,The boys said that the father considered him .
4,embed,local,0,b,nonlocal_subj,number,fathers,boy,considered,him,The fathers said that the boy considered him . <eos>,The fathers said that the boy considered him .
4,embed,nonlocal,1,a,local_subj,number,boy,fathers,considered,him,The boy said that the fathers considered him . <eos>,The boy said that the fathers considered him .
4,embed,nonlocal,1,b,local_subj,number,father,boys,considered,him,The father said that the boys considered him . <eos>,The father said that the boys considered him .
5,embed,nonlocal,1,a,none,none,boy,father,identified,him,The boy said that the father identified him . <eos>,The boy said that the father identified him .
5,embed,nonlocal,1,b,none,none,father,boy,identified,him,The father said that the boy identified him . <eos>,The father said that the boy identified him .
5,embed,local,0,a,nonlocal_subj,number,boys,father,identified,him,The boys said that the father identified him . <eos>,The boys said that the father identified him .
5,embed,local,0,b,nonlocal_subj,number,fathers,boy,identified,him,The fathers said that the boy identified him . <eos>,The fathers said that the boy identified him .
5,embed,nonlocal,1,a,local_subj,number,boy,fathers,identified,him,The boy said that the fathers identified him . <eos>,The boy said that the fathers identified him .
5,embed,nonlocal,1,b,local_subj,number,father,boys,identified,him,The father said that the boys identified him . <eos>,The father said that the boys identified him .
6,embed,nonlocal,1,a,none,none,boy,father,made,him,The boy said that the father made him . <eos>,The boy said that the father made him .
6,embed,nonlocal,1,b,none,none,father,boy,made,him,The father said that the boy made him . <eos>,The father said that the boy made him .
6,embed,local,0,a,nonlocal_subj,number,boys,father,made,him,The boys said that the father made him . <eos>,The boys said that the father made him .
6,embed,local,0,b,nonlocal_subj,number,fathers,boy,made,him,The fathers said that the boy made him . <eos>,The fathers said that the boy made him .
6,embed,nonlocal,1,a,local_subj,number,boy,fathers,made,him,The boy said that the fathers made him . <eos>,The boy said that the fathers made him .
6,embed,nonlocal,1,b,local_subj,number,father,boys,made,him,The father said that the boys made him . <eos>,The father said that the boys made him .
7,embed,nonlocal,1,a,none,none,boy,father,found,him,The boy said that the father found him . <eos>,The boy said that the father found him .
7,embed,nonlocal,1,b,none,none,father,boy,found,him,The father said that the boy found him . <eos>,The father said that the boy found him .
7,embed,local,0,a,nonlocal_subj,number,boys,father,found,him,The boys said that the father found him . <eos>,The boys said that the father found him .
7,embed,local,0,b,nonlocal_subj,number,fathers,boy,found,him,The fathers said that the boy found him . <eos>,The fathers said that the boy found him .
7,embed,nonlocal,1,a,local_subj,number,boy,fathers,found,him,The boy said that the fathers found him . <eos>,The boy said that the fathers found him .
7,embed,nonlocal,1,b,local_subj,number,father,boys,found,him,The father said that the boys found him . <eos>,The father said that the boys found him .
8,embed,nonlocal,1,a,none,none,boy,father,distinguished,him,The boy said that the father distinguished him . <eos>,The boy said that the father distinguished him .
8,embed,nonlocal,1,b,none,none,father,boy,distinguished,him,The father said that the boy distinguished him . <eos>,The father said that the boy distinguished him .
8,embed,local,0,a,nonlocal_subj,number,boys,father,distinguished,him,The boys said that the father distinguished him . <eos>,The boys said that the father distinguished him .
8,embed,local,0,b,nonlocal_subj,number,fathers,boy,distinguished,him,The fathers said that the boy distinguished him . <eos>,The fathers said that the boy distinguished him .
8,embed,nonlocal,1,a,local_subj,number,boy,fathers,distinguished,him,The boy said that the fathers distinguished him . <eos>,The boy said that the fathers distinguished him .
8,embed,nonlocal,1,b,local_subj,number,father,boys,distinguished,him,The father said that the boys distinguished him . <eos>,The father said that the boys distinguished him .
9,embed,nonlocal,1,a,none,none,boy,father,taught,him,The boy said that the father taught him . <eos>,The boy said that the father taught him .
9,embed,nonlocal,1,b,none,none,father,boy,taught,him,The father said that the boy taught him . <eos>,The father said that the boy taught him .
9,embed,local,0,a,nonlocal_subj,number,boys,father,taught,him,The boys said that the father taught him . <eos>,The boys said that the father taught him .
9,embed,local,0,b,nonlocal_subj,number,fathers,boy,taught,him,The fathers said that the boy taught him . <eos>,The fathers said that the boy taught him .
9,embed,nonlocal,1,a,local_subj,number,boy,fathers,taught,him,The boy said that the fathers taught him . <eos>,The boy said that the fathers taught him .
9,embed,nonlocal,1,b,local_subj,number,father,boys,taught,him,The father said that the boys taught him . <eos>,The father said that the boys taught him .
10,embed,nonlocal,1,a,none,none,boy,father,killed,him,The boy said that the father killed him . <eos>,The boy said that the father killed him .
10,embed,nonlocal,1,b,none,none,father,boy,killed,him,The father said that the boy killed him . <eos>,The father said that the boy killed him .
10,embed,local,0,a,nonlocal_subj,number,boys,father,killed,him,The boys said that the father killed him . <eos>,The boys said that the father killed him .
10,embed,local,0,b,nonlocal_subj,number,fathers,boy,killed,him,The fathers said that the boy killed him . <eos>,The fathers said that the boy killed him .
10,embed,nonlocal,1,a,local_subj,number,boy,fathers,killed,him,The boy said that the fathers killed him . <eos>,The boy said that the fathers killed him .
10,embed,nonlocal,1,b,local_subj,number,father,boys,killed,him,The father said that the boys killed him . <eos>,The father said that the boys killed him .
11,embed,nonlocal,1,a,none,none,boy,father,called,him,The boy said that the father called him . <eos>,The boy said that the father called him .
11,embed,nonlocal,1,b,none,none,father,boy,called,him,The father said that the boy called him . <eos>,The father said that the boy called him .
11,embed,local,0,a,nonlocal_subj,number,boys,father,called,him,The boys said that the father called him . <eos>,The boys said that the father called him .
11,embed,local,0,b,nonlocal_subj,number,fathers,boy,called,him,The fathers said that the boy called him . <eos>,The fathers said that the boy called him .
11,embed,nonlocal,1,a,local_subj,number,boy,fathers,called,him,The boy said that the fathers called him . <eos>,The boy said that the fathers called him .
11,embed,nonlocal,1,b,local_subj,number,father,boys,called,him,The father said that the boys called him . <eos>,The father said that the boys called him .
12,embed,nonlocal,1,a,none,none,boy,father,dedicated,him,The boy said that the father dedicated him . <eos>,The boy said that the father dedicated him .
12,embed,nonlocal,1,b,none,none,father,boy,dedicated,him,The father said that the boy dedicated him . <eos>,The father said that the boy dedicated him .
12,embed,local,0,a,nonlocal_subj,number,boys,father,dedicated,him,The boys said that the father dedicated him . <eos>,The boys said that the father dedicated him .
12,embed,local,0,b,nonlocal_subj,number,fathers,boy,dedicated,him,The fathers said that the boy dedicated him . <eos>,The fathers said that the boy dedicated him .
12,embed,nonlocal,1,a,local_subj,number,boy,fathers,dedicated,him,The boy said that the fathers dedicated him . <eos>,The boy said that the fathers dedicated him .
12,embed,nonlocal,1,b,local_subj,number,father,boys,dedicated,him,The father said that the boys dedicated him . <eos>,The father said that the boys dedicated him .
13,embed,nonlocal,1,a,none,none,boy,father,declared,him,The boy said that the father declared him . <eos>,The boy said that the father declared him .
13,embed,nonlocal,1,b,none,none,father,boy,declared,him,The father said that the boy declared him . <eos>,The father said that the boy declared him .
13,embed,local,0,a,nonlocal_subj,number,boys,father,declared,him,The boys said that the father declared him . <eos>,The boys said that the father declared him .
13,embed,local,0,b,nonlocal_subj,number,fathers,boy,declared,him,The fathers said that the boy declared him . <eos>,The fathers said that the boy declared him .
13,embed,nonlocal,1,a,local_subj,number,boy,fathers,declared,him,The boy said that the fathers declared him . <eos>,The boy said that the fathers declared him .
13,embed,nonlocal,1,b,local_subj,number,father,boys,declared,him,The father said that the boys declared him . <eos>,The father said that the boys declared him .
14,embed,nonlocal,1,a,none,none,boy,father,proved,him,The boy said that the father proved him . <eos>,The boy said that the father proved him .
14,embed,nonlocal,1,b,none,none,father,boy,proved,him,The father said that the boy proved him . <eos>,The father said that the boy proved him .
14,embed,local,0,a,nonlocal_subj,number,boys,father,proved,him,The boys said that the father proved him . <eos>,The boys said that the father proved him .
14,embed,local,0,b,nonlocal_subj,number,fathers,boy,proved,him,The fathers said that the boy proved him . <eos>,The fathers said that the boy proved him .
14,embed,nonlocal,1,a,local_subj,number,boy,fathers,proved,him,The boy said that the fathers proved him . <eos>,The boy said that the fathers proved him .
14,embed,nonlocal,1,b,local_subj,number,father,boys,proved,him,The father said that the boys proved him . <eos>,The father said that the boys proved him .
15,embed,nonlocal,1,a,none,none,boy,father,shot,him,The boy said that the father shot him . <eos>,The boy said that the father shot him .
15,embed,nonlocal,1,b,none,none,father,boy,shot,him,The father said that the boy shot him . <eos>,The father said that the boy shot him .
15,embed,local,0,a,nonlocal_subj,number,boys,father,shot,him,The boys said that the father shot him . <eos>,The boys said that the father shot him .
15,embed,local,0,b,nonlocal_subj,number,fathers,boy,shot,him,The fathers said that the boy shot him . <eos>,The fathers said that the boy shot him .
15,embed,nonlocal,1,a,local_subj,number,boy,fathers,shot,him,The boy said that the fathers shot him . <eos>,The boy said that the fathers shot him .
15,embed,nonlocal,1,b,local_subj,number,father,boys,shot,him,The father said that the boys shot him . <eos>,The father said that the boys shot him .
16,embed,nonlocal,1,a,none,none,boy,son,saw,him,The boy said that the son saw him . <eos>,The boy said that the son saw him .
16,embed,nonlocal,1,b,none,none,son,boy,saw,him,The son said that the boy saw him . <eos>,The son said that the boy saw him .
16,embed,local,0,a,nonlocal_subj,number,boys,son,saw,him,The boys said that the son saw him . <eos>,The boys said that the son saw him .
16,embed,local,0,b,nonlocal_subj,number,sons,boy,saw,him,The sons said that the boy saw him . <eos>,The sons said that the boy saw him .
16,embed,nonlocal,1,a,local_subj,number,boy,sons,saw,him,The boy said that the sons saw him . <eos>,The boy said that the sons saw him .
16,embed,nonlocal,1,b,local_subj,number,son,boys,saw,him,The son said that the boys saw him . <eos>,The son said that the boys saw him .
17,embed,nonlocal,1,a,none,none,boy,son,established,him,The boy said that the son established him . <eos>,The boy said that the son established him .
17,embed,nonlocal,1,b,none,none,son,boy,established,him,The son said that the boy established him . <eos>,The son said that the boy established him .
17,embed,local,0,a,nonlocal_subj,number,boys,son,established,him,The boys said that the son established him . <eos>,The boys said that the son established him .
17,embed,local,0,b,nonlocal_subj,number,sons,boy,established,him,The sons said that the boy established him . <eos>,The sons said that the boy established him .
17,embed,nonlocal,1,a,local_subj,number,boy,sons,established,him,The boy said that the sons established him . <eos>,The boy said that the sons established him .
17,embed,nonlocal,1,b,local_subj,number,son,boys,established,him,The son said that the boys established him . <eos>,The son said that the boys established him .
18,embed,nonlocal,1,a,none,none,boy,son,devoted,him,The boy said that the son devoted him . <eos>,The boy said that the son devoted him .
18,embed,nonlocal,1,b,none,none,son,boy,devoted,him,The son said that the boy devoted him . <eos>,The son said that the boy devoted him .
18,embed,local,0,a,nonlocal_subj,number,boys,son,devoted,him,The boys said that the son devoted him . <eos>,The boys said that the son devoted him .
18,embed,local,0,b,nonlocal_subj,number,sons,boy,devoted,him,The sons said that the boy devoted him . <eos>,The sons said that the boy devoted him .
18,embed,nonlocal,1,a,local_subj,number,boy,sons,devoted,him,The boy said that the sons devoted him . <eos>,The boy said that the sons devoted him .
18,embed,nonlocal,1,b,local_subj,number,son,boys,devoted,him,The son said that the boys devoted him . <eos>,The son said that the boys devoted him .
19,embed,nonlocal,1,a,none,none,boy,son,considered,him,The boy said that the son considered him . <eos>,The boy said that the son considered him .
19,embed,nonlocal,1,b,none,none,son,boy,considered,him,The son said that the boy considered him . <eos>,The son said that the boy considered him .
19,embed,local,0,a,nonlocal_subj,number,boys,son,considered,him,The boys said that the son considered him . <eos>,The boys said that the son considered him .
19,embed,local,0,b,nonlocal_subj,number,sons,boy,considered,him,The sons said that the boy considered him . <eos>,The sons said that the boy considered him .
19,embed,nonlocal,1,a,local_subj,number,boy,sons,considered,him,The boy said that the sons considered him . <eos>,The boy said that the sons considered him .
19,embed,nonlocal,1,b,local_subj,number,son,boys,considered,him,The son said that the boys considered him . <eos>,The son said that the boys considered him .
20,embed,nonlocal,1,a,none,none,boy,son,identified,him,The boy said that the son identified him . <eos>,The boy said that the son identified him .
20,embed,nonlocal,1,b,none,none,son,boy,identified,him,The son said that the boy identified him . <eos>,The son said that the boy identified him .
20,embed,local,0,a,nonlocal_subj,number,boys,son,identified,him,The boys said that the son identified him . <eos>,The boys said that the son identified him .
20,embed,local,0,b,nonlocal_subj,number,sons,boy,identified,him,The sons said that the boy identified him . <eos>,The sons said that the boy identified him .
20,embed,nonlocal,1,a,local_subj,number,boy,sons,identified,him,The boy said that the sons identified him . <eos>,The boy said that the sons identified him .
20,embed,nonlocal,1,b,local_subj,number,son,boys,identified,him,The son said that the boys identified him . <eos>,The son said that the boys identified him .
21,embed,nonlocal,1,a,none,none,boy,son,made,him,The boy said that the son made him . <eos>,The boy said that the son made him .
21,embed,nonlocal,1,b,none,none,son,boy,made,him,The son said that the boy made him . <eos>,The son said that the boy made him .
21,embed,local,0,a,nonlocal_subj,number,boys,son,made,him,The boys said that the son made him . <eos>,The boys said that the son made him .
21,embed,local,0,b,nonlocal_subj,number,sons,boy,made,him,The sons said that the boy made him . <eos>,The sons said that the boy made him .
21,embed,nonlocal,1,a,local_subj,number,boy,sons,made,him,The boy said that the sons made him . <eos>,The boy said that the sons made him .
21,embed,nonlocal,1,b,local_subj,number,son,boys,made,him,The son said that the boys made him . <eos>,The son said that the boys made him .
22,embed,nonlocal,1,a,none,none,boy,son,found,him,The boy said that the son found him . <eos>,The boy said that the son found him .
22,embed,nonlocal,1,b,none,none,son,boy,found,him,The son said that the boy found him . <eos>,The son said that the boy found him .
22,embed,local,0,a,nonlocal_subj,number,boys,son,found,him,The boys said that the son found him . <eos>,The boys said that the son found him .
22,embed,local,0,b,nonlocal_subj,number,sons,boy,found,him,The sons said that the boy found him . <eos>,The sons said that the boy found him .
22,embed,nonlocal,1,a,local_subj,number,boy,sons,found,him,The boy said that the sons found him . <eos>,The boy said that the sons found him .
22,embed,nonlocal,1,b,local_subj,number,son,boys,found,him,The son said that the boys found him . <eos>,The son said that the boys found him .
23,embed,nonlocal,1,a,none,none,boy,son,distinguished,him,The boy said that the son distinguished him . <eos>,The boy said that the son distinguished him .
23,embed,nonlocal,1,b,none,none,son,boy,distinguished,him,The son said that the boy distinguished him . <eos>,The son said that the boy distinguished him .
23,embed,local,0,a,nonlocal_subj,number,boys,son,distinguished,him,The boys said that the son distinguished him . <eos>,The boys said that the son distinguished him .
23,embed,local,0,b,nonlocal_subj,number,sons,boy,distinguished,him,The sons said that the boy distinguished him . <eos>,The sons said that the boy distinguished him .
23,embed,nonlocal,1,a,local_subj,number,boy,sons,distinguished,him,The boy said that the sons distinguished him . <eos>,The boy said that the sons distinguished him .
23,embed,nonlocal,1,b,local_subj,number,son,boys,distinguished,him,The son said that the boys distinguished him . <eos>,The son said that the boys distinguished him .
24,embed,nonlocal,1,a,none,none,boy,son,taught,him,The boy said that the son taught him . <eos>,The boy said that the son taught him .
24,embed,nonlocal,1,b,none,none,son,boy,taught,him,The son said that the boy taught him . <eos>,The son said that the boy taught him .
24,embed,local,0,a,nonlocal_subj,number,boys,son,taught,him,The boys said that the son taught him . <eos>,The boys said that the son taught him .
24,embed,local,0,b,nonlocal_subj,number,sons,boy,taught,him,The sons said that the boy taught him . <eos>,The sons said that the boy taught him .
24,embed,nonlocal,1,a,local_subj,number,boy,sons,taught,him,The boy said that the sons taught him . <eos>,The boy said that the sons taught him .
24,embed,nonlocal,1,b,local_subj,number,son,boys,taught,him,The son said that the boys taught him . <eos>,The son said that the boys taught him .
25,embed,nonlocal,1,a,none,none,boy,son,killed,him,The boy said that the son killed him . <eos>,The boy said that the son killed him .
25,embed,nonlocal,1,b,none,none,son,boy,killed,him,The son said that the boy killed him . <eos>,The son said that the boy killed him .
25,embed,local,0,a,nonlocal_subj,number,boys,son,killed,him,The boys said that the son killed him . <eos>,The boys said that the son killed him .
25,embed,local,0,b,nonlocal_subj,number,sons,boy,killed,him,The sons said that the boy killed him . <eos>,The sons said that the boy killed him .
25,embed,nonlocal,1,a,local_subj,number,boy,sons,killed,him,The boy said that the sons killed him . <eos>,The boy said that the sons killed him .
25,embed,nonlocal,1,b,local_subj,number,son,boys,killed,him,The son said that the boys killed him . <eos>,The son said that the boys killed him .
26,embed,nonlocal,1,a,none,none,boy,son,called,him,The boy said that the son called him . <eos>,The boy said that the son called him .
26,embed,nonlocal,1,b,none,none,son,boy,called,him,The son said that the boy called him . <eos>,The son said that the boy called him .
26,embed,local,0,a,nonlocal_subj,number,boys,son,called,him,The boys said that the son called him . <eos>,The boys said that the son called him .
26,embed,local,0,b,nonlocal_subj,number,sons,boy,called,him,The sons said that the boy called him . <eos>,The sons said that the boy called him .
26,embed,nonlocal,1,a,local_subj,number,boy,sons,called,him,The boy said that the sons called him . <eos>,The boy said that the sons called him .
26,embed,nonlocal,1,b,local_subj,number,son,boys,called,him,The son said that the boys called him . <eos>,The son said that the boys called him .
27,embed,nonlocal,1,a,none,none,boy,son,dedicated,him,The boy said that the son dedicated him . <eos>,The boy said that the son dedicated him .
27,embed,nonlocal,1,b,none,none,son,boy,dedicated,him,The son said that the boy dedicated him . <eos>,The son said that the boy dedicated him .
27,embed,local,0,a,nonlocal_subj,number,boys,son,dedicated,him,The boys said that the son dedicated him . <eos>,The boys said that the son dedicated him .
27,embed,local,0,b,nonlocal_subj,number,sons,boy,dedicated,him,The sons said that the boy dedicated him . <eos>,The sons said that the boy dedicated him .
27,embed,nonlocal,1,a,local_subj,number,boy,sons,dedicated,him,The boy said that the sons dedicated him . <eos>,The boy said that the sons dedicated him .
27,embed,nonlocal,1,b,local_subj,number,son,boys,dedicated,him,The son said that the boys dedicated him . <eos>,The son said that the boys dedicated him .
28,embed,nonlocal,1,a,none,none,boy,son,declared,him,The boy said that the son declared him . <eos>,The boy said that the son declared him .
28,embed,nonlocal,1,b,none,none,son,boy,declared,him,The son said that the boy declared him . <eos>,The son said that the boy declared him .
28,embed,local,0,a,nonlocal_subj,number,boys,son,declared,him,The boys said that the son declared him . <eos>,The boys said that the son declared him .
28,embed,local,0,b,nonlocal_subj,number,sons,boy,declared,him,The sons said that the boy declared him . <eos>,The sons said that the boy declared him .
28,embed,nonlocal,1,a,local_subj,number,boy,sons,declared,him,The boy said that the sons declared him . <eos>,The boy said that the sons declared him .
28,embed,nonlocal,1,b,local_subj,number,son,boys,declared,him,The son said that the boys declared him . <eos>,The son said that the boys declared him .
29,embed,nonlocal,1,a,none,none,boy,son,proved,him,The boy said that the son proved him . <eos>,The boy said that the son proved him .
29,embed,nonlocal,1,b,none,none,son,boy,proved,him,The son said that the boy proved him . <eos>,The son said that the boy proved him .
29,embed,local,0,a,nonlocal_subj,number,boys,son,proved,him,The boys said that the son proved him . <eos>,The boys said that the son proved him .
29,embed,local,0,b,nonlocal_subj,number,sons,boy,proved,him,The sons said that the boy proved him . <eos>,The sons said that the boy proved him .
29,embed,nonlocal,1,a,local_subj,number,boy,sons,proved,him,The boy said that the sons proved him . <eos>,The boy said that the sons proved him .
29,embed,nonlocal,1,b,local_subj,number,son,boys,proved,him,The son said that the boys proved him . <eos>,The son said that the boys proved him .
30,embed,nonlocal,1,a,none,none,boy,son,shot,him,The boy said that the son shot him . <eos>,The boy said that the son shot him .
30,embed,nonlocal,1,b,none,none,son,boy,shot,him,The son said that the boy shot him . <eos>,The son said that the boy shot him .
30,embed,local,0,a,nonlocal_subj,number,boys,son,shot,him,The boys said that the son shot him . <eos>,The boys said that the son shot him .
30,embed,local,0,b,nonlocal_subj,number,sons,boy,shot,him,The sons said that the boy shot him . <eos>,The sons said that the boy shot him .
30,embed,nonlocal,1,a,local_subj,number,boy,sons,shot,him,The boy said that the sons shot him . <eos>,The boy said that the sons shot him .
30,embed,nonlocal,1,b,local_subj,number,son,boys,shot,him,The son said that the boys shot him . <eos>,The son said that the boys shot him .
31,embed,nonlocal,1,a,none,none,boy,man,saw,him,The boy said that the man saw him . <eos>,The boy said that the man saw him .
31,embed,nonlocal,1,b,none,none,man,boy,saw,him,The man said that the boy saw him . <eos>,The man said that the boy saw him .
31,embed,local,0,a,nonlocal_subj,number,boys,man,saw,him,The boys said that the man saw him . <eos>,The boys said that the man saw him .
31,embed,local,0,b,nonlocal_subj,number,men,boy,saw,him,The men said that the boy saw him . <eos>,The men said that the boy saw him .
31,embed,nonlocal,1,a,local_subj,number,boy,men,saw,him,The boy said that the men saw him . <eos>,The boy said that the men saw him .
31,embed,nonlocal,1,b,local_subj,number,man,boys,saw,him,The man said that the boys saw him . <eos>,The man said that the boys saw him .
32,embed,nonlocal,1,a,none,none,boy,man,established,him,The boy said that the man established him . <eos>,The boy said that the man established him .
32,embed,nonlocal,1,b,none,none,man,boy,established,him,The man said that the boy established him . <eos>,The man said that the boy established him .
32,embed,local,0,a,nonlocal_subj,number,boys,man,established,him,The boys said that the man established him . <eos>,The boys said that the man established him .
32,embed,local,0,b,nonlocal_subj,number,men,boy,established,him,The men said that the boy established him . <eos>,The men said that the boy established him .
32,embed,nonlocal,1,a,local_subj,number,boy,men,established,him,The boy said that the men established him . <eos>,The boy said that the men established him .
32,embed,nonlocal,1,b,local_subj,number,man,boys,established,him,The man said that the boys established him . <eos>,The man said that the boys established him .
33,embed,nonlocal,1,a,none,none,boy,man,devoted,him,The boy said that the man devoted him . <eos>,The boy said that the man devoted him .
33,embed,nonlocal,1,b,none,none,man,boy,devoted,him,The man said that the boy devoted him . <eos>,The man said that the boy devoted him .
33,embed,local,0,a,nonlocal_subj,number,boys,man,devoted,him,The boys said that the man devoted him . <eos>,The boys said that the man devoted him .
33,embed,local,0,b,nonlocal_subj,number,men,boy,devoted,him,The men said that the boy devoted him . <eos>,The men said that the boy devoted him .
33,embed,nonlocal,1,a,local_subj,number,boy,men,devoted,him,The boy said that the men devoted him . <eos>,The boy said that the men devoted him .
33,embed,nonlocal,1,b,local_subj,number,man,boys,devoted,him,The man said that the boys devoted him . <eos>,The man said that the boys devoted him .
34,embed,nonlocal,1,a,none,none,boy,man,considered,him,The boy said that the man considered him . <eos>,The boy said that the man considered him .
34,embed,nonlocal,1,b,none,none,man,boy,considered,him,The man said that the boy considered him . <eos>,The man said that the boy considered him .
34,embed,local,0,a,nonlocal_subj,number,boys,man,considered,him,The boys said that the man considered him . <eos>,The boys said that the man considered him .
34,embed,local,0,b,nonlocal_subj,number,men,boy,considered,him,The men said that the boy considered him . <eos>,The men said that the boy considered him .
34,embed,nonlocal,1,a,local_subj,number,boy,men,considered,him,The boy said that the men considered him . <eos>,The boy said that the men considered him .
34,embed,nonlocal,1,b,local_subj,number,man,boys,considered,him,The man said that the boys considered him . <eos>,The man said that the boys considered him .
35,embed,nonlocal,1,a,none,none,boy,man,identified,him,The boy said that the man identified him . <eos>,The boy said that the man identified him .
35,embed,nonlocal,1,b,none,none,man,boy,identified,him,The man said that the boy identified him . <eos>,The man said that the boy identified him .
35,embed,local,0,a,nonlocal_subj,number,boys,man,identified,him,The boys said that the man identified him . <eos>,The boys said that the man identified him .
35,embed,local,0,b,nonlocal_subj,number,men,boy,identified,him,The men said that the boy identified him . <eos>,The men said that the boy identified him .
35,embed,nonlocal,1,a,local_subj,number,boy,men,identified,him,The boy said that the men identified him . <eos>,The boy said that the men identified him .
35,embed,nonlocal,1,b,local_subj,number,man,boys,identified,him,The man said that the boys identified him . <eos>,The man said that the boys identified him .
36,embed,nonlocal,1,a,none,none,boy,man,made,him,The boy said that the man made him . <eos>,The boy said that the man made him .
36,embed,nonlocal,1,b,none,none,man,boy,made,him,The man said that the boy made him . <eos>,The man said that the boy made him .
36,embed,local,0,a,nonlocal_subj,number,boys,man,made,him,The boys said that the man made him . <eos>,The boys said that the man made him .
36,embed,local,0,b,nonlocal_subj,number,men,boy,made,him,The men said that the boy made him . <eos>,The men said that the boy made him .
36,embed,nonlocal,1,a,local_subj,number,boy,men,made,him,The boy said that the men made him . <eos>,The boy said that the men made him .
36,embed,nonlocal,1,b,local_subj,number,man,boys,made,him,The man said that the boys made him . <eos>,The man said that the boys made him .
37,embed,nonlocal,1,a,none,none,boy,man,found,him,The boy said that the man found him . <eos>,The boy said that the man found him .
37,embed,nonlocal,1,b,none,none,man,boy,found,him,The man said that the boy found him . <eos>,The man said that the boy found him .
37,embed,local,0,a,nonlocal_subj,number,boys,man,found,him,The boys said that the man found him . <eos>,The boys said that the man found him .
37,embed,local,0,b,nonlocal_subj,number,men,boy,found,him,The men said that the boy found him . <eos>,The men said that the boy found him .
37,embed,nonlocal,1,a,local_subj,number,boy,men,found,him,The boy said that the men found him . <eos>,The boy said that the men found him .
37,embed,nonlocal,1,b,local_subj,number,man,boys,found,him,The man said that the boys found him . <eos>,The man said that the boys found him .
38,embed,nonlocal,1,a,none,none,boy,man,distinguished,him,The boy said that the man distinguished him . <eos>,The boy said that the man distinguished him .
38,embed,nonlocal,1,b,none,none,man,boy,distinguished,him,The man said that the boy distinguished him . <eos>,The man said that the boy distinguished him .
38,embed,local,0,a,nonlocal_subj,number,boys,man,distinguished,him,The boys said that the man distinguished him . <eos>,The boys said that the man distinguished him .
38,embed,local,0,b,nonlocal_subj,number,men,boy,distinguished,him,The men said that the boy distinguished him . <eos>,The men said that the boy distinguished him .
38,embed,nonlocal,1,a,local_subj,number,boy,men,distinguished,him,The boy said that the men distinguished him . <eos>,The boy said that the men distinguished him .
38,embed,nonlocal,1,b,local_subj,number,man,boys,distinguished,him,The man said that the boys distinguished him . <eos>,The man said that the boys distinguished him .
39,embed,nonlocal,1,a,none,none,boy,man,taught,him,The boy said that the man taught him . <eos>,The boy said that the man taught him .
