item,clause_type,locality,c-command,grammatical,counterbalance,mismatch_position,mismatch_feature,matrix_subj_noun,rc_subj_noun,verb,pronoun,sentence,sentence_no_eos
17,simple,local,c-command,1,a,none,none,girl,daughter,established,herself,The girl that the daughter liked established herself . <eos>,The girl that the daughter liked established herself .
17,simple,local,c-command,1,b,none,none,daughter,girl,established,herself,The daughter that the girl liked established herself . <eos>,The daughter that the girl liked established herself .
17,simple,local,no-c-command,0,a,matrix_subj,number,girls,daughter,established,herself,The girls that the daughter liked established herself . <eos>,The girls that the daughter liked established herself .
17,simple,local,no-c-command,0,b,matrix_subj,number,daughters,girl,established,herself,The daughters that the girl liked established herself . <eos>,The daughters that the girl liked established herself .
17,simple,local,c-command,1,a,rc_subj,number,girl,daughters,established,herself,The girl that the daughters liked established herself . <eos>,The girl that the daughters liked established herself .
17,simple,local,c-command,1,b,rc_subj,number,daughter,girls,established,herself,The daughter that the girls liked established herself . <eos>,The daughter that the girls liked established herself .
18,simple,local,c-command,1,a,none,none,girl,daughter,devoted,herself,The girl that the daughter liked devoted herself . <eos>,The girl that the daughter liked devoted herself .
18,simple,local,c-command,1,b,none,none,daughter,girl,devoted,herself,The daughter that the girl liked devoted herself . <eos>,The daughter that the girl liked devoted herself .
18,simple,local,no-c-command,0,a,matrix_subj,number,girls,daughter,devoted,herself,The girls that the daughter liked devoted herself . <eos>,The girls that the daughter liked devoted herself .
18,simple,local,no-c-command,0,b,matrix_subj,number,daughters,girl,devoted,herself,The daughters that the girl liked devoted herself . <eos>,The daughters that the girl liked devoted herself .
18,simple,local,c-command,1,a,rc_subj,number,girl,daughters,devoted,herself,The girl that the daughters liked devoted herself . <eos>,The girl that the daughters liked devoted herself .
18,simple,local,c-command,1,b,rc_subj,number,daughter,girls,devoted,herself,The daughter that the girls liked devoted herself . <eos>,The daughter that the girls liked devoted herself .
19,simple,local,c-command,1,a,none,none,girl,daughter,considered,herself,The girl that the daughter liked considered herself . <eos>,The girl that the daughter liked considered herself .
19,simple,local,c-command,1,b,none,none,daughter,girl,considered,herself,The daughter that the girl liked considered herself . <eos>,The daughter that the girl liked considered herself .
19,simple,local,no-c-command,0,a,matrix_subj,number,girls,daughter,considered,herself,The girls that the daughter liked considered herself . <eos>,The girls that the daughter liked considered herself .
19,simple,local,no-c-command,0,b,matrix_subj,number,daughters,girl,considered,herself,The daughters that the girl liked considered herself . <eos>,The daughters that the girl liked considered herself .
19,simple,local,c-command,1,a,rc_subj,number,girl,daughters,considered,herself,The girl that the daughters liked considered herself . <eos>,The girl that the daughters liked considered herself .
19,simple,local,c-command,1,b,rc_subj,number,daughter,girls,considered,herself,The daughter that the girls liked considered herself . <eos>,The daughter that the girls liked considered herself .
20,simple,local,c-command,1,a,none,none,girl,daughter,identified,herself,The girl that the daughter liked identified herself . <eos>,The girl that the daughter liked identified herself .
20,simple,local,c-command,1,b,none,none,daughter,girl,identified,herself,The daughter that the girl liked identified herself . <eos>,The daughter that the girl liked identified herself .
20,simple,local,no-c-command,0,a,matrix_subj,number,girls,daughter,identified,herself,The girls that the daughter liked identified herself . <eos>,The girls that the daughter liked identified herself .
20,simple,local,no-c-command,0,b,matrix_subj,number,daughters,girl,identified,herself,The daughters that the girl liked identified herself . <eos>,The daughters that the girl liked identified herself .
20,simple,local,c-command,1,a,rc_subj,number,girl,daughters,identified,herself,The girl that the daughters liked identified herself . <eos>,The girl that the daughters liked identified herself .
20,simple,local,c-command,1,b,rc_subj,number,daughter,girls,identified,herself,The daughter that the girls liked identified herself . <eos>,The daughter that the girls liked identified herself .
21,simple,local,c-command,1,a,none,none,girl,daughter,made,herself,The girl that the daughter liked made herself . <eos>,The girl that the daughter liked made herself .
21,simple,local,c-command,1,b,none,none,daughter,girl,made,herself,The daughter that the girl liked made herself . <eos>,The daughter that the girl liked made herself .
21,simple,local,no-c-command,0,a,matrix_subj,number,girls,daughter,made,herself,The girls that the daughter liked made herself . <eos>,The girls that the daughter liked made herself .
21,simple,local,no-c-command,0,b,matrix_subj,number,daughters,girl,made,herself,The daughters that the girl liked made herself . <eos>,The daughters that the girl liked made herself .
21,simple,local,c-command,1,a,rc_subj,number,girl,daughters,made,herself,The girl that the daughters liked made herself . <eos>,The girl that the daughters liked made herself .
21,simple,local,c-command,1,b,rc_subj,number,daughter,girls,made,herself,The daughter that the girls liked made herself . <eos>,The daughter that the girls liked made herself .
22,simple,local,c-command,1,a,none,none,girl,daughter,found,herself,The girl that the daughter liked found herself . <eos>,The girl that the daughter liked found herself .
22,simple,local,c-command,1,b,none,none,daughter,girl,found,herself,The daughter that the girl liked found herself . <eos>,The daughter that the girl liked found herself .
22,simple,local,no-c-command,0,a,matrix_subj,number,girls,daughter,found,herself,The girls that the daughter liked found herself . <eos>,The girls that the daughter liked found herself .
22,simple,local,no-c-command,0,b,matrix_subj,number,daughters,girl,found,herself,The daughters that the girl liked found herself . <eos>,The daughters that the girl liked found herself .
22,simple,local,c-command,1,a,rc_subj,number,girl,daughters,found,herself,The girl that the daughters liked found herself . <eos>,The girl that the daughters liked found herself .
22,simple,local,c-command,1,b,rc_subj,number,daughter,girls,found,herself,The daughter that the girls liked found herself . <eos>,The daughter that the girls liked found herself .
23,simple,local,c-command,1,a,none,none,girl,daughter,distinguished,herself,The girl that the daughter liked distinguished herself . <eos>,The girl that the daughter liked distinguished herself .
23,simple,local,c-command,1,b,none,none,daughter,girl,distinguished,herself,The daughter that the girl liked distinguished herself . <eos>,The daughter that the girl liked distinguished herself .
23,simple,local,no-c-command,0,a,matrix_subj,number,girls,daughter,distinguished,herself,The girls that the daughter liked distinguished herself . <eos>,The girls that the daughter liked distinguished herself .
23,simple,local,no-c-command,0,b,matrix_subj,number,daughters,girl,distinguished,herself,The daughters that the girl liked distinguished herself . <eos>,The daughters that the girl liked distinguished herself .
23,simple,local,c-command,1,a,rc_subj,number,girl,daughters,distinguished,herself,The girl that the daughters liked distinguished herself . <eos>,The girl that the daughters liked distinguished herself .
23,simple,local,c-command,1,b,rc_subj,number,daughter,girls,distinguished,herself,The daughter that the girls liked distinguished herself . <eos>,The daughter that the girls liked distinguished herself .
24,simple,local,c-command,1,a,none,none,girl,daughter,taught,herself,The girl that the daughter liked taught herself . <eos>,The girl that the daughter liked taught herself .
24,simple,local,c-command,1,b,none,none,daughter,girl,taught,herself,The daughter that the girl liked taught herself . <eos>,The daughter that the girl liked taught herself .
24,simple,local,no-c-command,0,a,matrix_subj,number,girls,daughter,taught,herself,The girls that the daughter liked taught herself . <eos>,The girls that the daughter liked taught herself .
24,simple,local,no-c-command,0,b,matrix_subj,number,daughters,girl,taught,herself,The daughters that the girl liked taught herself . <eos>,The daughters that the girl liked taught herself .
24,simple,local,c-command,1,a,rc_subj,number,girl,daughters,taught,herself,The girl that the daughters liked taught herself . <eos>,The girl that the daughters liked taught herself .
24,simple,local,c-command,1,b,rc_subj,number,daughter,girls,taught,herself,The daughter that the girls liked taught herself . <eos>,The daughter that the girls liked taught herself .
25,simple,local,c-command,1,a,none,none,girl,daughter,killed,herself,The girl that the daughter liked killed herself . <eos>,The girl that the daughter liked killed herself .
25,simple,local,c-command,1,b,none,none,daughter,girl,killed,herself,The daughter that the girl liked killed herself . <eos>,The daughter that the girl liked killed herself .
25,simple,local,no-c-command,0,a,matrix_subj,number,girls,daughter,killed,herself,The girls that the daughter liked killed herself . <eos>,The girls that the daughter liked killed herself .
25,simple,local,no-c-command,0,b,matrix_subj,number,daughters,girl,killed,herself,The daughters that the girl liked killed herself . <eos>,The daughters that the girl liked killed herself .
25,simple,local,c-command,1,a,rc_subj,number,girl,daughters,killed,herself,The girl that the daughters liked killed herself . <eos>,The girl that the daughters liked killed herself .
25,simple,local,c-command,1,b,rc_subj,number,daughter,girls,killed,herself,The daughter that the girls liked killed herself . <eos>,The daughter that the girls liked killed herself .
26,simple,local,c-command,1,a,none,none,girl,daughter,called,herself,The girl that the daughter liked called herself . <eos>,The girl that the daughter liked called herself .
26,simple,local,c-command,1,b,none,none,daughter,girl,called,herself,The daughter that the girl liked called herself . <eos>,The daughter that the girl liked called herself .
26,simple,local,no-c-command,0,a,matrix_subj,number,girls,daughter,called,herself,The girls that the daughter liked called herself . <eos>,The girls that the daughter liked called herself .
26,simple,local,no-c-command,0,b,matrix_subj,number,daughters,girl,called,herself,The daughters that the girl liked called herself . <eos>,The daughters that the girl liked called herself .
26,simple,local,c-command,1,a,rc_subj,number,girl,daughters,called,herself,The girl that the daughters liked called herself . <eos>,The girl that the daughters liked called herself .
26,simple,local,c-command,1,b,rc_subj,number,daughter,girls,called,herself,The daughter that the girls liked called herself . <eos>,The daughter that the girls liked called herself .
27,simple,local,c-command,1,a,none,none,girl,daughter,dedicated,herself,The girl that the daughter liked dedicated herself . <eos>,The girl that the daughter liked dedicated herself .
27,simple,local,c-command,1,b,none,none,daughter,girl,dedicated,herself,The daughter that the girl liked dedicated herself . <eos>,The daughter that the girl liked dedicated herself .
27,simple,local,no-c-command,0,a,matrix_subj,number,girls,daughter,dedicated,herself,The girls that the daughter liked dedicated herself . <eos>,The girls that the daughter liked dedicated herself .
27,simple,local,no-c-command,0,b,matrix_subj,number,daughters,girl,dedicated,herself,The daughters that the girl liked dedicated herself . <eos>,The daughters that the girl liked dedicated herself .
27,simple,local,c-command,1,a,rc_subj,number,girl,daughters,dedicated,herself,The girl that the daughters liked dedicated herself . <eos>,The girl that the daughters liked dedicated herself .
27,simple,local,c-command,1,b,rc_subj,number,daughter,girls,dedicated,herself,The daughter that the girls liked dedicated herself . <eos>,The daughter that the girls liked dedicated herself .
28,simple,local,c-command,1,a,none,none,girl,daughter,declared,herself,The girl that the daughter liked declared herself . <eos>,The girl that the daughter liked declared herself .
28,simple,local,c-command,1,b,none,none,daughter,girl,declared,herself,The daughter that the girl liked declared herself . <eos>,The daughter that the girl liked declared herself .
28,simple,local,no-c-command,0,a,matrix_subj,number,girls,daughter,declared,herself,The girls that the daughter liked declared herself . <eos>,The girls that the daughter liked declared herself .
28,simple,local,no-c-command,0,b,matrix_subj,number,daughters,girl,declared,herself,The daughters that the girl liked declared herself . <eos>,The daughters that the girl liked declared herself .
28,simple,local,c-command,1,a,rc_subj,number,girl,daughters,declared,herself,The girl that the daughters liked declared herself . <eos>,The girl that the daughters liked declared herself .
28,simple,local,c-command,1,b,rc_subj,number,daughter,girls,declared,herself,The daughter that the girls liked declared herself . <eos>,The daughter that the girls liked declared herself .
29,simple,local,c-command,1,a,none,none,girl,daughter,proved,herself,The girl that the daughter liked proved herself . <eos>,The girl that the daughter liked proved herself .
29,simple,local,c-command,1,b,none,none,daughter,girl,proved,herself,The daughter that the girl liked proved herself . <eos>,The daughter that the girl liked proved herself .
29,simple,local,no-c-command,0,a,matrix_subj,number,girls,daughter,proved,herself,The girls that the daughter liked proved herself . <eos>,The girls that the daughter liked proved herself .
29,simple,local,no-c-command,0,b,matrix_subj,number,daughters,girl,proved,herself,The daughters that the girl liked proved herself . <eos>,The daughters that the girl liked proved herself .
29,simple,local,c-command,1,a,rc_subj,number,girl,daughters,proved,herself,The girl that the daughters liked proved herself . <eos>,The girl that the daughters liked proved herself .
29,simple,local,c-command,1,b,rc_subj,number,daughter,girls,proved,herself,The daughter that the girls liked proved herself . <eos>,The daughter that the girls liked proved herself .
30,simple,local,c-command,1,a,none,none,girl,daughter,shot,herself,The girl that the daughter liked shot herself . <eos>,The girl that the daughter liked shot herself .
30,simple,local,c-command,1,b,none,none,daughter,girl,shot,herself,The daughter that the girl liked shot herself . <eos>,The daughter that the girl liked shot herself .
30,simple,local,no-c-command,0,a,matrix_subj,number,girls,daughter,shot,herself,The girls that the daughter liked shot herself . <eos>,The girls that the daughter liked shot herself .
30,simple,local,no-c-command,0,b,matrix_subj,number,daughters,girl,shot,herself,The daughters that the girl liked shot herself . <eos>,The daughters that the girl liked shot herself .
30,simple,local,c-command,1,a,rc_subj,number,girl,daughters,shot,herself,The girl that the daughters liked shot herself . <eos>,The girl that the daughters liked shot herself .
30,simple,local,c-command,1,b,rc_subj,number,daughter,girls,shot,herself,The daughter that the girls liked shot herself . <eos>,The daughter that the girls liked shot herself .
31,simple,local,c-command,1,a,none,none,girl,woman,saw,herself,The girl that the woman liked saw herself . <eos>,The girl that the woman liked saw herself .
31,simple,local,c-command,1,b,none,none,woman,girl,saw,herself,The woman that the girl liked saw herself . <eos>,The woman that the girl liked saw herself .
31,simple,local,no-c-command,0,a,matrix_subj,number,girls,woman,saw,herself,The girls that the woman liked saw herself . <eos>,The girls that the woman liked saw herself .
31,simple,local,no-c-command,0,b,matrix_subj,number,women,girl,saw,herself,The women that the girl liked saw herself . <eos>,The women that the girl liked saw herself .
31,simple,local,c-command,1,a,rc_subj,number,girl,women,saw,herself,The girl that the women liked saw herself . <eos>,The girl that the women liked saw herself .
31,simple,local,c-command,1,b,rc_subj,number,woman,girls,saw,herself,The woman that the girls liked saw herself . <eos>,The woman that the girls liked saw herself .
32,simple,local,c-command,1,a,none,none,girl,woman,established,herself,The girl that the woman liked established herself . <eos>,The girl that the woman liked established herself .
32,simple,local,c-command,1,b,none,none,woman,girl,established,herself,The woman that the girl liked established herself . <eos>,The woman that the girl liked established herself .
32,simple,local,no-c-command,0,a,matrix_subj,number,girls,woman,established,herself,The girls that the woman liked established herself . <eos>,The girls that the woman liked established herself .
32,simple,local,no-c-command,0,b,matrix_subj,number,women,girl,established,herself,The women that the girl liked established herself . <eos>,The women that the girl liked established herself .
32,simple,local,c-command,1,a,rc_subj,number,girl,women,established,herself,The girl that the women liked established herself . <eos>,The girl that the women liked established herself .
32,simple,local,c-command,1,b,rc_subj,number,woman,girls,established,herself,The woman that the girls liked established herself . <eos>,The woman that the girls liked established herself .
33,simple,local,c-command,1,a,none,none,girl,woman,devoted,herself,The girl that the woman liked devoted herself . <eos>,The girl that the woman liked devoted herself .
33,simple,local,c-command,1,b,none,none,woman,girl,devoted,herself,The woman that the girl liked devoted herself . <eos>,The woman that the girl liked devoted herself .
33,simple,local,no-c-command,0,a,matrix_subj,number,girls,woman,devoted,herself,The girls that the woman liked devoted herself . <eos>,The girls that the woman liked devoted herself .
33,simple,local,no-c-command,0,b,matrix_subj,number,women,girl,devoted,herself,The women that the girl liked devoted herself . <eos>,The women that the girl liked devoted herself .
