item,clause_type,locality,c-command,grammatical,counterbalance,mismatch_position,mismatch_feature,head_noun,distractor_noun,verb,pronoun,sentence,sentence_no_eos
7,simple,local,no-c-command,1,a,head,number,boys,father,found,him,The boys near the father found him . <eos>,The boys near the father found him .
7,simple,local,no-c-command,1,b,head,number,fathers,boy,found,him,The fathers near the boy found him . <eos>,The fathers near the boy found him .
7,simple,local,c-command,0,a,distractor,number,boy,fathers,found,him,The boy near the fathers found him . <eos>,The boy near the fathers found him .
7,simple,local,c-command,0,b,distractor,number,father,boys,found,him,The father near the boys found him . <eos>,The father near the boys found him .
8,simple,local,no-c-command,1,a,none,none,boy,father,distinguished,him,The boy near the father distinguished him . <eos>,The boy near the father distinguished him .
8,simple,local,no-c-command,1,b,none,none,father,boy,distinguished,him,The father near the boy distinguished him . <eos>,The father near the boy distinguished him .
8,simple,local,no-c-command,1,a,head,number,boys,father,distinguished,him,The boys near the father distinguished him . <eos>,The boys near the father distinguished him .
8,simple,local,no-c-command,1,b,head,number,fathers,boy,distinguished,him,The fathers near the boy distinguished him . <eos>,The fathers near the boy distinguished him .
8,simple,local,c-command,0,a,distractor,number,boy,fathers,distinguished,him,The boy near the fathers distinguished him . <eos>,The boy near the fathers distinguished him .
8,simple,local,c-command,0,b,distractor,number,father,boys,distinguished,him,The father near the boys distinguished him . <eos>,The father near the boys distinguished him .
9,simple,local,no-c-command,1,a,none,none,boy,father,taught,him,The boy near the father taught him . <eos>,The boy near the father taught him .
9,simple,local,no-c-command,1,b,none,none,father,boy,taught,him,The father near the boy taught him . <eos>,The father near the boy taught him .
9,simple,local,no-c-command,1,a,head,number,boys,father,taught,him,The boys near the father taught him . <eos>,The boys near the father taught him .
9,simple,local,no-c-command,1,b,head,number,fathers,boy,taught,him,The fathers near the boy taught him . <eos>,The fathers near the boy taught him .
9,simple,local,c-command,0,a,distractor,number,boy,fathers,taught,him,The boy near the fathers taught him . <eos>,The boy near the fathers taught him .
9,simple,local,c-command,0,b,distractor,number,father,boys,taught,him,The father near the boys taught him . <eos>,The father near the boys taught him .
10,simple,local,no-c-command,1,a,none,none,boy,father,killed,him,The boy near the father killed him . <eos>,The boy near the father killed him .
10,simple,local,no-c-command,1,b,none,none,father,boy,killed,him,The father near the boy killed him . <eos>,The father near the boy killed him .
10,simple,local,no-c-command,1,a,head,number,boys,father,killed,him,The boys near the father killed him . <eos>,The boys near the father killed him .
10,simple,local,no-c-command,1,b,head,number,fathers,boy,killed,him,The fathers near the boy killed him . <eos>,The fathers near the boy killed him .
10,simple,local,c-command,0,a,distractor,number,boy,fathers,killed,him,The boy near the fathers killed him . <eos>,The boy near the fathers killed him .
10,simple,local,c-command,0,b,distractor,number,father,boys,killed,him,The father near the boys killed him . <eos>,The father near the boys killed him .
11,simple,local,no-c-command,1,a,none,none,boy,father,called,him,The boy near the father called him . <eos>,The boy near the father called him .
11,simple,local,no-c-command,1,b,none,none,father,boy,called,him,The father near the boy called him . <eos>,The father near the boy called him .
11,simple,local,no-c-command,1,a,head,number,boys,father,called,him,The boys near the father called him . <eos>,The boys near the father called him .
11,simple,local,no-c-command,1,b,head,number,fathers,boy,called,him,The fathers near the boy called him . <eos>,The fathers near the boy called him .
11,simple,local,c-command,0,a,distractor,number,boy,fathers,called,him,The boy near the fathers called him . <eos>,The boy near the fathers called him .
11,simple,local,c-command,0,b,distractor,number,father,boys,called,him,The father near the boys called him . <eos>,The father near the boys called him .
12,simple,local,no-c-command,1,a,none,none,boy,father,dedicated,him,The boy near the father dedicated him . <eos>,The boy near the father dedicated him .
12,simple,local,no-c-command,1,b,none,none,father,boy,dedicated,him,The father near the boy dedicated him . <eos>,The father near the boy dedicated him .
12,simple,local,no-c-command,1,a,head,number,boys,father,dedicated,him,The boys near the father dedicated him . <eos>,The boys near the father dedicated him .
12,simple,local,no-c-command,1,b,head,number,fathers,boy,dedicated,him,The fathers near the boy dedicated him . <eos>,The fathers near the boy dedicated him .
12,simple,local,c-command,0,a,distractor,number,boy,fathers,dedicated,him,The boy near the fathers dedicated him . <eos>,The boy near the fathers dedicated him .
12,simple,local,c-command,0,b,distractor,number,father,boys,dedicated,him,The father near the boys dedicated him . <eos>,The father near the boys dedicated him .
13,simple,local,no-c-command,1,a,none,none,boy,father,declared,him,The boy near the father declared him . <eos>,The boy near the father declared him .
13,simple,local,no-c-command,1,b,none,none,father,boy,declared,him,The father near the boy declared him . <eos>,The father near the boy declared him .
13,simple,local,no-c-command,1,a,head,number,boys,father,declared,him,The boys near the father declared him . <eos>,The boys near the father declared him .
13,simple,local,no-c-command,1,b,head,number,fathers,boy,declared,him,The fathers near the boy declared him . <eos>,The fathers near the boy declared him .
13,simple,local,c-command,0,a,distractor,number,boy,fathers,declared,him,The boy near the fathers declared him . <eos>,The boy near the fathers declared him .
13,simple,local,c-command,0,b,distractor,number,father,boys,declared,him,The father near the boys declared him . <eos>,The father near the boys declared him .
14,simple,local,no-c-command,1,a,none,none,boy,father,proved,him,The boy near the father proved him . <eos>,The boy near the father proved him .
14,simple,local,no-c-command,1,b,none,none,father,boy,proved,him,The father near the boy proved him . <eos>,The father near the boy proved him .
14,simple,local,no-c-command,1,a,head,number,boys,father,proved,him,The boys near the father proved him . <eos>,The boys near the father proved him .
14,simple,local,no-c-command,1,b,head,number,fathers,boy,proved,him,The fathers near the boy proved him . <eos>,The fathers near the boy proved him .
14,simple,local,c-command,0,a,distractor,number,boy,fathers,proved,him,The boy near the fathers proved him . <eos>,The boy near the fathers proved him .
14,simple,local,c-command,0,b,distractor,number,father,boys,proved,him,The father near the boys proved him . <eos>,The father near the boys proved him .
15,simple,local,no-c-command,1,a,none,none,boy,father,shot,him,The boy near the father shot him . <eos>,The boy near the father shot him .
15,simple,local,no-c-command,1,b,none,none,father,boy,shot,him,The father near the boy shot him . <eos>,The father near the boy shot him .
15,simple,local,no-c-command,1,a,head,number,boys,father,shot,him,The boys near the father shot him . <eos>,The boys near the father shot him .
15,simple,local,no-c-command,1,b,head,number,fathers,boy,shot,him,The fathers near the boy shot him . <eos>,The fathers near the boy shot him .
15,simple,local,c-command,0,a,distractor,number,boy,fathers,shot,him,The boy near the fathers shot him . <eos>,The boy near the fathers shot him .
15,simple,local,c-command,0,b,distractor,number,father,boys,shot,him,The father near the boys shot him . <eos>,The father near the boys shot him .
16,simple,local,no-c-command,1,a,none,none,boy,son,saw,him,The boy near the son saw him . <eos>,The boy near the son saw him .
16,simple,local,no-c-command,1,b,none,none,son,boy,saw,him,The son near the boy saw him . <eos>,The son near the boy saw him .
16,simple,local,no-c-command,1,a,head,number,boys,son,saw,him,The boys near the son saw him . <eos>,The boys near the son saw him .
16,simple,local,no-c-command,1,b,head,number,sons,boy,saw,him,The sons near the boy saw him . <eos>,The sons near the boy saw him .
16,simple,local,c-command,0,a,distractor,number,boy,sons,saw,him,The boy near the sons saw him . <eos>,The boy near the sons saw him .
16,simple,local,c-command,0,b,distractor,number,son,boys,saw,him,The son near the boys saw him . <eos>,The son near the boys saw him .
17,simple,local,no-c-command,1,a,none,none,boy,son,established,him,The boy near the son established him . <eos>,The boy near the son established him .
17,simple,local,no-c-command,1,b,none,none,son,boy,established,him,The son near the boy established him . <eos>,The son near the boy established him .
17,simple,local,no-c-command,1,a,head,number,boys,son,established,him,The boys near the son established him . <eos>,The boys near the son established him .
17,simple,local,no-c-command,1,b,head,number,sons,boy,established,him,The sons near the boy established him . <eos>,The sons near the boy established him .
17,simple,local,c-command,0,a,distractor,number,boy,sons,established,him,The boy near the sons established him . <eos>,The boy near the sons established him .
17,simple,local,c-command,0,b,distractor,number,son,boys,established,him,The son near the boys established him . <eos>,The son near the boys established him .
18,simple,local,no-c-command,1,a,none,none,boy,son,devoted,him,The boy near the son devoted him . <eos>,The boy near the son devoted him .
18,simple,local,no-c-command,1,b,none,none,son,boy,devoted,him,The son near the boy devoted him . <eos>,The son near the boy devoted him .
18,simple,local,no-c-command,1,a,head,number,boys,son,devoted,him,The boys near the son devoted him . <eos>,The boys near the son devoted him .
18,simple,local,no-c-command,1,b,head,number,sons,boy,devoted,him,The sons near the boy devoted him . <eos>,The sons near the boy devoted him .
18,simple,local,c-command,0,a,distractor,number,boy,sons,devoted,him,The boy near the sons devoted him . <eos>,The boy near the sons devoted him .
18,simple,local,c-command,0,b,distractor,number,son,boys,devoted,him,The son near the boys devoted him . <eos>,The son near the boys devoted him .
19,simple,local,no-c-command,1,a,none,none,boy,son,considered,him,The boy near the son considered him . <eos>,The boy near the son considered him .
19,simple,local,no-c-command,1,b,none,none,son,boy,considered,him,The son near the boy considered him . <eos>,The son near the boy considered him .
19,simple,local,no-c-command,1,a,head,number,boys,son,considered,him,The boys near the son considered him . <eos>,The boys near the son considered him .
19,simple,local,no-c-command,1,b,head,number,sons,boy,considered,him,The sons near the boy considered him . <eos>,The sons near the boy considered him .
19,simple,local,c-command,0,a,distractor,number,boy,sons,considered,him,The boy near the sons considered him . <eos>,The boy near the sons considered him .
19,simple,local,c-command,0,b,distractor,number,son,boys,considered,him,The son near the boys considered him . <eos>,The son near the boys considered him .
20,simple,local,no-c-command,1,a,none,none,boy,son,identified,him,The boy near the son identified him . <eos>,The boy near the son identified him .
20,simple,local,no-c-command,1,b,none,none,son,boy,identified,him,The son near the boy identified him . <eos>,The son near the boy identified him .
20,simple,local,no-c-command,1,a,head,number,boys,son,identified,him,The boys near the son identified him . <eos>,The boys near the son identified him .
20,simple,local,no-c-command,1,b,head,number,sons,boy,identified,him,The sons near the boy identified him . <eos>,The sons near the boy identified him .
20,simple,local,c-command,0,a,distractor,number,boy,sons,identified,him,The boy near the sons identified him . <eos>,The boy near the sons identified him .
20,simple,local,c-command,0,b,distractor,number,son,boys,identified,him,The son near the boys identified him . <eos>,The son near the boys identified him .
21,simple,local,no-c-command,1,a,none,none,boy,son,made,him,The boy near the son made him . <eos>,The boy near the son made him .
21,simple,local,no-c-command,1,b,none,none,son,boy,made,him,The son near the boy made him . <eos>,The son near the boy made him .
21,simple,local,no-c-command,1,a,head,number,boys,son,made,him,The boys near the son made him . <eos>,The boys near the son made him .
21,simple,local,no-c-command,1,b,head,number,sons,boy,made,him,The sons near the boy made him . <eos>,The sons near the boy made him .
21,simple,local,c-command,0,a,distractor,number,boy,sons,made,him,The boy near the sons made him . <eos>,The boy near the sons made him .
21,simple,local,c-command,0,b,distractor,number,son,boys,made,him,The son near the boys made him . <eos>,The son near the boys made him .
22,simple,local,no-c-command,1,a,none,none,boy,son,found,him,The boy near the son found him . <eos>,The boy near the son found him .
22,simple,local,no-c-command,1,b,none,none,son,boy,found,him,The son near the boy found him . <eos>,The son near the boy found him .
22,simple,local,no-c-command,1,a,head,number,boys,son,found,him,The boys near the son found him . <eos>,The boys near the son found him .
22,simple,local,no-c-command,1,b,head,number,sons,boy,found,him,The sons near the boy found him . <eos>,The sons near the boy found him .
22,simple,local,c-command,0,a,distractor,number,boy,sons,found,him,The boy near the sons found him . <eos>,The boy near the sons found him .
22,simple,local,c-command,0,b,distractor,number,son,boys,found,him,The son near the boys found him . <eos>,The son near the boys found him .
23,simple,local,no-c-command,1,a,none,none,boy,son,distinguished,him,The boy near the son distinguished him . <eos>,The boy near the son distinguished him .
23,simple,local,no-c-command,1,b,none,none,son,boy,distinguished,him,The son near the boy distinguished him . <eos>,The son near the boy distinguished him .
23,simple,local,no-c-command,1,a,head,number,boys,son,distinguished,him,The boys near the son distinguished him . <eos>,The boys near the son distinguished him .
23,simple,local,no-c-command,1,b,head,number,sons,boy,distinguished,him,The sons near the boy distinguished him . <eos>,The sons near the boy distinguished him .
23,simple,local,c-command,0,a,distractor,number,boy,sons,distinguished,him,The boy near the sons distinguished him . <eos>,The boy near the sons distinguished him .
23,simple,local,c-command,0,b,distractor,number,son,boys,distinguished,him,The son near the boys distinguished him . <eos>,The son near the boys distinguished him .
24,simple,local,no-c-command,1,a,none,none,boy,son,taught,him,The boy near the son taught him . <eos>,The boy near the son taught him .
24,simple,local,no-c-command,1,b,none,none,son,boy,taught,him,The son near the boy taught him . <eos>,The son near the boy taught him .
24,simple,local,no-c-command,1,a,head,number,boys,son,taught,him,The boys near the son taught him . <eos>,The boys near the son taught him .
24,simple,local,no-c-command,1,b,head,number,sons,boy,taught,him,The sons near the boy taught him . <eos>,The sons near the boy taught him .
24,simple,local,c-command,0,a,distractor,number,boy,sons,taught,him,The boy near the sons taught him . <eos>,The boy near the sons taught him .
24,simple,local,c-command,0,b,distractor,number,son,boys,taught,him,The son near the boys taught him . <eos>,The son near the boys taught him .
25,simple,local,no-c-command,1,a,none,none,boy,son,killed,him,The boy near the son killed him . <eos>,The boy near the son killed him .
25,simple,local,no-c-command,1,b,none,none,son,boy,killed,him,The son near the boy killed him . <eos>,The son near the boy killed him .
25,simple,local,no-c-command,1,a,head,number,boys,son,killed,him,The boys near the son killed him . <eos>,The boys near the son killed him .
25,simple,local,no-c-command,1,b,head,number,sons,boy,killed,him,The sons near the boy killed him . <eos>,The sons near the boy killed him .
25,simple,local,c-command,0,a,distractor,number,boy,sons,killed,him,The boy near the sons killed him . <eos>,The boy near the sons killed him .
25,simple,local,c-command,0,b,distractor,number,son,boys,killed,him,The son near the boys killed him . <eos>,The son near the boys killed him .
26,simple,local,no-c-command,1,a,none,none,boy,son,called,him,The boy near the son called him . <eos>,The boy near the son called him .
26,simple,local,no-c-command,1,b,none,none,son,boy,called,him,The son near the boy called him . <eos>,The son near the boy called him .
26,simple,local,no-c-command,1,a,head,number,boys,son,called,him,The boys near the son called him . <eos>,The boys near the son called him .
26,simple,local,no-c-command,1,b,head,number,sons,boy,called,him,The sons near the boy called him . <eos>,The sons near the boy called him .
26,simple,local,c-command,0,a,distractor,number,boy,sons,called,him,The boy near the sons called him . <eos>,The boy near the sons called him .
26,simple,local,c-command,0,b,distractor,number,son,boys,called,him,The son near the boys called him . <eos>,The son near the boys called him .
27,simple,local,no-c-command,1,a,none,none,boy,son,dedicated,him,The boy near the son dedicated him . <eos>,The boy near the son dedicated him .
27,simple,local,no-c-command,1,b,none,none,son,boy,dedicated,him,The son near the boy dedicated him . <eos>,The son near the boy dedicated him .
27,simple,local,no-c-command,1,a,head,number,boys,son,dedicated,him,The boys near the son dedicated him . <eos>,The boys near the son dedicated him .
27,simple,local,no-c-command,1,b,head,number,sons,boy,dedicated,him,The sons near the boy dedicated him . <eos>,The sons near the boy dedicated him .
27,simple,local,c-command,0,a,distractor,number,boy,sons,dedicated,him,The boy near the sons dedicated him . <eos>,The boy near the sons dedicated him .
27,simple,local,c-command,0,b,distractor,number,son,boys,dedicated,him,The son near the boys dedicated him . <eos>,The son near the boys dedicated him .
28,simple,local,no-c-command,1,a,none,none,boy,son,declared,him,The boy near the son declared him . <eos>,The boy near the son declared him .
28,simple,local,no-c-command,1,b,none,none,son,boy,declared,him,The son near the boy declared him . <eos>,The son near the boy declared him .
28,simple,local,no-c-command,1,a,head,number,boys,son,declared,him,The boys near the son declared him . <eos>,The boys near the son declared him .
28,simple,local,no-c-command,1,b,head,number,sons,boy,declared,him,The sons near the boy declared him . <eos>,The sons near the boy declared him .
28,simple,local,c-command,0,a,distractor,number,boy,sons,declared,him,The boy near the sons declared him . <eos>,The boy near the sons declared him .
28,simple,local,c-command,0,b,distractor,number,son,boys,declared,him,The son near the boys declared him . <eos>,The son near the boys declared him .
29,simple,local,no-c-command,1,a,none,none,boy,son,proved,him,The boy near the son proved him . <eos>,The boy near the son proved him .
29,simple,local,no-c-command,1,b,none,none,son,boy,proved,him,The son near the boy proved him . <eos>,The son near the boy proved him .
29,simple,local,no-c-command,1,a,head,number,boys,son,proved,him,The boys near the son proved him . <eos>,The boys near the son proved him .
29,simple,local,no-c-command,1,b,head,number,sons,boy,proved,him,The sons near the boy proved him . <eos>,The sons near the boy proved him .
29,simple,local,c-command,0,a,distractor,number,boy,sons,proved,him,The boy near the sons proved him . <eos>,The boy near the sons proved him .
29,simple,local,c-command,0,b,distractor,number,son,boys,proved,him,The son near the boys proved him . <eos>,The son near the boys proved him .
30,simple,local,no-c-command,1,a,none,none,boy,son,shot,him,The boy near the son shot him . <eos>,The boy near the son shot him .
30,simple,local,no-c-command,1,b,none,none,son,boy,shot,him,The son near the boy shot him . <eos>,The son near the boy shot him .
30,simple,local,no-c-command,1,a,head,number,boys,son,shot,him,The boys near the son shot him . <eos>,The boys near the son shot him .
30,simple,local,no-c-command,1,b,head,number,sons,boy,shot,him,The sons near the boy shot him . <eos>,The sons near the boy shot him .
30,simple,local,c-command,0,a,distractor,number,boy,sons,shot,him,The boy near the sons shot him . <eos>,The boy near the sons shot him .
30,simple,local,c-command,0,b,distractor,number,son,boys,shot,him,The son near the boys shot him . <eos>,The son near the boys shot him .
31,simple,local,no-c-command,1,a,none,none,boy,man,saw,him,The boy near the man saw him . <eos>,The boy near the man saw him .
31,simple,local,no-c-command,1,b,none,none,man,boy,saw,him,The man near the boy saw him . <eos>,The man near the boy saw him .
31,simple,local,no-c-command,1,a,head,number,boys,man,saw,him,The boys near the man saw him . <eos>,The boys near the man saw him .
31,simple,local,no-c-command,1,b,head,number,men,boy,saw,him,The men near the boy saw him . <eos>,The men near the boy saw him .
31,simple,local,c-command,0,a,distractor,number,boy,men,saw,him,The boy near the men saw him . <eos>,The boy near the men saw him .
31,simple,local,c-command,0,b,distractor,number,man,boys,saw,him,The man near the boys saw him . <eos>,The man near the boys saw him .
32,simple,local,no-c-command,1,a,none,none,boy,man,established,him,The boy near the man established him . <eos>,The boy near the man established him .
32,simple,local,no-c-command,1,b,none,none,man,boy,established,him,The man near the boy established him . <eos>,The man near the boy established him .
32,simple,local,no-c-command,1,a,head,number,boys,man,established,him,The boys near the man established him . <eos>,The boys near the man established him .
32,simple,local,no-c-command,1,b,head,number,men,boy,established,him,The men near the boy established him . <eos>,The men near the boy established him .
32,simple,local,c-command,0,a,distractor,number,boy,men,established,him,The boy near the men established him . <eos>,The boy near the men established him .
32,simple,local,c-command,0,b,distractor,number,man,boys,established,him,The man near the boys established him . <eos>,The man near the boys established him .
33,simple,local,no-c-command,1,a,none,none,boy,man,devoted,him,The boy near the man devoted him . <eos>,The boy near the man devoted him .
33,simple,local,no-c-command,1,b,none,none,man,boy,devoted,him,The man near the boy devoted him . <eos>,The man near the boy devoted him .
33,simple,local,no-c-command,1,a,head,number,boys,man,devoted,him,The boys near the man devoted him . <eos>,The boys near the man devoted him .
33,simple,local,no-c-command,1,b,head,number,men,boy,devoted,him,The men near the boy devoted him . <eos>,The men near the boy devoted him .
33,simple,local,c-command,0,a,distractor,number,boy,men,devoted,him,The boy near the men devoted him . <eos>,The boy near the men devoted him .
33,simple,local,c-command,0,b,distractor,number,man,boys,devoted,him,The man near the boys devoted him . <eos>,The man near the boys devoted him .
34,simple,local,no-c-command,1,a,none,none,boy,man,considered,him,The boy near the man considered him . <eos>,The boy near the man considered him .
34,simple,local,no-c-command,1,b,none,none,man,boy,considered,him,The man near the boy considered him . <eos>,The man near the boy considered him .
34,simple,local,no-c-command,1,a,head,number,boys,man,considered,him,The boys near the man considered him . <eos>,The boys near the man considered him .
34,simple,local,no-c-command,1,b,head,number,men,boy,considered,him,The men near the boy considered him . <eos>,The men near the boy considered him .
34,simple,local,c-command,0,a,distractor,number,boy,men,considered,him,The boy near the men considered him . <eos>,The boy near the men considered him .
34,simple,local,c-command,0,b,distractor,number,man,boys,considered,him,The man near the boys considered him . <eos>,The man near the boys considered him .
35,simple,local,no-c-command,1,a,none,none,boy,man,identified,him,The boy near the man identified him . <eos>,The boy near the man identified him .
35,simple,local,no-c-command,1,b,none,none,man,boy,identified,him,The man near the boy identified him . <eos>,The man near the boy identified him .
35,simple,local,no-c-command,1,a,head,number,boys,man,identified,him,The boys near the man identified him . <eos>,The boys near the man identified him .
35,simple,local,no-c-command,1,b,head,number,men,boy,identified,him,The men near the boy identified him . <eos>,The men near the boy identified him .
35,simple,local,c-command,0,a,distractor,number,boy,men,identified,him,The boy near the men identified him . <eos>,The boy near the men identified him .
35,simple,local,c-command,0,b,distractor,number,man,boys,identified,him,The man near the boys identified him . <eos>,The man near the boys identified him .
36,simple,local,no-c-command,1,a,none,none,boy,man,made,him,The boy near the man made him . <eos>,The boy near the man made him .
36,simple,local,no-c-command,1,b,none,none,man,boy,made,him,The man near the boy made him . <eos>,The man near the boy made him .
36,simple,local,no-c-command,1,a,head,number,boys,man,made,him,The boys near the man made him . <eos>,The boys near the man made him .
36,simple,local,no-c-command,1,b,head,number,men,boy,made,him,The men near the boy made him . <eos>,The men near the boy made him .
36,simple,local,c-command,0,a,distractor,number,boy,men,made,him,The boy near the men made him . <eos>,The boy near the men made him .
36,simple,local,c-command,0,b,distractor,number,man,boys,made,him,The man near the boys made him . <eos>,The man near the boys made him .
37,simple,local,no-c-command,1,a,none,none,boy,man,found,him,The boy near the man found him . <eos>,The boy near the man found him .
37,simple,local,no-c-command,1,b,none,none,man,boy,found,him,The man near the boy found him . <eos>,The man near the boy found him .
37,simple,local,no-c-command,1,a,head,number,boys,man,found,him,The boys near the man found him . <eos>,The boys near the man found him .
37,simple,local,no-c-command,1,b,head,number,men,boy,found,him,The men near the boy found him . <eos>,The men near the boy found him .
37,simple,local,c-command,0,a,distractor,number,boy,men,found,him,The boy near the men found him . <eos>,The boy near the men found him .
37,simple,local,c-command,0,b,distractor,number,man,boys,found,him,The man near the boys found him . <eos>,The man near the boys found him .
38,simple,local,no-c-command,1,a,none,none,boy,man,distinguished,him,The boy near the man distinguished him . <eos>,The boy near the man distinguished him .
38,simple,local,no-c-command,1,b,none,none,man,boy,distinguished,him,The man near the boy distinguished him . <eos>,The man near the boy distinguished him .
38,simple,local,no-c-command,1,a,head,number,boys,man,distinguished,him,The boys near the man distinguished him . <eos>,The boys near the man distinguished him .
38,simple,local,no-c-command,1,b,head,number,men,boy,distinguished,him,The men near the boy distinguished him . <eos>,The men near the boy distinguished him .
38,simple,local,c-command,0,a,distractor,number,boy,men,distinguished,him,The boy near the men distinguished him . <eos>,The boy near the men distinguished him .
38,simple,local,c-command,0,b,distractor,number,man,boys,distinguished,him,The man near the boys distinguished him . <eos>,The man near the boys distinguished him .
39,simple,local,no-c-command,1,a,none,none,boy,man,taught,him,The boy near the man taught him . <eos>,The boy near the man taught him .
39,simple,local,no-c-command,1,b,none,none,man,boy,taught,him,The man near the boy taught him . <eos>,The man near the boy taught him .
39,simple,local,no-c-command,1,a,head,number,boys,man,taught,him,The boys near the man taught him . <eos>,The boys near the man taught him .
39,simple,local,no-c-command,1,b,head,number,men,boy,taught,him,The men near the boy taught him . <eos>,The men near the boy taught him .
39,simple,local,c-command,0,a,distractor,number,boy,men,taught,him,The boy near the men taught him . <eos>,The boy near the men taught him .
39,simple,local,c-command,0,b,distractor,number,man,boys,taught,him,The man near the boys taught him . <eos>,The man near the boys taught him .
40,simple,local,no-c-command,1,a,none,none,boy,man,killed,him,The boy near the man killed him . <eos>,The boy near the man killed him .
40,simple,local,no-c-command,1,b,none,none,man,boy,killed,him,The man near the boy killed him . <eos>,The man near the boy killed him .
40,simple,local,no-c-command,1,a,head,number,boys,man,killed,him,The boys near the man killed him . <eos>,The boys near the man killed him .
