item,clause_type,locality,c-command,grammatical,counterbalance,subject,mismatch_position,mismatch_feature,head_noun,distractor_noun,verb,residual,sentence,sentence_no_eos
2,agree,local,c-command,1,a,female,none,none,girls,mothers,were,leaving,The girls near the mothers were leaving . <eos>,The girls near the mothers were leaving .
2,agree,local,c-command,1,b,female,none,none,mothers,girls,were,leaving,The mothers near the girls were leaving . <eos>,The mothers near the girls were leaving .
2,agree,local,no-c-command,0,a,male,head,number,boy,fathers,were,leaving,The boy near the fathers were leaving . <eos>,The boy near the fathers were leaving .
2,agree,local,no-c-command,0,b,male,head,number,father,boys,were,leaving,The father near the boys were leaving . <eos>,The father near the boys were leaving .
2,agree,local,no-c-command,0,a,female,head,number,girl,mothers,were,leaving,The girl near the mothers were leaving . <eos>,The girl near the mothers were leaving .
2,agree,local,no-c-command,0,b,female,head,number,mother,girls,were,leaving,The mother near the girls were leaving . <eos>,The mother near the girls were leaving .
2,agree,local,c-command,1,a,male,distractor,number,boys,father,were,leaving,The boys near the father were leaving . <eos>,The boys near the father were leaving .
2,agree,local,c-command,1,b,male,distractor,number,fathers,boy,were,leaving,The fathers near the boy were leaving . <eos>,The fathers near the boy were leaving .
2,agree,local,c-command,1,a,female,distractor,number,girls,mother,were,leaving,The girls near the mother were leaving . <eos>,The girls near the mother were leaving .
2,agree,local,c-command,1,b,female,distractor,number,mothers,girl,were,leaving,The mothers near the girl were leaving . <eos>,The mothers near the girl were leaving .
3,agree,local,c-command,1,a,male,none,none,boys,fathers,were,leaving,The boys near the fathers were leaving . <eos>,The boys near the fathers were leaving .
3,agree,local,c-command,1,b,male,none,none,fathers,boys,were,leaving,The fathers near the boys were leaving . <eos>,The fathers near the boys were leaving .
3,agree,local,c-command,1,a,female,none,none,girls,mothers,were,leaving,The girls near the mothers were leaving . <eos>,The girls near the mothers were leaving .
3,agree,local,c-command,1,b,female,none,none,mothers,girls,were,leaving,The mothers near the girls were leaving . <eos>,The mothers near the girls were leaving .
3,agree,local,no-c-command,0,a,male,head,number,boy,fathers,were,leaving,The boy near the fathers were leaving . <eos>,The boy near the fathers were leaving .
3,agree,local,no-c-command,0,b,male,head,number,father,boys,were,leaving,The father near the boys were leaving . <eos>,The father near the boys were leaving .
3,agree,local,no-c-command,0,a,female,head,number,girl,mothers,were,leaving,The girl near the mothers were leaving . <eos>,The girl near the mothers were leaving .
3,agree,local,no-c-command,0,b,female,head,number,mother,girls,were,leaving,The mother near the girls were leaving . <eos>,The mother near the girls were leaving .
3,agree,local,c-command,1,a,male,distractor,number,boys,father,were,leaving,The boys near the father were leaving . <eos>,The boys near the father were leaving .
3,agree,local,c-command,1,b,male,distractor,number,fathers,boy,were,leaving,The fathers near the boy were leaving . <eos>,The fathers near the boy were leaving .
3,agree,local,c-command,1,a,female,distractor,number,girls,mother,were,leaving,The girls near the mother were leaving . <eos>,The girls near the mother were leaving .
3,agree,local,c-command,1,b,female,distractor,number,mothers,girl,were,leaving,The mothers near the girl were leaving . <eos>,The mothers near the girl were leaving .
4,agree,local,c-command,1,a,male,none,none,boys,fathers,were,leaving,The boys near the fathers were leaving . <eos>,The boys near the fathers were leaving .
4,agree,local,c-command,1,b,male,none,none,fathers,boys,were,leaving,The fathers near the boys were leaving . <eos>,The fathers near the boys were leaving .
4,agree,local,c-command,1,a,female,none,none,girls,mothers,were,leaving,The girls near the mothers were leaving . <eos>,The girls near the mothers were leaving .
4,agree,local,c-command,1,b,female,none,none,mothers,girls,were,leaving,The mothers near the girls were leaving . <eos>,The mothers near the girls were leaving .
4,agree,local,no-c-command,0,a,male,head,number,boy,fathers,were,leaving,The boy near the fathers were leaving . <eos>,The boy near the fathers were leaving .
4,agree,local,no-c-command,0,b,male,head,number,father,boys,were,leaving,The father near the boys were leaving . <eos>,The father near the boys were leaving .
4,agree,local,no-c-command,0,a,female,head,number,girl,mothers,were,leaving,The girl near the mothers were leaving . <eos>,The girl near the mothers were leaving .
4,agree,local,no-c-command,0,b,female,head,number,mother,girls,were,leaving,The mother near the girls were leaving . <eos>,The mother near the girls were leaving .
4,agree,local,c-command,1,a,male,distractor,number,boys,father,were,leaving,The boys near the father were leaving . <eos>,The boys near the father were leaving .
4,agree,local,c-command,1,b,male,distractor,number,fathers,boy,were,leaving,The fathers near the boy were leaving . <eos>,The fathers near the boy were leaving .
4,agree,local,c-command,1,a,female,distractor,number,girls,mother,were,leaving,The girls near the mother were leaving . <eos>,The girls near the mother were leaving .
4,agree,local,c-command,1,b,female,distractor,number,mothers,girl,were,leaving,The mothers near the girl were leaving . <eos>,The mothers near the girl were leaving .
5,agree,local,c-command,1,a,male,none,none,boys,fathers,were,leaving,The boys near the fathers were leaving . <eos>,The boys near the fathers were leaving .
5,agree,local,c-command,1,b,male,none,none,fathers,boys,were,leaving,The fathers near the boys were leaving . <eos>,The fathers near the boys were leaving .
5,agree,local,c-command,1,a,female,none,none,girls,mothers,were,leaving,The girls near the mothers were leaving . <eos>,The girls near the mothers were leaving .
5,agree,local,c-command,1,b,female,none,none,mothers,girls,were,leaving,The mothers near the girls were leaving . <eos>,The mothers near the girls were leaving .
5,agree,local,no-c-command,0,a,male,head,number,boy,fathers,were,leaving,The boy near the fathers were leaving . <eos>,The boy near the fathers were leaving .
5,agree,local,no-c-command,0,b,male,head,number,father,boys,were,leaving,The father near the boys were leaving . <eos>,The father near the boys were leaving .
5,agree,local,no-c-command,0,a,female,head,number,girl,mothers,were,leaving,The girl near the mothers were leaving . <eos>,The girl near the mothers were leaving .
5,agree,local,no-c-command,0,b,female,head,number,mother,girls,were,leaving,The mother near the girls were leaving . <eos>,The mother near the girls were leaving .
5,agree,local,c-command,1,a,male,distractor,number,boys,father,were,leaving,The boys near the father were leaving . <eos>,The boys near the father were leaving .
5,agree,local,c-command,1,b,male,distractor,number,fathers,boy,were,leaving,The fathers near the boy were leaving . <eos>,The fathers near the boy were leaving .
5,agree,local,c-command,1,a,female,distractor,number,girls,mother,were,leaving,The girls near the mother were leaving . <eos>,The girls near the mother were leaving .
5,agree,local,c-command,1,b,female,distractor,number,mothers,girl,were,leaving,The mothers near the girl were leaving . <eos>,The mothers near the girl were leaving .
6,agree,local,c-command,1,a,male,none,none,boys,fathers,were,leaving,The boys near the fathers were leaving . <eos>,The boys near the fathers were leaving .
6,agree,local,c-command,1,b,male,none,none,fathers,boys,were,leaving,The fathers near the boys were leaving . <eos>,The fathers near the boys were leaving .
6,agree,local,c-command,1,a,female,none,none,girls,mothers,were,leaving,The girls near the mothers were leaving . <eos>,The girls near the mothers were leaving .
6,agree,local,c-command,1,b,female,none,none,mothers,girls,were,leaving,The mothers near the girls were leaving . <eos>,The mothers near the girls were leaving .
6,agree,local,no-c-command,0,a,male,head,number,boy,fathers,were,leaving,The boy near the fathers were leaving . <eos>,The boy near the fathers were leaving .
6,agree,local,no-c-command,0,b,male,head,number,father,boys,were,leaving,The father near the boys were leaving . <eos>,The father near the boys were leaving .
6,agree,local,no-c-command,0,a,female,head,number,girl,mothers,were,leaving,The girl near the mothers were leaving . <eos>,The girl near the mothers were leaving .
6,agree,local,no-c-command,0,b,female,head,number,mother,girls,were,leaving,The mother near the girls were leaving . <eos>,The mother near the girls were leaving .
6,agree,local,c-command,1,a,male,distractor,number,boys,father,were,leaving,The boys near the father were leaving . <eos>,The boys near the father were leaving .
6,agree,local,c-command,1,b,male,distractor,number,fathers,boy,were,leaving,The fathers near the boy were leaving . <eos>,The fathers near the boy were leaving .
6,agree,local,c-command,1,a,female,distractor,number,girls,mother,were,leaving,The girls near the mother were leaving . <eos>,The girls near the mother were leaving .
6,agree,local,c-command,1,b,female,distractor,number,mothers,girl,were,leaving,The mothers near the girl were leaving . <eos>,The mothers near the girl were leaving .
7,agree,local,c-command,1,a,male,none,none,boys,fathers,were,leaving,The boys near the fathers were leaving . <eos>,The boys near the fathers were leaving .
7,agree,local,c-command,1,b,male,none,none,fathers,boys,were,leaving,The fathers near the boys were leaving . <eos>,The fathers near the boys were leaving .
7,agree,local,c-command,1,a,female,none,none,girls,mothers,were,leaving,The girls near the mothers were leaving . <eos>,The girls near the mothers were leaving .
7,agree,local,c-command,1,b,female,none,none,mothers,girls,were,leaving,The mothers near the girls were leaving . <eos>,The mothers near the girls were leaving .
7,agree,local,no-c-command,0,a,male,head,number,boy,fathers,were,leaving,The boy near the fathers were leaving . <eos>,The boy near the fathers were leaving .
7,agree,local,no-c-command,0,b,male,head,number,father,boys,were,leaving,The father near the boys were leaving . <eos>,The father near the boys were leaving .
7,agree,local,no-c-command,0,a,female,head,number,girl,mothers,were,leaving,The girl near the mothers were leaving . <eos>,The girl near the mothers were leaving .
7,agree,local,no-c-command,0,b,female,head,number,mother,girls,were,leaving,The mother near the girls were leaving . <eos>,The mother near the girls were leaving .
7,agree,local,c-command,1,a,male,distractor,number,boys,father,were,leaving,The boys near the father were leaving . <eos>,The boys near the father were leaving .
7,agree,local,c-command,1,b,male,distractor,number,fathers,boy,were,leaving,The fathers near the boy were leaving . <eos>,The fathers near the boy were leaving .
7,agree,local,c-command,1,a,female,distractor,number,girls,mother,were,leaving,The girls near the mother were leaving . <eos>,The girls near the mother were leaving .
7,agree,local,c-command,1,b,female,distractor,number,mothers,girl,were,leaving,The mothers near the girl were leaving . <eos>,The mothers near the girl were leaving .
8,agree,local,c-command,1,a,male,none,none,boys,fathers,were,leaving,The boys near the fathers were leaving . <eos>,The boys near the fathers were leaving .
8,agree,local,c-command,1,b,male,none,none,fathers,boys,were,leaving,The fathers near the boys were leaving . <eos>,The fathers near the boys were leaving .
8,agree,local,c-command,1,a,female,none,none,girls,mothers,were,leaving,The girls near the mothers were leaving . <eos>,The girls near the mothers were leaving .
8,agree,local,c-command,1,b,female,none,none,mothers,girls,were,leaving,The mothers near the girls were leaving . <eos>,The mothers near the girls were leaving .
8,agree,local,no-c-command,0,a,male,head,number,boy,fathers,were,leaving,The boy near the fathers were leaving . <eos>,The boy near the fathers were leaving .
8,agree,local,no-c-command,0,b,male,head,number,father,boys,were,leaving,The father near the boys were leaving . <eos>,The father near the boys were leaving .
8,agree,local,no-c-command,0,a,female,head,number,girl,mothers,were,leaving,The girl near the mothers were leaving . <eos>,The girl near the mothers were leaving .
8,agree,local,no-c-command,0,b,female,head,number,mother,girls,were,leaving,The mother near the girls were leaving . <eos>,The mother near the girls were leaving .
8,agree,local,c-command,1,a,male,distractor,number,boys,father,were,leaving,The boys near the father were leaving . <eos>,The boys near the father were leaving .
8,agree,local,c-command,1,b,male,distractor,number,fathers,boy,were,leaving,The fathers near the boy were leaving . <eos>,The fathers near the boy were leaving .
8,agree,local,c-command,1,a,female,distractor,number,girls,mother,were,leaving,The girls near the mother were leaving . <eos>,The girls near the mother were leaving .
8,agree,local,c-command,1,b,female,distractor,number,mothers,girl,were,leaving,The mothers near the girl were leaving . <eos>,The mothers near the girl were leaving .
9,agree,local,c-command,1,a,male,none,none,boys,fathers,were,leaving,The boys near the fathers were leaving . <eos>,The boys near the fathers were leaving .
9,agree,local,c-command,1,b,male,none,none,fathers,boys,were,leaving,The fathers near the boys were leaving . <eos>,The fathers near the boys were leaving .
9,agree,local,c-command,1,a,female,none,none,girls,mothers,were,leaving,The girls near the mothers were leaving . <eos>,The girls near the mothers were leaving .
9,agree,local,c-command,1,b,female,none,none,mothers,girls,were,leaving,The mothers near the girls were leaving . <eos>,The mothers near the girls were leaving .
9,agree,local,no-c-command,0,a,male,head,number,boy,fathers,were,leaving,The boy near the fathers were leaving . <eos>,The boy near the fathers were leaving .
9,agree,local,no-c-command,0,b,male,head,number,father,boys,were,leaving,The father near the boys were leaving . <eos>,The father near the boys were leaving .
9,agree,local,no-c-command,0,a,female,head,number,girl,mothers,were,leaving,The girl near the mothers were leaving . <eos>,The girl near the mothers were leaving .
9,agree,local,no-c-command,0,b,female,head,number,mother,girls,were,leaving,The mother near the girls were leaving . <eos>,The mother near the girls were leaving .
9,agree,local,c-command,1,a,male,distractor,number,boys,father,were,leaving,The boys near the father were leaving . <eos>,The boys near the father were leaving .
9,agree,local,c-command,1,b,male,distractor,number,fathers,boy,were,leaving,The fathers near the boy were leaving . <eos>,The fathers near the boy were leaving .
9,agree,local,c-command,1,a,female,distractor,number,girls,mother,were,leaving,The girls near the mother were leaving . <eos>,The girls near the mother were leaving .
9,agree,local,c-command,1,b,female,distractor,number,mothers,girl,were,leaving,The mothers near the girl were leaving . <eos>,The mothers near the girl were leaving .
10,agree,local,c-command,1,a,male,none,none,boys,fathers,were,leaving,The boys near the fathers were leaving . <eos>,The boys near the fathers were leaving .
10,agree,local,c-command,1,b,male,none,none,fathers,boys,were,leaving,The fathers near the boys were leaving . <eos>,The fathers near the boys were leaving .
10,agree,local,c-command,1,a,female,none,none,girls,mothers,were,leaving,The girls near the mothers were leaving . <eos>,The girls near the mothers were leaving .
10,agree,local,c-command,1,b,female,none,none,mothers,girls,were,leaving,The mothers near the girls were leaving . <eos>,The mothers near the girls were leaving .
10,agree,local,no-c-command,0,a,male,head,number,boy,fathers,were,leaving,The boy near the fathers were leaving . <eos>,The boy near the fathers were leaving .
10,agree,local,no-c-command,0,b,male,head,number,father,boys,were,leaving,The father near the boys were leaving . <eos>,The father near the boys were leaving .
10,agree,local,no-c-command,0,a,female,head,number,girl,mothers,were,leaving,The girl near the mothers were leaving . <eos>,The girl near the mothers were leaving .
10,agree,local,no-c-command,0,b,female,head,number,mother,girls,were,leaving,The mother near the girls were leaving . <eos>,The mother near the girls were leaving .
10,agree,local,c-command,1,a,male,distractor,number,boys,father,were,leaving,The boys near the father were leaving . <eos>,The boys near the father were leaving .
10,agree,local,c-command,1,b,male,distractor,number,fathers,boy,were,leaving,The fathers near the boy were leaving . <eos>,The fathers near the boy were leaving .
10,agree,local,c-command,1,a,female,distractor,number,girls,mother,were,leaving,The girls near the mother were leaving . <eos>,The girls near the mother were leaving .
10,agree,local,c-command,1,b,female,distractor,number,mothers,girl,were,leaving,The mothers near the girl were leaving . <eos>,The mothers near the girl were leaving .
11,agree,local,c-command,1,a,male,none,none,boys,fathers,were,leaving,The boys near the fathers were leaving . <eos>,The boys near the fathers were leaving .
11,agree,local,c-command,1,b,male,none,none,fathers,boys,were,leaving,The fathers near the boys were leaving . <eos>,The fathers near the boys were leaving .
11,agree,local,c-command,1,a,female,none,none,girls,mothers,were,leaving,The girls near the mothers were leaving . <eos>,The girls near the mothers were leaving .
11,agree,local,c-command,1,b,female,none,none,mothers,girls,were,leaving,The mothers near the girls were leaving . <eos>,The mothers near the girls were leaving .
11,agree,local,no-c-command,0,a,male,head,number,boy,fathers,were,leaving,The boy near the fathers were leaving . <eos>,The boy near the fathers were leaving .
11,agree,local,no-c-command,0,b,male,head,number,father,boys,were,leaving,The father near the boys were leaving . <eos>,The father near the boys were leaving .
11,agree,local,no-c-command,0,a,female,head,number,girl,mothers,were,leaving,The girl near the mothers were leaving . <eos>,The girl near the mothers were leaving .
11,agree,local,no-c-command,0,b,female,head,number,mother,girls,were,leaving,The mother near the girls were leaving . <eos>,The mother near the girls were leaving .
11,agree,local,c-command,1,a,male,distractor,number,boys,father,were,leaving,The boys near the father were leaving . <eos>,The boys near the father were leaving .
11,agree,local,c-command,1,b,male,distractor,number,fathers,boy,were,leaving,The fathers near the boy were leaving . <eos>,The fathers near the boy were leaving .
11,agree,local,c-command,1,a,female,distractor,number,girls,mother,were,leaving,The girls near the mother were leaving . <eos>,The girls near the mother were leaving .
11,agree,local,c-command,1,b,female,distractor,number,mothers,girl,were,leaving,The mothers near the girl were leaving . <eos>,The mothers near the girl were leaving .
12,agree,local,c-command,1,a,male,none,none,boys,fathers,were,leaving,The boys near the fathers were leaving . <eos>,The boys near the fathers were leaving .
12,agree,local,c-command,1,b,male,none,none,fathers,boys,were,leaving,The fathers near the boys were leaving . <eos>,The fathers near the boys were leaving .
12,agree,local,c-command,1,a,female,none,none,girls,mothers,were,leaving,The girls near the mothers were leaving . <eos>,The girls near the mothers were leaving .
12,agree,local,c-command,1,b,female,none,none,mothers,girls,were,leaving,The mothers near the girls were leaving . <eos>,The mothers near the girls were leaving .
12,agree,local,no-c-command,0,a,male,head,number,boy,fathers,were,leaving,The boy near the fathers were leaving . <eos>,The boy near the fathers were leaving .
12,agree,local,no-c-command,0,b,male,head,number,father,boys,were,leaving,The father near the boys were leaving . <eos>,The father near the boys were leaving .
12,agree,local,no-c-command,0,a,female,head,number,girl,mothers,were,leaving,The girl near the mothers were leaving . <eos>,The girl near the mothers were leaving .
12,agree,local,no-c-command,0,b,female,head,number,mother,girls,were,leaving,The mother near the girls were leaving . <eos>,The mother near the girls were leaving .
12,agree,local,c-command,1,a,male,distractor,number,boys,father,were,leaving,The boys near the father were leaving . <eos>,The boys near the father were leaving .
12,agree,local,c-command,1,b,male,distractor,number,fathers,boy,were,leaving,The fathers near the boy were leaving . <eos>,The fathers near the boy were leaving .
12,agree,local,c-command,1,a,female,distractor,number,girls,mother,were,leaving,The girls near the mother were leaving . <eos>,The girls near the mother were leaving .
12,agree,local,c-command,1,b,female,distractor,number,mothers,girl,were,leaving,The mothers near the girl were leaving . <eos>,The mothers near the girl were leaving .
13,agree,local,c-command,1,a,male,none,none,boys,fathers,were,leaving,The boys near the fathers were leaving . <eos>,The boys near the fathers were leaving .
13,agree,local,c-command,1,b,male,none,none,fathers,boys,were,leaving,The fathers near the boys were leaving . <eos>,The fathers near the boys were leaving .
13,agree,local,c-command,1,a,female,none,none,girls,mothers,were,leaving,The girls near the mothers were leaving . <eos>,The girls near the mothers were leaving .
13,agree,local,c-command,1,b,female,none,none,mothers,girls,were,leaving,The mothers near the girls were leaving . <eos>,The mothers near the girls were leaving .
13,agree,local,no-c-command,0,a,male,head,number,boy,fathers,were,leaving,The boy near the fathers were leaving . <eos>,The boy near the fathers were leaving .
13,agree,local,no-c-command,0,b,male,head,number,father,boys,were,leaving,The father near the boys were leaving . <eos>,The father near the boys were leaving .
13,agree,local,no-c-command,0,a,female,head,number,girl,mothers,were,leaving,The girl near the mothers were leaving . <eos>,The girl near the mothers were leaving .
13,agree,local,no-c-command,0,b,female,head,number,mother,girls,were,leaving,The mother near the girls were leaving . <eos>,The mother near the girls were leaving .
13,agree,local,c-command,1,a,male,distractor,number,boys,father,were,leaving,The boys near the father were leaving . <eos>,The boys near the father were leaving .
13,agree,local,c-command,1,b,male,distractor,number,fathers,boy,were,leaving,The fathers near the boy were leaving . <eos>,The fathers near the boy were leaving .
13,agree,local,c-command,1,a,female,distractor,number,girls,mother,were,leaving,The girls near the mother were leaving . <eos>,The girls near the mother were leaving .
13,agree,local,c-command,1,b,female,distractor,number,mothers,girl,were,leaving,The mothers near the girl were leaving . <eos>,The mothers near the girl were leaving .
14,agree,local,c-command,1,a,male,none,none,boys,fathers,were,leaving,The boys near the fathers were leaving . <eos>,The boys near the fathers were leaving .
14,agree,local,c-command,1,b,male,none,none,fathers,boys,were,leaving,The fathers near the boys were leaving . <eos>,The fathers near the boys were leaving .
14,agree,local,c-command,1,a,female,none,none,girls,mothers,were,leaving,The girls near the mothers were leaving . <eos>,The girls near the mothers were leaving .
14,agree,local,c-command,1,b,female,none,none,mothers,girls,were,leaving,The mothers near the girls were leaving . <eos>,The mothers near the girls were leaving .
14,agree,local,no-c-command,0,a,male,head,number,boy,fathers,were,leaving,The boy near the fathers were leaving . <eos>,The boy near the fathers were leaving .
14,agree,local,no-c-command,0,b,male,head,number,father,boys,were,leaving,The father near the boys were leaving . <eos>,The father near the boys were leaving .
14,agree,local,no-c-command,0,a,female,head,number,girl,mothers,were,leaving,The girl near the mothers were leaving . <eos>,The girl near the mothers were leaving .
14,agree,local,no-c-command,0,b,female,head,number,mother,girls,were,leaving,The mother near the girls were leaving . <eos>,The mother near the girls were leaving .
14,agree,local,c-command,1,a,male,distractor,number,boys,father,were,leaving,The boys near the father were leaving . <eos>,The boys near the father were leaving .
14,agree,local,c-command,1,b,male,distractor,number,fathers,boy,were,leaving,The fathers near the boy were leaving . <eos>,The fathers near the boy were leaving .
14,agree,local,c-command,1,a,female,distractor,number,girls,mother,were,leaving,The girls near the mother were leaving . <eos>,The girls near the mother were leaving .
14,agree,local,c-command,1,b,female,distractor,number,mothers,girl,were,leaving,The mothers near the girl were leaving . <eos>,The mothers near the girl were leaving .
15,agree,local,c-command,1,a,male,none,none,boys,fathers,were,leaving,The boys near the fathers were leaving . <eos>,The boys near the fathers were leaving .
15,agree,local,c-command,1,b,male,none,none,fathers,boys,were,leaving,The fathers near the boys were leaving . <eos>,The fathers near the boys were leaving .
15,agree,local,c-command,1,a,female,none,none,girls,mothers,were,leaving,The girls near the mothers were leaving . <eos>,The girls near the mothers were leaving .
15,agree,local,c-command,1,b,female,none,none,mothers,girls,were,leaving,The mothers near the girls were leaving . <eos>,The mothers near the girls were leaving .
15,agree,local,no-c-command,0,a,male,head,number,boy,fathers,were,leaving,The boy near the fathers were leaving . <eos>,The boy near the fathers were leaving .
15,agree,local,no-c-command,0,b,male,head,number,father,boys,were,leaving,The father near the boys were leaving . <eos>,The father near the boys were leaving .
15,agree,local,no-c-command,0,a,female,head,number,girl,mothers,were,leaving,The girl near the mothers were leaving . <eos>,The girl near the mothers were leaving .
15,agree,local,no-c-command,0,b,female,head,number,mother,girls,were,leaving,The mother near the girls were leaving . <eos>,The mother near the girls were leaving .
15,agree,local,c-command,1,a,male,distractor,number,boys,father,were,leaving,The boys near the father were leaving . <eos>,The boys near the father were leaving .
15,agree,local,c-command,1,b,male,distractor,number,fathers,boy,were,leaving,The fathers near the boy were leaving . <eos>,The fathers near the boy were leaving .
15,agree,local,c-command,1,a,female,distractor,number,girls,mother,were,leaving,The girls near the mother were leaving . <eos>,The girls near the mother were leaving .
15,agree,local,c-command,1,b,female,distractor,number,mothers,girl,were,leaving,The mothers near the girl were leaving . <eos>,The mothers near the girl were leaving .
16,agree,local,c-command,1,a,male,none,none,boys,sons,were,leaving,The boys near the sons were leaving . <eos>,The boys near the sons were leaving .
16,agree,local,c-command,1,b,male,none,none,sons,boys,were,leaving,The sons near the boys were leaving . <eos>,The sons near the boys were leaving .
16,agree,local,c-command,1,a,female,none,none,girls,daughters,were,leaving,The girls near the daughters were leaving . <eos>,The girls near the daughters were leaving .
16,agree,local,c-command,1,b,female,none,none,daughters,girls,were,leaving,The daughters near the girls were leaving . <eos>,The daughters near the girls were leaving .
16,agree,local,no-c-command,0,a,male,head,number,boy,sons,were,leaving,The boy near the sons were leaving . <eos>,The boy near the sons were leaving .
16,agree,local,no-c-command,0,b,male,head,number,son,boys,were,leaving,The son near the boys were leaving . <eos>,The son near the boys were leaving .
16,agree,local,no-c-command,0,a,female,head,number,girl,daughters,were,leaving,The girl near the daughters were leaving . <eos>,The girl near the daughters were leaving .
16,agree,local,no-c-command,0,b,female,head,number,daughter,girls,were,leaving,The daughter near the girls were leaving . <eos>,The daughter near the girls were leaving .
16,agree,local,c-command,1,a,male,distractor,number,boys,son,were,leaving,The boys near the son were leaving . <eos>,The boys near the son were leaving .
16,agree,local,c-command,1,b,male,distractor,number,sons,boy,were,leaving,The sons near the boy were leaving . <eos>,The sons near the boy were leaving .
16,agree,local,c-command,1,a,female,distractor,number,girls,daughter,were,leaving,The girls near the daughter were leaving . <eos>,The girls near the daughter were leaving .
16,agree,local,c-command,1,b,female,distractor,number,daughters,girl,were,leaving,The daughters near the girl were leaving . <eos>,The daughters near the girl were leaving .
17,agree,local,c-command,1,a,male,none,none,boys,sons,were,leaving,The boys near the sons were leaving . <eos>,The boys near the sons were leaving .
17,agree,local,c-command,1,b,male,none,none,sons,boys,were,leaving,The sons near the boys were leaving . <eos>,The sons near the boys were leaving .
17,agree,local,c-command,1,a,female,none,none,girls,daughters,were,leaving,The girls near the daughters were leaving . <eos>,The girls near the daughters were leaving .
17,agree,local,c-command,1,b,female,none,none,daughters,girls,were,leaving,The daughters near the girls were leaving . <eos>,The daughters near the girls were leaving .
17,agree,local,no-c-command,0,a,male,head,number,boy,sons,were,leaving,The boy near the sons were leaving . <eos>,The boy near the sons were leaving .
17,agree,local,no-c-command,0,b,male,head,number,son,boys,were,leaving,The son near the boys were leaving . <eos>,The son near the boys were leaving .
17,agree,local,no-c-command,0,a,female,head,number,girl,daughters,were,leaving,The girl near the daughters were leaving . <eos>,The girl near the daughters were leaving .
17,agree,local,no-c-command,0,b,female,head,number,daughter,girls,were,leaving,The daughter near the girls were leaving . <eos>,The daughter near the girls were leaving .
17,agree,local,c-command,1,a,male,distractor,number,boys,son,were,leaving,The boys near the son were leaving . <eos>,The boys near the son were leaving .
17,agree,local,c-command,1,b,male,distractor,number,sons,boy,were,leaving,The sons near the boy were leaving . <eos>,The sons near the boy were leaving .
17,agree,local,c-command,1,a,female,distractor,number,girls,daughter,were,leaving,The girls near the daughter were leaving . <eos>,The girls near the daughter were leaving .
17,agree,local,c-command,1,b,female,distractor,number,daughters,girl,were,leaving,The daughters near the girl were leaving . <eos>,The daughters near the girl were leaving .
18,agree,local,c-command,1,a,male,none,none,boys,sons,were,leaving,The boys near the sons were leaving . <eos>,The boys near the sons were leaving .
18,agree,local,c-command,1,b,male,none,none,sons,boys,were,leaving,The sons near the boys were leaving . <eos>,The sons near the boys were leaving .
18,agree,local,c-command,1,a,female,none,none,girls,daughters,were,leaving,The girls near the daughters were leaving . <eos>,The girls near the daughters were leaving .
18,agree,local,c-command,1,b,female,none,none,daughters,girls,were,leaving,The daughters near the girls were leaving . <eos>,The daughters near the girls were leaving .
18,agree,local,no-c-command,0,a,male,head,number,boy,sons,were,leaving,The boy near the sons were leaving . <eos>,The boy near the sons were leaving .
18,agree,local,no-c-command,0,b,male,head,number,son,boys,were,leaving,The son near the boys were leaving . <eos>,The son near the boys were leaving .
