item,clause_type,locality,c-command,grammatical,counterbalance,subject,mismatch_position,mismatch_feature,head_noun,distractor_noun,verb,pronoun,sentence,sentence_no_eos
4,simple,local,c-command,1,a,female,head,number,girl,mothers,considered,them,The girl near the mothers considered them . <eos>,The girl near the mothers considered them .
4,simple,local,c-command,1,b,female,head,number,mother,girls,considered,them,The mother near the girls considered them . <eos>,The mother near the girls considered them .
4,simple,local,no-c-command,0,a,male,distractor,number,boys,father,considered,them,The boys near the father considered them . <eos>,The boys near the father considered them .
4,simple,local,no-c-command,0,b,male,distractor,number,fathers,boy,considered,them,The fathers near the boy considered them . <eos>,The fathers near the boy considered them .
4,simple,local,no-c-command,0,a,female,distractor,number,girls,mother,considered,them,The girls near the mother considered them . <eos>,The girls near the mother considered them .
4,simple,local,no-c-command,0,b,female,distractor,number,mothers,girl,considered,them,The mothers near the girl considered them . <eos>,The mothers near the girl considered them .
5,simple,local,c-command,1,a,male,none,none,boys,fathers,identified,them,The boys near the fathers identified them . <eos>,The boys near the fathers identified them .
5,simple,local,c-command,1,b,male,none,none,fathers,boys,identified,them,The fathers near the boys identified them . <eos>,The fathers near the boys identified them .
5,simple,local,c-command,1,a,female,none,none,girls,mothers,identified,them,The girls near the mothers identified them . <eos>,The girls near the mothers identified them .
5,simple,local,c-command,1,b,female,none,none,mothers,girls,identified,them,The mothers near the girls identified them . <eos>,The mothers near the girls identified them .
5,simple,local,c-command,1,a,male,head,number,boy,fathers,identified,them,The boy near the fathers identified them . <eos>,The boy near the fathers identified them .
5,simple,local,c-command,1,b,male,head,number,father,boys,identified,them,The father near the boys identified them . <eos>,The father near the boys identified them .
5,simple,local,c-command,1,a,female,head,number,girl,mothers,identified,them,The girl near the mothers identified them . <eos>,The girl near the mothers identified them .
5,simple,local,c-command,1,b,female,head,number,mother,girls,identified,them,The mother near the girls identified them . <eos>,The mother near the girls identified them .
5,simple,local,no-c-command,0,a,male,distractor,number,boys,father,identified,them,The boys near the father identified them . <eos>,The boys near the father identified them .
5,simple,local,no-c-command,0,b,male,distractor,number,fathers,boy,identified,them,The fathers near the boy identified them . <eos>,The fathers near the boy identified them .
5,simple,local,no-c-command,0,a,female,distractor,number,girls,mother,identified,them,The girls near the mother identified them . <eos>,The girls near the mother identified them .
5,simple,local,no-c-command,0,b,female,distractor,number,mothers,girl,identified,them,The mothers near the girl identified them . <eos>,The mothers near the girl identified them .
6,simple,local,c-command,1,a,male,none,none,boys,fathers,made,them,The boys near the fathers made them . <eos>,The boys near the fathers made them .
6,simple,local,c-command,1,b,male,none,none,fathers,boys,made,them,The fathers near the boys made them . <eos>,The fathers near the boys made them .
6,simple,local,c-command,1,a,female,none,none,girls,mothers,made,them,The girls near the mothers made them . <eos>,The girls near the mothers made them .
6,simple,local,c-command,1,b,female,none,none,mothers,girls,made,them,The mothers near the girls made them . <eos>,The mothers near the girls made them .
6,simple,local,c-command,1,a,male,head,number,boy,fathers,made,them,The boy near the fathers made them . <eos>,The boy near the fathers made them .
6,simple,local,c-command,1,b,male,head,number,father,boys,made,them,The father near the boys made them . <eos>,The father near the boys made them .
6,simple,local,c-command,1,a,female,head,number,girl,mothers,made,them,The girl near the mothers made them . <eos>,The girl near the mothers made them .
6,simple,local,c-command,1,b,female,head,number,mother,girls,made,them,The mother near the girls made them . <eos>,The mother near the girls made them .
6,simple,local,no-c-command,0,a,male,distractor,number,boys,father,made,them,The boys near the father made them . <eos>,The boys near the father made them .
6,simple,local,no-c-command,0,b,male,distractor,number,fathers,boy,made,them,The fathers near the boy made them . <eos>,The fathers near the boy made them .
6,simple,local,no-c-command,0,a,female,distractor,number,girls,mother,made,them,The girls near the mother made them . <eos>,The girls near the mother made them .
6,simple,local,no-c-command,0,b,female,distractor,number,mothers,girl,made,them,The mothers near the girl made them . <eos>,The mothers near the girl made them .
7,simple,local,c-command,1,a,male,none,none,boys,fathers,found,them,The boys near the fathers found them . <eos>,The boys near the fathers found them .
7,simple,local,c-command,1,b,male,none,none,fathers,boys,found,them,The fathers near the boys found them . <eos>,The fathers near the boys found them .
7,simple,local,c-command,1,a,female,none,none,girls,mothers,found,them,The girls near the mothers found them . <eos>,The girls near the mothers found them .
7,simple,local,c-command,1,b,female,none,none,mothers,girls,found,them,The mothers near the girls found them . <eos>,The mothers near the girls found them .
7,simple,local,c-command,1,a,male,head,number,boy,fathers,found,them,The boy near the fathers found them . <eos>,The boy near the fathers found them .
7,simple,local,c-command,1,b,male,head,number,father,boys,found,them,The father near the boys found them . <eos>,The father near the boys found them .
7,simple,local,c-command,1,a,female,head,number,girl,mothers,found,them,The girl near the mothers found them . <eos>,The girl near the mothers found them .
7,simple,local,c-command,1,b,female,head,number,mother,girls,found,them,The mother near the girls found them . <eos>,The mother near the girls found them .
7,simple,local,no-c-command,0,a,male,distractor,number,boys,father,found,them,The boys near the father found them . <eos>,The boys near the father found them .
7,simple,local,no-c-command,0,b,male,distractor,number,fathers,boy,found,them,The fathers near the boy found them . <eos>,The fathers near the boy found them .
7,simple,local,no-c-command,0,a,female,distractor,number,girls,mother,found,them,The girls near the mother found them . <eos>,The girls near the mother found them .
7,simple,local,no-c-command,0,b,female,distractor,number,mothers,girl,found,them,The mothers near the girl found them . <eos>,The mothers near the girl found them .
8,simple,local,c-command,1,a,male,none,none,boys,fathers,distinguished,them,The boys near the fathers distinguished them . <eos>,The boys near the fathers distinguished them .
8,simple,local,c-command,1,b,male,none,none,fathers,boys,distinguished,them,The fathers near the boys distinguished them . <eos>,The fathers near the boys distinguished them .
8,simple,local,c-command,1,a,female,none,none,girls,mothers,distinguished,them,The girls near the mothers distinguished them . <eos>,The girls near the mothers distinguished them .
8,simple,local,c-command,1,b,female,none,none,mothers,girls,distinguished,them,The mothers near the girls distinguished them . <eos>,The mothers near the girls distinguished them .
8,simple,local,c-command,1,a,male,head,number,boy,fathers,distinguished,them,The boy near the fathers distinguished them . <eos>,The boy near the fathers distinguished them .
8,simple,local,c-command,1,b,male,head,number,father,boys,distinguished,them,The father near the boys distinguished them . <eos>,The father near the boys distinguished them .
8,simple,local,c-command,1,a,female,head,number,girl,mothers,distinguished,them,The girl near the mothers distinguished them . <eos>,The girl near the mothers distinguished them .
8,simple,local,c-command,1,b,female,head,number,mother,girls,distinguished,them,The mother near the girls distinguished them . <eos>,The mother near the girls distinguished them .
8,simple,local,no-c-command,0,a,male,distractor,number,boys,father,distinguished,them,The boys near the father distinguished them . <eos>,The boys near the father distinguished them .
8,simple,local,no-c-command,0,b,male,distractor,number,fathers,boy,distinguished,them,The fathers near the boy distinguished them . <eos>,The fathers near the boy distinguished them .
8,simple,local,no-c-command,0,a,female,distractor,number,girls,mother,distinguished,them,The girls near the mother distinguished them . <eos>,The girls near the mother distinguished them .
8,simple,local,no-c-command,0,b,female,distractor,number,mothers,girl,distinguished,them,The mothers near the girl distinguished them . <eos>,The mothers near the girl distinguished them .
9,simple,local,c-command,1,a,male,none,none,boys,fathers,taught,them,The boys near the fathers taught them . <eos>,The boys near the fathers taught them .
9,simple,local,c-command,1,b,male,none,none,fathers,boys,taught,them,The fathers near the boys taught them . <eos>,The fathers near the boys taught them .
9,simple,local,c-command,1,a,female,none,none,girls,mothers,taught,them,The girls near the mothers taught them . <eos>,The girls near the mothers taught them .
9,simple,local,c-command,1,b,female,none,none,mothers,girls,taught,them,The mothers near the girls taught them . <eos>,The mothers near the girls taught them .
9,simple,local,c-command,1,a,male,head,number,boy,fathers,taught,them,The boy near the fathers taught them . <eos>,The boy near the fathers taught them .
9,simple,local,c-command,1,b,male,head,number,father,boys,taught,them,The father near the boys taught them . <eos>,The father near the boys taught them .
9,simple,local,c-command,1,a,female,head,number,girl,mothers,taught,them,The girl near the mothers taught them . <eos>,The girl near the mothers taught them .
9,simple,local,c-command,1,b,female,head,number,mother,girls,taught,them,The mother near the girls taught them . <eos>,The mother near the girls taught them .
9,simple,local,no-c-command,0,a,male,distractor,number,boys,father,taught,them,The boys near the father taught them . <eos>,The boys near the father taught them .
9,simple,local,no-c-command,0,b,male,distractor,number,fathers,boy,taught,them,The fathers near the boy taught them . <eos>,The fathers near the boy taught them .
9,simple,local,no-c-command,0,a,female,distractor,number,girls,mother,taught,them,The girls near the mother taught them . <eos>,The girls near the mother taught them .
9,simple,local,no-c-command,0,b,female,distractor,number,mothers,girl,taught,them,The mothers near the girl taught them . <eos>,The mothers near the girl taught them .
10,simple,local,c-command,1,a,male,none,none,boys,fathers,killed,them,The boys near the fathers killed them . <eos>,The boys near the fathers killed them .
10,simple,local,c-command,1,b,male,none,none,fathers,boys,killed,them,The fathers near the boys killed them . <eos>,The fathers near the boys killed them .
10,simple,local,c-command,1,a,female,none,none,girls,mothers,killed,them,The girls near the mothers killed them . <eos>,The girls near the mothers killed them .
10,simple,local,c-command,1,b,female,none,none,mothers,girls,killed,them,The mothers near the girls killed them . <eos>,The mothers near the girls killed them .
10,simple,local,c-command,1,a,male,head,number,boy,fathers,killed,them,The boy near the fathers killed them . <eos>,The boy near the fathers killed them .
10,simple,local,c-command,1,b,male,head,number,father,boys,killed,them,The father near the boys killed them . <eos>,The father near the boys killed them .
10,simple,local,c-command,1,a,female,head,number,girl,mothers,killed,them,The girl near the mothers killed them . <eos>,The girl near the mothers killed them .
10,simple,local,c-command,1,b,female,head,number,mother,girls,killed,them,The mother near the girls killed them . <eos>,The mother near the girls killed them .
10,simple,local,no-c-command,0,a,male,distractor,number,boys,father,killed,them,The boys near the father killed them . <eos>,The boys near the father killed them .
10,simple,local,no-c-command,0,b,male,distractor,number,fathers,boy,killed,them,The fathers near the boy killed them . <eos>,The fathers near the boy killed them .
10,simple,local,no-c-command,0,a,female,distractor,number,girls,mother,killed,them,The girls near the mother killed them . <eos>,The girls near the mother killed them .
10,simple,local,no-c-command,0,b,female,distractor,number,mothers,girl,killed,them,The mothers near the girl killed them . <eos>,The mothers near the girl killed them .
11,simple,local,c-command,1,a,male,none,none,boys,fathers,called,them,The boys near the fathers called them . <eos>,The boys near the fathers called them .
11,simple,local,c-command,1,b,male,none,none,fathers,boys,called,them,The fathers near the boys called them . <eos>,The fathers near the boys called them .
11,simple,local,c-command,1,a,female,none,none,girls,mothers,called,them,The girls near the mothers called them . <eos>,The girls near the mothers called them .
11,simple,local,c-command,1,b,female,none,none,mothers,girls,called,them,The mothers near the girls called them . <eos>,The mothers near the girls called them .
11,simple,local,no-c-command,0,a,male,head,number,boy,fathers,called,them,The boy near the fathers called them . <eos>,The boy near the fathers called them .
11,simple,local,no-c-command,0,b,male,head,number,father,boys,called,them,The father near the boys called them . <eos>,The father near the boys called them .
11,simple,local,no-c-command,0,a,female,head,number,girl,mothers,called,them,The girl near the mothers called them . <eos>,The girl near the mothers called them .
11,simple,local,no-c-command,0,b,female,head,number,mother,girls,called,them,The mother near the girls called them . <eos>,The mother near the girls called them .
11,simple,local,c-command,1,a,male,distractor,number,boys,father,called,them,The boys near the father called them . <eos>,The boys near the father called them .
11,simple,local,c-command,1,b,male,distractor,number,fathers,boy,called,them,The fathers near the boy called them . <eos>,The fathers near the boy called them .
11,simple,local,c-command,1,a,female,distractor,number,girls,mother,called,them,The girls near the mother called them . <eos>,The girls near the mother called them .
11,simple,local,c-command,1,b,female,distractor,number,mothers,girl,called,them,The mothers near the girl called them . <eos>,The mothers near the girl called them .
12,simple,local,c-command,1,a,male,none,none,boys,fathers,dedicated,them,The boys near the fathers dedicated them . <eos>,The boys near the fathers dedicated them .
12,simple,local,c-command,1,b,male,none,none,fathers,boys,dedicated,them,The fathers near the boys dedicated them . <eos>,The fathers near the boys dedicated them .
12,simple,local,c-command,1,a,female,none,none,girls,mothers,dedicated,them,The girls near the mothers dedicated them . <eos>,The girls near the mothers dedicated them .
12,simple,local,c-command,1,b,female,none,none,mothers,girls,dedicated,them,The mothers near the girls dedicated them . <eos>,The mothers near the girls dedicated them .
12,simple,local,no-c-command,0,a,male,head,number,boy,fathers,dedicated,them,The boy near the fathers dedicated them . <eos>,The boy near the fathers dedicated them .
12,simple,local,no-c-command,0,b,male,head,number,father,boys,dedicated,them,The father near the boys dedicated them . <eos>,The father near the boys dedicated them .
12,simple,local,no-c-command,0,a,female,head,number,girl,mothers,dedicated,them,The girl near the mothers dedicated them . <eos>,The girl near the mothers dedicated them .
12,simple,local,no-c-command,0,b,female,head,number,mother,girls,dedicated,them,The mother near the girls dedicated them . <eos>,The mother near the girls dedicated them .
12,simple,local,c-command,1,a,male,distractor,number,boys,father,dedicated,them,The boys near the father dedicated them . <eos>,The boys near the father dedicated them .
12,simple,local,c-command,1,b,male,distractor,number,fathers,boy,dedicated,them,The fathers near the boy dedicated them . <eos>,The fathers near the boy dedicated them .
12,simple,local,c-command,1,a,female,distractor,number,girls,mother,dedicated,them,The girls near the mother dedicated them . <eos>,The girls near the mother dedicated them .
12,simple,local,c-command,1,b,female,distractor,number,mothers,girl,dedicated,them,The mothers near the girl dedicated them . <eos>,The mothers near the girl dedicated them .
13,simple,local,c-command,1,a,male,none,none,boys,fathers,declared,them,The boys near the fathers declared them . <eos>,The boys near the fathers declared them .
13,simple,local,c-command,1,b,male,none,none,fathers,boys,declared,them,The fathers near the boys declared them . <eos>,The fathers near the boys declared them .
13,simple,local,c-command,1,a,female,none,none,girls,mothers,declared,them,The girls near the mothers declared them . <eos>,The girls near the mothers declared them .
13,simple,local,c-command,1,b,female,none,none,mothers,girls,declared,them,The mothers near the girls declared them . <eos>,The mothers near the girls declared them .
13,simple,local,no-c-command,0,a,male,head,number,boy,fathers,declared,them,The boy near the fathers declared them . <eos>,The boy near the fathers declared them .
13,simple,local,no-c-command,0,b,male,head,number,father,boys,declared,them,The father near the boys declared them . <eos>,The father near the boys declared them .
13,simple,local,no-c-command,0,a,female,head,number,girl,mothers,declared,them,The girl near the mothers declared them . <eos>,The girl near the mothers declared them .
13,simple,local,no-c-command,0,b,female,head,number,mother,girls,declared,them,The mother near the girls declared them . <eos>,The mother near the girls declared them .
13,simple,local,c-command,1,a,male,distractor,number,boys,father,declared,them,The boys near the father declared them . <eos>,The boys near the father declared them .
13,simple,local,c-command,1,b,male,distractor,number,fathers,boy,declared,them,The fathers near the boy declared them . <eos>,The fathers near the boy declared them .
13,simple,local,c-command,1,a,female,distractor,number,girls,mother,declared,them,The girls near the mother declared them . <eos>,The girls near the mother declared them .
13,simple,local,c-command,1,b,female,distractor,number,mothers,girl,declared,them,The mothers near the girl declared them . <eos>,The mothers near the girl declared them .
14,simple,local,c-command,1,a,male,none,none,boys,fathers,proved,them,The boys near the fathers proved them . <eos>,The boys near the fathers proved them .
14,simple,local,c-command,1,b,male,none,none,fathers,boys,proved,them,The fathers near the boys proved them . <eos>,The fathers near the boys proved them .
14,simple,local,c-command,1,a,female,none,none,girls,mothers,proved,them,The girls near the mothers proved them . <eos>,The girls near the mothers proved them .
14,simple,local,c-command,1,b,female,none,none,mothers,girls,proved,them,The mothers near the girls proved them . <eos>,The mothers near the girls proved them .
14,simple,local,no-c-command,0,a,male,head,number,boy,fathers,proved,them,The boy near the fathers proved them . <eos>,The boy near the fathers proved them .
14,simple,local,no-c-command,0,b,male,head,number,father,boys,proved,them,The father near the boys proved them . <eos>,The father near the boys proved them .
14,simple,local,no-c-command,0,a,female,head,number,girl,mothers,proved,them,The girl near the mothers proved them . <eos>,The girl near the mothers proved them .
14,simple,local,no-c-command,0,b,female,head,number,mother,girls,proved,them,The mother near the girls proved them . <eos>,The mother near the girls proved them .
14,simple,local,c-command,1,a,male,distractor,number,boys,father,proved,them,The boys near the father proved them . <eos>,The boys near the father proved them .
14,simple,local,c-command,1,b,male,distractor,number,fathers,boy,proved,them,The fathers near the boy proved them . <eos>,The fathers near the boy proved them .
14,simple,local,c-command,1,a,female,distractor,number,girls,mother,proved,them,The girls near the mother proved them . <eos>,The girls near the mother proved them .
14,simple,local,c-command,1,b,female,distractor,number,mothers,girl,proved,them,The mothers near the girl proved them . <eos>,The mothers near the girl proved them .
15,simple,local,c-command,1,a,male,none,none,boys,fathers,shot,them,The boys near the fathers shot them . <eos>,The boys near the fathers shot them .
15,simple,local,c-command,1,b,male,none,none,fathers,boys,shot,them,The fathers near the boys shot them . <eos>,The fathers near the boys shot them .
15,simple,local,c-command,1,a,female,none,none,girls,mothers,shot,them,The girls near the mothers shot them . <eos>,The girls near the mothers shot them .
15,simple,local,c-command,1,b,female,none,none,mothers,girls,shot,them,The mothers near the girls shot them . <eos>,The mothers near the girls shot them .
15,simple,local,no-c-command,0,a,male,head,number,boy,fathers,shot,them,The boy near the fathers shot them . <eos>,The boy near the fathers shot them .
15,simple,local,no-c-command,0,b,male,head,number,father,boys,shot,them,The father near the boys shot them . <eos>,The father near the boys shot them .
15,simple,local,no-c-command,0,a,female,head,number,girl,mothers,shot,them,The girl near the mothers shot them . <eos>,The girl near the mothers shot them .
15,simple,local,no-c-command,0,b,female,head,number,mother,girls,shot,them,The mother near the girls shot them . <eos>,The mother near the girls shot them .
15,simple,local,c-command,1,a,male,distractor,number,boys,father,shot,them,The boys near the father shot them . <eos>,The boys near the father shot them .
15,simple,local,c-command,1,b,male,distractor,number,fathers,boy,shot,them,The fathers near the boy shot them . <eos>,The fathers near the boy shot them .
15,simple,local,c-command,1,a,female,distractor,number,girls,mother,shot,them,The girls near the mother shot them . <eos>,The girls near the mother shot them .
15,simple,local,c-command,1,b,female,distractor,number,mothers,girl,shot,them,The mothers near the girl shot them . <eos>,The mothers near the girl shot them .
16,simple,local,c-command,1,a,male,none,none,boys,sons,saw,them,The boys near the sons saw them . <eos>,The boys near the sons saw them .
16,simple,local,c-command,1,b,male,none,none,sons,boys,saw,them,The sons near the boys saw them . <eos>,The sons near the boys saw them .
16,simple,local,c-command,1,a,female,none,none,girls,daughters,saw,them,The girls near the daughters saw them . <eos>,The girls near the daughters saw them .
16,simple,local,c-command,1,b,female,none,none,daughters,girls,saw,them,The daughters near the girls saw them . <eos>,The daughters near the girls saw them .
16,simple,local,c-command,1,a,male,head,number,boy,sons,saw,them,The boy near the sons saw them . <eos>,The boy near the sons saw them .
16,simple,local,c-command,1,b,male,head,number,son,boys,saw,them,The son near the boys saw them . <eos>,The son near the boys saw them .
16,simple,local,c-command,1,a,female,head,number,girl,daughters,saw,them,The girl near the daughters saw them . <eos>,The girl near the daughters saw them .
16,simple,local,c-command,1,b,female,head,number,daughter,girls,saw,them,The daughter near the girls saw them . <eos>,The daughter near the girls saw them .
16,simple,local,no-c-command,0,a,male,distractor,number,boys,son,saw,them,The boys near the son saw them . <eos>,The boys near the son saw them .
16,simple,local,no-c-command,0,b,male,distractor,number,sons,boy,saw,them,The sons near the boy saw them . <eos>,The sons near the boy saw them .
16,simple,local,no-c-command,0,a,female,distractor,number,girls,daughter,saw,them,The girls near the daughter saw them . <eos>,The girls near the daughter saw them .
16,simple,local,no-c-command,0,b,female,distractor,number,daughters,girl,saw,them,The daughters near the girl saw them . <eos>,The daughters near the girl saw them .
17,simple,local,c-command,1,a,male,none,none,boys,sons,established,them,The boys near the sons established them . <eos>,The boys near the sons established them .
17,simple,local,c-command,1,b,male,none,none,sons,boys,established,them,The sons near the boys established them . <eos>,The sons near the boys established them .
17,simple,local,c-command,1,a,female,none,none,girls,daughters,established,them,The girls near the daughters established them . <eos>,The girls near the daughters established them .
17,simple,local,c-command,1,b,female,none,none,daughters,girls,established,them,The daughters near the girls established them . <eos>,The daughters near the girls established them .
17,simple,local,c-command,1,a,male,head,number,boy,sons,established,them,The boy near the sons established them . <eos>,The boy near the sons established them .
17,simple,local,c-command,1,b,male,head,number,son,boys,established,them,The son near the boys established them . <eos>,The son near the boys established them .
17,simple,local,c-command,1,a,female,head,number,girl,daughters,established,them,The girl near the daughters established them . <eos>,The girl near the daughters established them .
17,simple,local,c-command,1,b,female,head,number,daughter,girls,established,them,The daughter near the girls established them . <eos>,The daughter near the girls established them .
17,simple,local,no-c-command,0,a,male,distractor,number,boys,son,established,them,The boys near the son established them . <eos>,The boys near the son established them .
17,simple,local,no-c-command,0,b,male,distractor,number,sons,boy,established,them,The sons near the boy established them . <eos>,The sons near the boy established them .
17,simple,local,no-c-command,0,a,female,distractor,number,girls,daughter,established,them,The girls near the daughter established them . <eos>,The girls near the daughter established them .
17,simple,local,no-c-command,0,b,female,distractor,number,daughters,girl,established,them,The daughters near the girl established them . <eos>,The daughters near the girl established them .
18,simple,local,c-command,1,a,male,none,none,boys,sons,devoted,them,The boys near the sons devoted them . <eos>,The boys near the sons devoted them .
18,simple,local,c-command,1,b,male,none,none,sons,boys,devoted,them,The sons near the boys devoted them . <eos>,The sons near the boys devoted them .
18,simple,local,c-command,1,a,female,none,none,girls,daughters,devoted,them,The girls near the daughters devoted them . <eos>,The girls near the daughters devoted them .
18,simple,local,c-command,1,b,female,none,none,daughters,girls,devoted,them,The daughters near the girls devoted them . <eos>,The daughters near the girls devoted them .
18,simple,local,c-command,1,a,male,head,number,boy,sons,devoted,them,The boy near the sons devoted them . <eos>,The boy near the sons devoted them .
18,simple,local,c-command,1,b,male,head,number,son,boys,devoted,them,The son near the boys devoted them . <eos>,The son near the boys devoted them .
18,simple,local,c-command,1,a,female,head,number,girl,daughters,devoted,them,The girl near the daughters devoted them . <eos>,The girl near the daughters devoted them .
18,simple,local,c-command,1,b,female,head,number,daughter,girls,devoted,them,The daughter near the girls devoted them . <eos>,The daughter near the girls devoted them .
18,simple,local,no-c-command,0,a,male,distractor,number,boys,son,devoted,them,The boys near the son devoted them . <eos>,The boys near the son devoted them .
18,simple,local,no-c-command,0,b,male,distractor,number,sons,boy,devoted,them,The sons near the boy devoted them . <eos>,The sons near the boy devoted them .
18,simple,local,no-c-command,0,a,female,distractor,number,girls,daughter,devoted,them,The girls near the daughter devoted them . <eos>,The girls near the daughter devoted them .
18,simple,local,no-c-command,0,b,female,distractor,number,daughters,girl,devoted,them,The daughters near the girl devoted them . <eos>,The daughters near the girl devoted them .
19,simple,local,c-command,1,a,male,none,none,boys,sons,considered,them,The boys near the sons considered them . <eos>,The boys near the sons considered them .
19,simple,local,c-command,1,b,male,none,none,sons,boys,considered,them,The sons near the boys considered them . <eos>,The sons near the boys considered them .
19,simple,local,c-command,1,a,female,none,none,girls,daughters,considered,them,The girls near the daughters considered them . <eos>,The girls near the daughters considered them .
19,simple,local,c-command,1,b,female,none,none,daughters,girls,considered,them,The daughters near the girls considered them . <eos>,The daughters near the girls considered them .
