,item,clause_type,locality,grammatical,counterbalance,mismatch_position,mismatch_feature,head_noun,distractor_noun,verb,pronoun,sentence,sentence_no_eos,bert_sentence,surprisal
18,4,embed,local,1,a,none,none,boy,father,considered,himself,The boy said that the father considered himself . <eos>,The boy said that the father considered himself .,the boy said that the father considered ***mask*** .,9.398808769188918
19,4,embed,local,1,b,none,none,father,boy,considered,himself,The father said that the boy considered himself . <eos>,The father said that the boy considered himself .,the father said that the boy considered ***mask*** .,8.144103278938386
20,4,embed,local,1,a,nonlocal_subj,number,boys,father,considered,himself,The boys said that the father considered himself . <eos>,The boys said that the father considered himself .,the boys said that the father considered ***mask*** .,9.825883036352169
21,4,embed,local,1,b,nonlocal_subj,number,fathers,boy,considered,himself,The fathers said that the boy considered himself . <eos>,The fathers said that the boy considered himself .,the fathers said that the boy considered ***mask*** .,7.465633586256816
22,4,embed,nonlocal,0,a,local_subj,number,boy,fathers,considered,himself,The boy said that the fathers considered himself . <eos>,The boy said that the fathers considered himself .,the boy said that the fathers considered ***mask*** .,12.387506713528534
23,4,embed,nonlocal,0,b,local_subj,number,father,boys,considered,himself,The father said that the boys considered himself . <eos>,The father said that the boys considered himself .,the father said that the boys considered ***mask*** .,11.173639951328727
24,5,embed,local,1,a,none,none,boy,father,identified,himself,The boy said that the father identified himself . <eos>,The boy said that the father identified himself .,the boy said that the father identified ***mask*** .,1.2237954068393144
25,5,embed,local,1,b,none,none,father,boy,identified,himself,The father said that the boy identified himself . <eos>,The father said that the boy identified himself .,the father said that the boy identified ***mask*** .,0.3020585734721272
26,5,embed,local,1,a,nonlocal_subj,number,boys,father,identified,himself,The boys said that the father identified himself . <eos>,The boys said that the father identified himself .,the boys said that the father identified ***mask*** .,0.7719897351834584
27,5,embed,local,1,b,nonlocal_subj,number,fathers,boy,identified,himself,The fathers said that the boy identified himself . <eos>,The fathers said that the boy identified himself .,the fathers said that the boy identified ***mask*** .,0.36234165537077057
28,5,embed,nonlocal,0,a,local_subj,number,boy,fathers,identified,himself,The boy said that the fathers identified himself . <eos>,The boy said that the fathers identified himself .,the boy said that the fathers identified ***mask*** .,6.062670005967873
29,5,embed,nonlocal,0,b,local_subj,number,father,boys,identified,himself,The father said that the boys identified himself . <eos>,The father said that the boys identified himself .,the father said that the boys identified ***mask*** .,6.612015702844589
30,6,embed,local,1,a,none,none,boy,father,made,himself,The boy said that the father made himself . <eos>,The boy said that the father made himself .,the boy said that the father made ***mask*** .,9.851590605052722
31,6,embed,local,1,b,none,none,father,boy,made,himself,The father said that the boy made himself . <eos>,The father said that the boy made himself .,the father said that the boy made ***mask*** .,9.51161738869983
32,6,embed,local,1,a,nonlocal_subj,number,boys,father,made,himself,The boys said that the father made himself . <eos>,The boys said that the father made himself .,the boys said that the father made ***mask*** .,10.85535482547792
33,6,embed,local,1,b,nonlocal_subj,number,fathers,boy,made,himself,The fathers said that the boy made himself . <eos>,The fathers said that the boy made himself .,the fathers said that the boy made ***mask*** .,9.249343813732995
34,6,embed,nonlocal,0,a,local_subj,number,boy,fathers,made,himself,The boy said that the fathers made himself . <eos>,The boy said that the fathers made himself .,the boy said that the fathers made ***mask*** .,13.052030051509675
35,6,embed,nonlocal,0,b,local_subj,number,father,boys,made,himself,The father said that the boys made himself . <eos>,The father said that the boys made himself .,the father said that the boys made ***mask*** .,14.939388663068126
36,7,embed,local,1,a,none,none,boy,father,found,himself,The boy said that the father found himself . <eos>,The boy said that the father found himself .,the boy said that the father found ***mask*** .,9.662251260663187
37,7,embed,local,1,b,none,none,father,boy,found,himself,The father said that the boy found himself . <eos>,The father said that the boy found himself .,the father said that the boy found ***mask*** .,7.637629797410007
38,7,embed,local,1,a,nonlocal_subj,number,boys,father,found,himself,The boys said that the father found himself . <eos>,The boys said that the father found himself .,the boys said that the father found ***mask*** .,9.588887319185242
39,7,embed,local,1,b,nonlocal_subj,number,fathers,boy,found,himself,The fathers said that the boy found himself . <eos>,The fathers said that the boy found himself .,the fathers said that the boy found ***mask*** .,6.974876831953551
40,7,embed,nonlocal,0,a,local_subj,number,boy,fathers,found,himself,The boy said that the fathers found himself . <eos>,The boy said that the fathers found himself .,the boy said that the fathers found ***mask*** .,11.848886812818026
41,7,embed,nonlocal,0,b,local_subj,number,father,boys,found,himself,The father said that the boys found himself . <eos>,The father said that the boys found himself .,the father said that the boys found ***mask*** .,11.346407681879343
42,8,embed,local,1,a,none,none,boy,father,distinguished,himself,The boy said that the father distinguished himself . <eos>,The boy said that the father distinguished himself .,the boy said that the father distinguished ***mask*** .,0.1069732161539414
43,8,embed,local,1,b,none,none,father,boy,distinguished,himself,The father said that the boy distinguished himself . <eos>,The father said that the boy distinguished himself .,the father said that the boy distinguished ***mask*** .,0.030351049968356733
44,8,embed,local,1,a,nonlocal_subj,number,boys,father,distinguished,himself,The boys said that the father distinguished himself . <eos>,The boys said that the father distinguished himself .,the boys said that the father distinguished ***mask*** .,0.04139728428846604
45,8,embed,local,1,b,nonlocal_subj,number,fathers,boy,distinguished,himself,The fathers said that the boy distinguished himself . <eos>,The fathers said that the boy distinguished himself .,the fathers said that the boy distinguished ***mask*** .,0.04527288237901513
46,8,embed,nonlocal,0,a,local_subj,number,boy,fathers,distinguished,himself,The boy said that the fathers distinguished himself . <eos>,The boy said that the fathers distinguished himself .,the boy said that the fathers distinguished ***mask*** .,7.905663730983256
47,8,embed,nonlocal,0,b,local_subj,number,father,boys,distinguished,himself,The father said that the boys distinguished himself . <eos>,The father said that the boys distinguished himself .,the father said that the boys distinguished ***mask*** .,10.624882461634844
48,9,embed,local,1,a,none,none,boy,father,taught,himself,The boy said that the father taught himself . <eos>,The boy said that the father taught himself .,the boy said that the father taught ***mask*** .,9.979430478349226
49,9,embed,local,1,b,none,none,father,boy,taught,himself,The father said that the boy taught himself . <eos>,The father said that the boy taught himself .,the father said that the boy taught ***mask*** .,5.819307887430263
50,9,embed,local,1,a,nonlocal_subj,number,boys,father,taught,himself,The boys said that the father taught himself . <eos>,The boys said that the father taught himself .,the boys said that the father taught ***mask*** .,10.232188442916012
51,9,embed,local,1,b,nonlocal_subj,number,fathers,boy,taught,himself,The fathers said that the boy taught himself . <eos>,The fathers said that the boy taught himself .,the fathers said that the boy taught ***mask*** .,5.46878430681529
52,9,embed,nonlocal,0,a,local_subj,number,boy,fathers,taught,himself,The boy said that the fathers taught himself . <eos>,The boy said that the fathers taught himself .,the boy said that the fathers taught ***mask*** .,11.31340116220063
53,9,embed,nonlocal,0,b,local_subj,number,father,boys,taught,himself,The father said that the boys taught himself . <eos>,The father said that the boys taught himself .,the father said that the boys taught ***mask*** .,6.660858008943727
54,10,embed,local,1,a,none,none,boy,father,killed,himself,The boy said that the father killed himself . <eos>,The boy said that the father killed himself .,the boy said that the father killed ***mask*** .,4.212896333627993
55,10,embed,local,1,b,none,none,father,boy,killed,himself,The father said that the boy killed himself . <eos>,The father said that the boy killed himself .,the father said that the boy killed ***mask*** .,2.2256475518279477
56,10,embed,local,1,a,nonlocal_subj,number,boys,father,killed,himself,The boys said that the father killed himself . <eos>,The boys said that the father killed himself .,the boys said that the father killed ***mask*** .,3.017629384417551
57,10,embed,local,1,b,nonlocal_subj,number,fathers,boy,killed,himself,The fathers said that the boy killed himself . <eos>,The fathers said that the boy killed himself .,the fathers said that the boy killed ***mask*** .,2.603257786219915
58,10,embed,nonlocal,0,a,local_subj,number,boy,fathers,killed,himself,The boy said that the fathers killed himself . <eos>,The boy said that the fathers killed himself .,the boy said that the fathers killed ***mask*** .,8.467718040527426
59,10,embed,nonlocal,0,b,local_subj,number,father,boys,killed,himself,The father said that the boys killed himself . <eos>,The father said that the boys killed himself .,the father said that the boys killed ***mask*** .,6.225578877931107
60,11,embed,local,1,a,none,none,boy,father,called,himself,The boy said that the father called himself . <eos>,The boy said that the father called himself .,the boy said that the father called ***mask*** .,7.703585192441319
61,11,embed,local,1,b,none,none,father,boy,called,himself,The father said that the boy called himself . <eos>,The father said that the boy called himself .,the father said that the boy called ***mask*** .,6.292978171085435
62,11,embed,local,1,a,nonlocal_subj,number,boys,father,called,himself,The boys said that the father called himself . <eos>,The boys said that the father called himself .,the boys said that the father called ***mask*** .,7.620249760372551
63,11,embed,local,1,b,nonlocal_subj,number,fathers,boy,called,himself,The fathers said that the boy called himself . <eos>,The fathers said that the boy called himself .,the fathers said that the boy called ***mask*** .,5.585968132718076
64,11,embed,nonlocal,0,a,local_subj,number,boy,fathers,called,himself,The boy said that the fathers called himself . <eos>,The boy said that the fathers called himself .,the boy said that the fathers called ***mask*** .,10.022886936619287
65,11,embed,nonlocal,0,b,local_subj,number,father,boys,called,himself,The father said that the boys called himself . <eos>,The father said that the boys called himself .,the father said that the boys called ***mask*** .,9.498755760416666
66,12,embed,local,1,a,none,none,boy,father,dedicated,himself,The boy said that the father dedicated himself . <eos>,The boy said that the father dedicated himself .,the boy said that the father dedicated ***mask*** .,0.9218296426955505
67,12,embed,local,1,b,none,none,father,boy,dedicated,himself,The father said that the boy dedicated himself . <eos>,The father said that the boy dedicated himself .,the father said that the boy dedicated ***mask*** .,0.12933991207751844
68,12,embed,local,1,a,nonlocal_subj,number,boys,father,dedicated,himself,The boys said that the father dedicated himself . <eos>,The boys said that the father dedicated himself .,the boys said that the father dedicated ***mask*** .,0.4697060730011286
69,12,embed,local,1,b,nonlocal_subj,number,fathers,boy,dedicated,himself,The fathers said that the boy dedicated himself . <eos>,The fathers said that the boy dedicated himself .,the fathers said that the boy dedicated ***mask*** .,0.08049304879382724
70,12,embed,nonlocal,0,a,local_subj,number,boy,fathers,dedicated,himself,The boy said that the fathers dedicated himself . <eos>,The boy said that the fathers dedicated himself .,the boy said that the fathers dedicated ***mask*** .,5.627301364360795
71,12,embed,nonlocal,0,b,local_subj,number,father,boys,dedicated,himself,The father said that the boys dedicated himself . <eos>,The father said that the boys dedicated himself .,the father said that the boys dedicated ***mask*** .,9.90785163221538
72,13,embed,local,1,a,none,none,boy,father,declared,himself,The boy said that the father declared himself . <eos>,The boy said that the father declared himself .,the boy said that the father declared ***mask*** .,3.9664434095747754
73,13,embed,local,1,b,none,none,father,boy,declared,himself,The father said that the boy declared himself . <eos>,The father said that the boy declared himself .,the father said that the boy declared ***mask*** .,3.118770629174607
74,13,embed,local,1,a,nonlocal_subj,number,boys,father,declared,himself,The boys said that the father declared himself . <eos>,The boys said that the father declared himself .,the boys said that the father declared ***mask*** .,3.9546944312549526
75,13,embed,local,1,b,nonlocal_subj,number,fathers,boy,declared,himself,The fathers said that the boy declared himself . <eos>,The fathers said that the boy declared himself .,the fathers said that the boy declared ***mask*** .,3.150717083684192
76,13,embed,nonlocal,0,a,local_subj,number,boy,fathers,declared,himself,The boy said that the fathers declared himself . <eos>,The boy said that the fathers declared himself .,the boy said that the fathers declared ***mask*** .,9.952292445473944
77,13,embed,nonlocal,0,b,local_subj,number,father,boys,declared,himself,The father said that the boys declared himself . <eos>,The father said that the boys declared himself .,the father said that the boys declared ***mask*** .,8.64131097547032
78,14,embed,local,1,a,none,none,boy,father,proved,himself,The boy said that the father proved himself . <eos>,The boy said that the father proved himself .,the boy said that the father proved ***mask*** .,3.217264181207979
79,14,embed,local,1,b,none,none,father,boy,proved,himself,The father said that the boy proved himself . <eos>,The father said that the boy proved himself .,the father said that the boy proved ***mask*** .,2.124692257041751
80,14,embed,local,1,a,nonlocal_subj,number,boys,father,proved,himself,The boys said that the father proved himself . <eos>,The boys said that the father proved himself .,the boys said that the father proved ***mask*** .,4.076794400344829
81,14,embed,local,1,b,nonlocal_subj,number,fathers,boy,proved,himself,The fathers said that the boy proved himself . <eos>,The fathers said that the boy proved himself .,the fathers said that the boy proved ***mask*** .,2.4366106363572726
82,14,embed,nonlocal,0,a,local_subj,number,boy,fathers,proved,himself,The boy said that the fathers proved himself . <eos>,The boy said that the fathers proved himself .,the boy said that the fathers proved ***mask*** .,7.2040578592943
83,14,embed,nonlocal,0,b,local_subj,number,father,boys,proved,himself,The father said that the boys proved himself . <eos>,The father said that the boys proved himself .,the father said that the boys proved ***mask*** .,6.599159511699247
84,15,embed,local,1,a,none,none,boy,father,shot,himself,The boy said that the father shot himself . <eos>,The boy said that the father shot himself .,the boy said that the father shot ***mask*** .,4.028488458473907
85,15,embed,local,1,b,none,none,father,boy,shot,himself,The father said that the boy shot himself . <eos>,The father said that the boy shot himself .,the father said that the boy shot ***mask*** .,2.667039612796251
86,15,embed,local,1,a,nonlocal_subj,number,boys,father,shot,himself,The boys said that the father shot himself . <eos>,The boys said that the father shot himself .,the boys said that the father shot ***mask*** .,2.8344562716444694
87,15,embed,local,1,b,nonlocal_subj,number,fathers,boy,shot,himself,The fathers said that the boy shot himself . <eos>,The fathers said that the boy shot himself .,the fathers said that the boy shot ***mask*** .,1.8060155626363767
88,15,embed,nonlocal,0,a,local_subj,number,boy,fathers,shot,himself,The boy said that the fathers shot himself . <eos>,The boy said that the fathers shot himself .,the boy said that the fathers shot ***mask*** .,7.973516913122352
89,15,embed,nonlocal,0,b,local_subj,number,father,boys,shot,himself,The father said that the boys shot himself . <eos>,The father said that the boys shot himself .,the father said that the boys shot ***mask*** .,7.158043848208564
90,16,embed,local,1,a,none,none,boy,son,saw,himself,The boy said that the son saw himself . <eos>,The boy said that the son saw himself .,the boy said that the son saw ***mask*** .,9.809629271075146
91,16,embed,local,1,b,none,none,son,boy,saw,himself,The son said that the boy saw himself . <eos>,The son said that the boy saw himself .,the son said that the boy saw ***mask*** .,8.78492164068827
92,16,embed,local,1,a,nonlocal_subj,number,boys,son,saw,himself,The boys said that the son saw himself . <eos>,The boys said that the son saw himself .,the boys said that the son saw ***mask*** .,9.733938380760689
93,16,embed,local,1,b,nonlocal_subj,number,sons,boy,saw,himself,The sons said that the boy saw himself . <eos>,The sons said that the boy saw himself .,the sons said that the boy saw ***mask*** .,8.284490606553405
94,16,embed,nonlocal,0,a,local_subj,number,boy,sons,saw,himself,The boy said that the sons saw himself . <eos>,The boy said that the sons saw himself .,the boy said that the sons saw ***mask*** .,12.037577699547667
95,16,embed,nonlocal,0,b,local_subj,number,son,boys,saw,himself,The son said that the boys saw himself . <eos>,The son said that the boys saw himself .,the son said that the boys saw ***mask*** .,12.222311950032056
96,17,embed,local,1,a,none,none,boy,son,established,himself,The boy said that the son established himself . <eos>,The boy said that the son established himself .,the boy said that the son established ***mask*** .,0.8410279677282211
97,17,embed,local,1,b,none,none,son,boy,established,himself,The son said that the boy established himself . <eos>,The son said that the boy established himself .,the son said that the boy established ***mask*** .,0.28777592417161174
98,17,embed,local,1,a,nonlocal_subj,number,boys,son,established,himself,The boys said that the son established himself . <eos>,The boys said that the son established himself .,the boys said that the son established ***mask*** .,1.0502016915249137
99,17,embed,local,1,b,nonlocal_subj,number,sons,boy,established,himself,The sons said that the boy established himself . <eos>,The sons said that the boy established himself .,the sons said that the boy established ***mask*** .,0.3350661342991517
100,17,embed,nonlocal,0,a,local_subj,number,boy,sons,established,himself,The boy said that the sons established himself . <eos>,The boy said that the sons established himself .,the boy said that the sons established ***mask*** .,6.354611694530453
101,17,embed,nonlocal,0,b,local_subj,number,son,boys,established,himself,The son said that the boys established himself . <eos>,The son said that the boys established himself .,the son said that the boys established ***mask*** .,6.234582267284593
102,18,embed,local,1,a,none,none,boy,son,devoted,himself,The boy said that the son devoted himself . <eos>,The boy said that the son devoted himself .,the boy said that the son devoted ***mask*** .,0.6698562724605761
103,18,embed,local,1,b,none,none,son,boy,devoted,himself,The son said that the boy devoted himself . <eos>,The son said that the boy devoted himself .,the son said that the boy devoted ***mask*** .,0.3421806773643541
104,18,embed,local,1,a,nonlocal_subj,number,boys,son,devoted,himself,The boys said that the son devoted himself . <eos>,The boys said that the son devoted himself .,the boys said that the son devoted ***mask*** .,0.2913892587989773
105,18,embed,local,1,b,nonlocal_subj,number,sons,boy,devoted,himself,The sons said that the boy devoted himself . <eos>,The sons said that the boy devoted himself .,the sons said that the boy devoted ***mask*** .,0.28411507311848355
106,18,embed,nonlocal,0,a,local_subj,number,boy,sons,devoted,himself,The boy said that the sons devoted himself . <eos>,The boy said that the sons devoted himself .,the boy said that the sons devoted ***mask*** .,8.010539666055708
107,18,embed,nonlocal,0,b,local_subj,number,son,boys,devoted,himself,The son said that the boys devoted himself . <eos>,The son said that the boys devoted himself .,the son said that the boys devoted ***mask*** .,9.728763824471564
108,19,embed,local,1,a,none,none,boy,son,considered,himself,The boy said that the son considered himself . <eos>,The boy said that the son considered himself .,the boy said that the son considered ***mask*** .,8.531440959006895
109,19,embed,local,1,b,none,none,son,boy,considered,himself,The son said that the boy considered himself . <eos>,The son said that the boy considered himself .,the son said that the boy considered ***mask*** .,7.9829882479446175
110,19,embed,local,1,a,nonlocal_subj,number,boys,son,considered,himself,The boys said that the son considered himself . <eos>,The boys said that the son considered himself .,the boys said that the son considered ***mask*** .,8.919826239556112
111,19,embed,local,1,b,nonlocal_subj,number,sons,boy,considered,himself,The sons said that the boy considered himself . <eos>,The sons said that the boy considered himself .,the sons said that the boy considered ***mask*** .,7.331812269179844
112,19,embed,nonlocal,0,a,local_subj,number,boy,sons,considered,himself,The boy said that the sons considered himself . <eos>,The boy said that the sons considered himself .,the boy said that the sons considered ***mask*** .,11.450527171330421
113,19,embed,nonlocal,0,b,local_subj,number,son,boys,considered,himself,The son said that the boys considered himself . <eos>,The son said that the boys considered himself .,the son said that the boys considered ***mask*** .,10.985267770298151
114,20,embed,local,1,a,none,none,boy,son,identified,himself,The boy said that the son identified himself . <eos>,The boy said that the son identified himself .,the boy said that the son identified ***mask*** .,0.9470932006360434
115,20,embed,local,1,b,none,none,son,boy,identified,himself,The son said that the boy identified himself . <eos>,The son said that the boy identified himself .,the son said that the boy identified ***mask*** .,0.4270880636110667
116,20,embed,local,1,a,nonlocal_subj,number,boys,son,identified,himself,The boys said that the son identified himself . <eos>,The boys said that the son identified himself .,the boys said that the son identified ***mask*** .,0.6094315047444685
117,20,embed,local,1,b,nonlocal_subj,number,sons,boy,identified,himself,The sons said that the boy identified himself . <eos>,The sons said that the boy identified himself .,the sons said that the boy identified ***mask*** .,0.4178518148629341
118,20,embed,nonlocal,0,a,local_subj,number,boy,sons,identified,himself,The boy said that the sons identified himself . <eos>,The boy said that the sons identified himself .,the boy said that the sons identified ***mask*** .,5.479720512380119
119,20,embed,nonlocal,0,b,local_subj,number,son,boys,identified,himself,The son said that the boys identified himself . <eos>,The son said that the boys identified himself .,the son said that the boys identified ***mask*** .,6.1136944436683
120,21,embed,local,1,a,none,none,boy,son,made,himself,The boy said that the son made himself . <eos>,The boy said that the son made himself .,the boy said that the son made ***mask*** .,9.293561948769984
121,21,embed,local,1,b,none,none,son,boy,made,himself,The son said that the boy made himself . <eos>,The son said that the boy made himself .,the son said that the boy made ***mask*** .,9.147746921566384
122,21,embed,local,1,a,nonlocal_subj,number,boys,son,made,himself,The boys said that the son made himself . <eos>,The boys said that the son made himself .,the boys said that the son made ***mask*** .,10.376336153118014
123,21,embed,local,1,b,nonlocal_subj,number,sons,boy,made,himself,The sons said that the boy made himself . <eos>,The sons said that the boy made himself .,the sons said that the boy made ***mask*** .,8.882363397743111
124,21,embed,nonlocal,0,a,local_subj,number,boy,sons,made,himself,The boy said that the sons made himself . <eos>,The boy said that the sons made himself .,the boy said that the sons made ***mask*** .,12.553813625158648
125,21,embed,nonlocal,0,b,local_subj,number,son,boys,made,himself,The son said that the boys made himself . <eos>,The son said that the boys made himself .,the son said that the boys made ***mask*** .,15.539170308462777
126,22,embed,local,1,a,none,none,boy,son,found,himself,The boy said that the son found himself . <eos>,The boy said that the son found himself .,the boy said that the son found ***mask*** .,8.868824410979569
127,22,embed,local,1,b,none,none,son,boy,found,himself,The son said that the boy found himself . <eos>,The son said that the boy found himself .,the son said that the boy found ***mask*** .,7.564325415786192
128,22,embed,local,1,a,nonlocal_subj,number,boys,son,found,himself,The boys said that the son found himself . <eos>,The boys said that the son found himself .,the boys said that the son found ***mask*** .,8.101042469227174
129,22,embed,local,1,b,nonlocal_subj,number,sons,boy,found,himself,The sons said that the boy found himself . <eos>,The sons said that the boy found himself .,the sons said that the boy found ***mask*** .,6.640712635539505
130,22,embed,nonlocal,0,a,local_subj,number,boy,sons,found,himself,The boy said that the sons found himself . <eos>,The boy said that the sons found himself .,the boy said that the sons found ***mask*** .,11.381075848870978
131,22,embed,nonlocal,0,b,local_subj,number,son,boys,found,himself,The son said that the boys found himself . <eos>,The son said that the boys found himself .,the son said that the boys found ***mask*** .,11.193519604468351
132,23,embed,local,1,a,none,none,boy,son,distinguished,himself,The boy said that the son distinguished himself . <eos>,The boy said that the son distinguished himself .,the boy said that the son distinguished ***mask*** .,0.08439711884951275
133,23,embed,local,1,b,none,none,son,boy,distinguished,himself,The son said that the boy distinguished himself . <eos>,The son said that the boy distinguished himself .,the son said that the boy distinguished ***mask*** .,0.03797536815355339
134,23,embed,local,1,a,nonlocal_subj,number,boys,son,distinguished,himself,The boys said that the son distinguished himself . <eos>,The boys said that the son distinguished himself .,the boys said that the son distinguished ***mask*** .,0.0388868443462736
135,23,embed,local,1,b,nonlocal_subj,number,sons,boy,distinguished,himself,The sons said that the boy distinguished himself . <eos>,The sons said that the boy distinguished himself .,the sons said that the boy distinguished ***mask*** .,0.05232971295124327
136,23,embed,nonlocal,0,a,local_subj,number,boy,sons,distinguished,himself,The boy said that the sons distinguished himself . <eos>,The boy said that the sons distinguished himself .,the boy said that the sons distinguished ***mask*** .,8.44115694091976
137,23,embed,nonlocal,0,b,local_subj,number,son,boys,distinguished,himself,The son said that the boys distinguished himself . <eos>,The son said that the boys distinguished himself .,the son said that the boys distinguished ***mask*** .,10.174935053570165
138,24,embed,local,1,a,none,none,boy,son,taught,himself,The boy said that the son taught himself . <eos>,The boy said that the son taught himself .,the boy said that the son taught ***mask*** .,9.179440035223337
139,24,embed,local,1,b,none,none,son,boy,taught,himself,The son said that the boy taught himself . <eos>,The son said that the boy taught himself .,the son said that the boy taught ***mask*** .,6.304222451111266
140,24,embed,local,1,a,nonlocal_subj,number,boys,son,taught,himself,The boys said that the son taught himself . <eos>,The boys said that the son taught himself .,the boys said that the son taught ***mask*** .,8.109561664564632
141,24,embed,local,1,b,nonlocal_subj,number,sons,boy,taught,himself,The sons said that the boy taught himself . <eos>,The sons said that the boy taught himself .,the sons said that the boy taught ***mask*** .,5.518353287389696
142,24,embed,nonlocal,0,a,local_subj,number,boy,sons,taught,himself,The boy said that the sons taught himself . <eos>,The boy said that the sons taught himself .,the boy said that the sons taught ***mask*** .,10.215845344391388
143,24,embed,nonlocal,0,b,local_subj,number,son,boys,taught,himself,The son said that the boys taught himself . <eos>,The son said that the boys taught himself .,the son said that the boys taught ***mask*** .,6.647792734965532
144,25,embed,local,1,a,none,none,boy,son,killed,himself,The boy said that the son killed himself . <eos>,The boy said that the son killed himself .,the boy said that the son killed ***mask*** .,3.3313806118173788
145,25,embed,local,1,b,none,none,son,boy,killed,himself,The son said that the boy killed himself . <eos>,The son said that the boy killed himself .,the son said that the boy killed ***mask*** .,2.4282737385599216
146,25,embed,local,1,a,nonlocal_subj,number,boys,son,killed,himself,The boys said that the son killed himself . <eos>,The boys said that the son killed himself .,the boys said that the son killed ***mask*** .,1.7957603691170307
147,25,embed,local,1,b,nonlocal_subj,number,sons,boy,killed,himself,The sons said that the boy killed himself . <eos>,The sons said that the boy killed himself .,the sons said that the boy killed ***mask*** .,2.7012967794854386
148,25,embed,nonlocal,0,a,local_subj,number,boy,sons,killed,himself,The boy said that the sons killed himself . <eos>,The boy said that the sons killed himself .,the boy said that the sons killed ***mask*** .,7.912353614354113
149,25,embed,nonlocal,0,b,local_subj,number,son,boys,killed,himself,The son said that the boys killed himself . <eos>,The son said that the boys killed himself .,the son said that the boys killed ***mask*** .,5.645729630280317
150,26,embed,local,1,a,none,none,boy,son,called,himself,The boy said that the son called himself . <eos>,The boy said that the son called himself .,the boy said that the son called ***mask*** .,6.7974870818351025
151,26,embed,local,1,b,none,none,son,boy,called,himself,The son said that the boy called himself . <eos>,The son said that the boy called himself .,the son said that the boy called ***mask*** .,6.114634476313699
152,26,embed,local,1,a,nonlocal_subj,number,boys,son,called,himself,The boys said that the son called himself . <eos>,The boys said that the son called himself .,the boys said that the son called ***mask*** .,6.475013474939649
