,item,clause_type,locality,c-command,grammatical,counterbalance,mismatch_position,mismatch_feature,matrix_subj_noun,rc_subj_noun,verb,pronoun,sentence,sentence_no_eos,bert_sentence,surprisal
23,4,simple,local,c-command,1,b,rc_subj,number,father,boys,considered,himself,The father that the boys liked considered himself . <eos>,The father that the boys liked considered himself .,the father that the boys liked considered ***mask*** .,4.698654664856779
24,5,simple,local,c-command,1,a,none,none,boy,father,identified,himself,The boy that the father liked identified himself . <eos>,The boy that the father liked identified himself .,the boy that the father liked identified ***mask*** .,3.726211940258124
25,5,simple,local,c-command,1,b,none,none,father,boy,identified,himself,The father that the boy liked identified himself . <eos>,The father that the boy liked identified himself .,the father that the boy liked identified ***mask*** .,3.301895949630483
26,5,simple,local,no-c-command,0,a,matrix_subj,number,boys,father,identified,himself,The boys that the father liked identified himself . <eos>,The boys that the father liked identified himself .,the boys that the father liked identified ***mask*** .,4.605815497409055
27,5,simple,local,no-c-command,0,b,matrix_subj,number,fathers,boy,identified,himself,The fathers that the boy liked identified himself . <eos>,The fathers that the boy liked identified himself .,the fathers that the boy liked identified ***mask*** .,4.596581185322061
28,5,simple,local,c-command,1,a,rc_subj,number,boy,fathers,identified,himself,The boy that the fathers liked identified himself . <eos>,The boy that the fathers liked identified himself .,the boy that the fathers liked identified ***mask*** .,7.529952366607575
29,5,simple,local,c-command,1,b,rc_subj,number,father,boys,identified,himself,The father that the boys liked identified himself . <eos>,The father that the boys liked identified himself .,the father that the boys liked identified ***mask*** .,4.142045193916551
30,6,simple,local,c-command,1,a,none,none,boy,father,made,himself,The boy that the father liked made himself . <eos>,The boy that the father liked made himself .,the boy that the father liked made ***mask*** .,11.15680513103283
31,6,simple,local,c-command,1,b,none,none,father,boy,made,himself,The father that the boy liked made himself . <eos>,The father that the boy liked made himself .,the father that the boy liked made ***mask*** .,12.353821026011694
32,6,simple,local,no-c-command,0,a,matrix_subj,number,boys,father,made,himself,The boys that the father liked made himself . <eos>,The boys that the father liked made himself .,the boys that the father liked made ***mask*** .,13.29112429447992
33,6,simple,local,no-c-command,0,b,matrix_subj,number,fathers,boy,made,himself,The fathers that the boy liked made himself . <eos>,The fathers that the boy liked made himself .,the fathers that the boy liked made ***mask*** .,14.649236669710863
34,6,simple,local,c-command,1,a,rc_subj,number,boy,fathers,made,himself,The boy that the fathers liked made himself . <eos>,The boy that the fathers liked made himself .,the boy that the fathers liked made ***mask*** .,10.853149668600603
35,6,simple,local,c-command,1,b,rc_subj,number,father,boys,made,himself,The father that the boys liked made himself . <eos>,The father that the boys liked made himself .,the father that the boys liked made ***mask*** .,12.145308878966832
36,7,simple,local,c-command,1,a,none,none,boy,father,found,himself,The boy that the father liked found himself . <eos>,The boy that the father liked found himself .,the boy that the father liked found ***mask*** .,5.45346216032179
37,7,simple,local,c-command,1,b,none,none,father,boy,found,himself,The father that the boy liked found himself . <eos>,The father that the boy liked found himself .,the father that the boy liked found ***mask*** .,4.439349152754195
38,7,simple,local,no-c-command,0,a,matrix_subj,number,boys,father,found,himself,The boys that the father liked found himself . <eos>,The boys that the father liked found himself .,the boys that the father liked found ***mask*** .,9.315899580879536
39,7,simple,local,no-c-command,0,b,matrix_subj,number,fathers,boy,found,himself,The fathers that the boy liked found himself . <eos>,The fathers that the boy liked found himself .,the fathers that the boy liked found ***mask*** .,7.47714253722103
40,7,simple,local,c-command,1,a,rc_subj,number,boy,fathers,found,himself,The boy that the fathers liked found himself . <eos>,The boy that the fathers liked found himself .,the boy that the fathers liked found ***mask*** .,5.138174661544674
41,7,simple,local,c-command,1,b,rc_subj,number,father,boys,found,himself,The father that the boys liked found himself . <eos>,The father that the boys liked found himself .,the father that the boys liked found ***mask*** .,3.855961698804607
42,8,simple,local,c-command,1,a,none,none,boy,father,distinguished,himself,The boy that the father liked distinguished himself . <eos>,The boy that the father liked distinguished himself .,the boy that the father liked distinguished ***mask*** .,3.714863805496231
43,8,simple,local,c-command,1,b,none,none,father,boy,distinguished,himself,The father that the boy liked distinguished himself . <eos>,The father that the boy liked distinguished himself .,the father that the boy liked distinguished ***mask*** .,5.764002163371943
44,8,simple,local,no-c-command,0,a,matrix_subj,number,boys,father,distinguished,himself,The boys that the father liked distinguished himself . <eos>,The boys that the father liked distinguished himself .,the boys that the father liked distinguished ***mask*** .,6.099670557250082
45,8,simple,local,no-c-command,0,b,matrix_subj,number,fathers,boy,distinguished,himself,The fathers that the boy liked distinguished himself . <eos>,The fathers that the boy liked distinguished himself .,the fathers that the boy liked distinguished ***mask*** .,4.027789258327576
46,8,simple,local,c-command,1,a,rc_subj,number,boy,fathers,distinguished,himself,The boy that the fathers liked distinguished himself . <eos>,The boy that the fathers liked distinguished himself .,the boy that the fathers liked distinguished ***mask*** .,6.717940689878117
47,8,simple,local,c-command,1,b,rc_subj,number,father,boys,distinguished,himself,The father that the boys liked distinguished himself . <eos>,The father that the boys liked distinguished himself .,the father that the boys liked distinguished ***mask*** .,9.613147878246135
48,9,simple,local,c-command,1,a,none,none,boy,father,taught,himself,The boy that the father liked taught himself . <eos>,The boy that the father liked taught himself .,the boy that the father liked taught ***mask*** .,9.611797547940938
49,9,simple,local,c-command,1,b,none,none,father,boy,taught,himself,The father that the boy liked taught himself . <eos>,The father that the boy liked taught himself .,the father that the boy liked taught ***mask*** .,9.733891614480834
50,9,simple,local,no-c-command,0,a,matrix_subj,number,boys,father,taught,himself,The boys that the father liked taught himself . <eos>,The boys that the father liked taught himself .,the boys that the father liked taught ***mask*** .,10.248405887246204
51,9,simple,local,no-c-command,0,b,matrix_subj,number,fathers,boy,taught,himself,The fathers that the boy liked taught himself . <eos>,The fathers that the boy liked taught himself .,the fathers that the boy liked taught ***mask*** .,11.248556564246444
52,9,simple,local,c-command,1,a,rc_subj,number,boy,fathers,taught,himself,The boy that the fathers liked taught himself . <eos>,The boy that the fathers liked taught himself .,the boy that the fathers liked taught ***mask*** .,9.913138130585633
53,9,simple,local,c-command,1,b,rc_subj,number,father,boys,taught,himself,The father that the boys liked taught himself . <eos>,The father that the boys liked taught himself .,the father that the boys liked taught ***mask*** .,10.329390426250887
54,10,simple,local,c-command,1,a,none,none,boy,father,killed,himself,The boy that the father liked killed himself . <eos>,The boy that the father liked killed himself .,the boy that the father liked killed ***mask*** .,3.355301038753181
55,10,simple,local,c-command,1,b,none,none,father,boy,killed,himself,The father that the boy liked killed himself . <eos>,The father that the boy liked killed himself .,the father that the boy liked killed ***mask*** .,2.917085959287075
56,10,simple,local,no-c-command,0,a,matrix_subj,number,boys,father,killed,himself,The boys that the father liked killed himself . <eos>,The boys that the father liked killed himself .,the boys that the father liked killed ***mask*** .,6.644665035900603
57,10,simple,local,no-c-command,0,b,matrix_subj,number,fathers,boy,killed,himself,The fathers that the boy liked killed himself . <eos>,The fathers that the boy liked killed himself .,the fathers that the boy liked killed ***mask*** .,6.924564756326576
58,10,simple,local,c-command,1,a,rc_subj,number,boy,fathers,killed,himself,The boy that the fathers liked killed himself . <eos>,The boy that the fathers liked killed himself .,the boy that the fathers liked killed ***mask*** .,3.131401602936705
59,10,simple,local,c-command,1,b,rc_subj,number,father,boys,killed,himself,The father that the boys liked killed himself . <eos>,The father that the boys liked killed himself .,the father that the boys liked killed ***mask*** .,2.7775597191425594
60,11,simple,local,c-command,1,a,none,none,boy,father,called,himself,The boy that the father liked called himself . <eos>,The boy that the father liked called himself .,the boy that the father liked called ***mask*** .,6.528534892975202
61,11,simple,local,c-command,1,b,none,none,father,boy,called,himself,The father that the boy liked called himself . <eos>,The father that the boy liked called himself .,the father that the boy liked called ***mask*** .,6.16589877103663
62,11,simple,local,no-c-command,0,a,matrix_subj,number,boys,father,called,himself,The boys that the father liked called himself . <eos>,The boys that the father liked called himself .,the boys that the father liked called ***mask*** .,6.38783071504377
63,11,simple,local,no-c-command,0,b,matrix_subj,number,fathers,boy,called,himself,The fathers that the boy liked called himself . <eos>,The fathers that the boy liked called himself .,the fathers that the boy liked called ***mask*** .,6.423111359835956
64,11,simple,local,c-command,1,a,rc_subj,number,boy,fathers,called,himself,The boy that the fathers liked called himself . <eos>,The boy that the fathers liked called himself .,the boy that the fathers liked called ***mask*** .,7.4668408028650015
65,11,simple,local,c-command,1,b,rc_subj,number,father,boys,called,himself,The father that the boys liked called himself . <eos>,The father that the boys liked called himself .,the father that the boys liked called ***mask*** .,6.938218463752158
66,12,simple,local,c-command,1,a,none,none,boy,father,dedicated,himself,The boy that the father liked dedicated himself . <eos>,The boy that the father liked dedicated himself .,the boy that the father liked dedicated ***mask*** .,14.287926255492398
67,12,simple,local,c-command,1,b,none,none,father,boy,dedicated,himself,The father that the boy liked dedicated himself . <eos>,The father that the boy liked dedicated himself .,the father that the boy liked dedicated ***mask*** .,14.971815020513622
68,12,simple,local,no-c-command,0,a,matrix_subj,number,boys,father,dedicated,himself,The boys that the father liked dedicated himself . <eos>,The boys that the father liked dedicated himself .,the boys that the father liked dedicated ***mask*** .,14.528300849697183
69,12,simple,local,no-c-command,0,b,matrix_subj,number,fathers,boy,dedicated,himself,The fathers that the boy liked dedicated himself . <eos>,The fathers that the boy liked dedicated himself .,the fathers that the boy liked dedicated ***mask*** .,14.228097214257193
70,12,simple,local,c-command,1,a,rc_subj,number,boy,fathers,dedicated,himself,The boy that the fathers liked dedicated himself . <eos>,The boy that the fathers liked dedicated himself .,the boy that the fathers liked dedicated ***mask*** .,16.155249035626923
71,12,simple,local,c-command,1,b,rc_subj,number,father,boys,dedicated,himself,The father that the boys liked dedicated himself . <eos>,The father that the boys liked dedicated himself .,the father that the boys liked dedicated ***mask*** .,14.725135617030643
72,13,simple,local,c-command,1,a,none,none,boy,father,declared,himself,The boy that the father liked declared himself . <eos>,The boy that the father liked declared himself .,the boy that the father liked declared ***mask*** .,1.4405126259672125
73,13,simple,local,c-command,1,b,none,none,father,boy,declared,himself,The father that the boy liked declared himself . <eos>,The father that the boy liked declared himself .,the father that the boy liked declared ***mask*** .,1.5068948630754786
74,13,simple,local,no-c-command,0,a,matrix_subj,number,boys,father,declared,himself,The boys that the father liked declared himself . <eos>,The boys that the father liked declared himself .,the boys that the father liked declared ***mask*** .,6.87293799522627
75,13,simple,local,no-c-command,0,b,matrix_subj,number,fathers,boy,declared,himself,The fathers that the boy liked declared himself . <eos>,The fathers that the boy liked declared himself .,the fathers that the boy liked declared ***mask*** .,6.105275567035731
76,13,simple,local,c-command,1,a,rc_subj,number,boy,fathers,declared,himself,The boy that the fathers liked declared himself . <eos>,The boy that the fathers liked declared himself .,the boy that the fathers liked declared ***mask*** .,1.6723837657647358
77,13,simple,local,c-command,1,b,rc_subj,number,father,boys,declared,himself,The father that the boys liked declared himself . <eos>,The father that the boys liked declared himself .,the father that the boys liked declared ***mask*** .,1.3970762297316697
78,14,simple,local,c-command,1,a,none,none,boy,father,proved,himself,The boy that the father liked proved himself . <eos>,The boy that the father liked proved himself .,the boy that the father liked proved ***mask*** .,7.1148947223007495
79,14,simple,local,c-command,1,b,none,none,father,boy,proved,himself,The father that the boy liked proved himself . <eos>,The father that the boy liked proved himself .,the father that the boy liked proved ***mask*** .,7.691688469985803
80,14,simple,local,no-c-command,0,a,matrix_subj,number,boys,father,proved,himself,The boys that the father liked proved himself . <eos>,The boys that the father liked proved himself .,the boys that the father liked proved ***mask*** .,9.05091656258392
81,14,simple,local,no-c-command,0,b,matrix_subj,number,fathers,boy,proved,himself,The fathers that the boy liked proved himself . <eos>,The fathers that the boy liked proved himself .,the fathers that the boy liked proved ***mask*** .,8.891992800231838
82,14,simple,local,c-command,1,a,rc_subj,number,boy,fathers,proved,himself,The boy that the fathers liked proved himself . <eos>,The boy that the fathers liked proved himself .,the boy that the fathers liked proved ***mask*** .,7.199411090568503
83,14,simple,local,c-command,1,b,rc_subj,number,father,boys,proved,himself,The father that the boys liked proved himself . <eos>,The father that the boys liked proved himself .,the father that the boys liked proved ***mask*** .,7.78224533854819
84,15,simple,local,c-command,1,a,none,none,boy,father,shot,himself,The boy that the father liked shot himself . <eos>,The boy that the father liked shot himself .,the boy that the father liked shot ***mask*** .,4.296315208374735
85,15,simple,local,c-command,1,b,none,none,father,boy,shot,himself,The father that the boy liked shot himself . <eos>,The father that the boy liked shot himself .,the father that the boy liked shot ***mask*** .,5.941154411856083
86,15,simple,local,no-c-command,0,a,matrix_subj,number,boys,father,shot,himself,The boys that the father liked shot himself . <eos>,The boys that the father liked shot himself .,the boys that the father liked shot ***mask*** .,6.6789159676561205
87,15,simple,local,no-c-command,0,b,matrix_subj,number,fathers,boy,shot,himself,The fathers that the boy liked shot himself . <eos>,The fathers that the boy liked shot himself .,the fathers that the boy liked shot ***mask*** .,6.722235435662831
88,15,simple,local,c-command,1,a,rc_subj,number,boy,fathers,shot,himself,The boy that the fathers liked shot himself . <eos>,The boy that the fathers liked shot himself .,the boy that the fathers liked shot ***mask*** .,5.5274896199680885
89,15,simple,local,c-command,1,b,rc_subj,number,father,boys,shot,himself,The father that the boys liked shot himself . <eos>,The father that the boys liked shot himself .,the father that the boys liked shot ***mask*** .,8.107313411933683
90,16,simple,local,c-command,1,a,none,none,boy,son,saw,himself,The boy that the son liked saw himself . <eos>,The boy that the son liked saw himself .,the boy that the son liked saw ***mask*** .,8.1508217124996
91,16,simple,local,c-command,1,b,none,none,son,boy,saw,himself,The son that the boy liked saw himself . <eos>,The son that the boy liked saw himself .,the son that the boy liked saw ***mask*** .,8.15914401002169
92,16,simple,local,no-c-command,0,a,matrix_subj,number,boys,son,saw,himself,The boys that the son liked saw himself . <eos>,The boys that the son liked saw himself .,the boys that the son liked saw ***mask*** .,11.595778863462332
93,16,simple,local,no-c-command,0,b,matrix_subj,number,sons,boy,saw,himself,The sons that the boy liked saw himself . <eos>,The sons that the boy liked saw himself .,the sons that the boy liked saw ***mask*** .,11.104071153783387
94,16,simple,local,c-command,1,a,rc_subj,number,boy,sons,saw,himself,The boy that the sons liked saw himself . <eos>,The boy that the sons liked saw himself .,the boy that the sons liked saw ***mask*** .,7.799515769876278
95,16,simple,local,c-command,1,b,rc_subj,number,son,boys,saw,himself,The son that the boys liked saw himself . <eos>,The son that the boys liked saw himself .,the son that the boys liked saw ***mask*** .,8.349001756200659
96,17,simple,local,c-command,1,a,none,none,boy,son,established,himself,The boy that the son liked established himself . <eos>,The boy that the son liked established himself .,the boy that the son liked established ***mask*** .,0.4798105695715419
97,17,simple,local,c-command,1,b,none,none,son,boy,established,himself,The son that the boy liked established himself . <eos>,The son that the boy liked established himself .,the son that the boy liked established ***mask*** .,1.853962160823072
98,17,simple,local,no-c-command,0,a,matrix_subj,number,boys,son,established,himself,The boys that the son liked established himself . <eos>,The boys that the son liked established himself .,the boys that the son liked established ***mask*** .,4.50694960643616
99,17,simple,local,no-c-command,0,b,matrix_subj,number,sons,boy,established,himself,The sons that the boy liked established himself . <eos>,The sons that the boy liked established himself .,the sons that the boy liked established ***mask*** .,3.975826155934532
100,17,simple,local,c-command,1,a,rc_subj,number,boy,sons,established,himself,The boy that the sons liked established himself . <eos>,The boy that the sons liked established himself .,the boy that the sons liked established ***mask*** .,1.7638227036121275
101,17,simple,local,c-command,1,b,rc_subj,number,son,boys,established,himself,The son that the boys liked established himself . <eos>,The son that the boys liked established himself .,the son that the boys liked established ***mask*** .,6.212434260864041
102,18,simple,local,c-command,1,a,none,none,boy,son,devoted,himself,The boy that the son liked devoted himself . <eos>,The boy that the son liked devoted himself .,the boy that the son liked devoted ***mask*** .,16.62403005725078
103,18,simple,local,c-command,1,b,none,none,son,boy,devoted,himself,The son that the boy liked devoted himself . <eos>,The son that the boy liked devoted himself .,the son that the boy liked devoted ***mask*** .,17.185905366617515
104,18,simple,local,no-c-command,0,a,matrix_subj,number,boys,son,devoted,himself,The boys that the son liked devoted himself . <eos>,The boys that the son liked devoted himself .,the boys that the son liked devoted ***mask*** .,16.329777933339276
105,18,simple,local,no-c-command,0,b,matrix_subj,number,sons,boy,devoted,himself,The sons that the boy liked devoted himself . <eos>,The sons that the boy liked devoted himself .,the sons that the boy liked devoted ***mask*** .,16.765643744485356
106,18,simple,local,c-command,1,a,rc_subj,number,boy,sons,devoted,himself,The boy that the sons liked devoted himself . <eos>,The boy that the sons liked devoted himself .,the boy that the sons liked devoted ***mask*** .,17.41542703523924
107,18,simple,local,c-command,1,b,rc_subj,number,son,boys,devoted,himself,The son that the boys liked devoted himself . <eos>,The son that the boys liked devoted himself .,the son that the boys liked devoted ***mask*** .,17.68712479801724
108,19,simple,local,c-command,1,a,none,none,boy,son,considered,himself,The boy that the son liked considered himself . <eos>,The boy that the son liked considered himself .,the boy that the son liked considered ***mask*** .,4.934946321552432
109,19,simple,local,c-command,1,b,none,none,son,boy,considered,himself,The son that the boy liked considered himself . <eos>,The son that the boy liked considered himself .,the son that the boy liked considered ***mask*** .,5.32835938207164
110,19,simple,local,no-c-command,0,a,matrix_subj,number,boys,son,considered,himself,The boys that the son liked considered himself . <eos>,The boys that the son liked considered himself .,the boys that the son liked considered ***mask*** .,8.57164928462522
111,19,simple,local,no-c-command,0,b,matrix_subj,number,sons,boy,considered,himself,The sons that the boy liked considered himself . <eos>,The sons that the boy liked considered himself .,the sons that the boy liked considered ***mask*** .,8.208403162384723
112,19,simple,local,c-command,1,a,rc_subj,number,boy,sons,considered,himself,The boy that the sons liked considered himself . <eos>,The boy that the sons liked considered himself .,the boy that the sons liked considered ***mask*** .,4.413213458312716
113,19,simple,local,c-command,1,b,rc_subj,number,son,boys,considered,himself,The son that the boys liked considered himself . <eos>,The son that the boys liked considered himself .,the son that the boys liked considered ***mask*** .,4.931070052178326
114,20,simple,local,c-command,1,a,none,none,boy,son,identified,himself,The boy that the son liked identified himself . <eos>,The boy that the son liked identified himself .,the boy that the son liked identified ***mask*** .,2.7323817497682596
115,20,simple,local,c-command,1,b,none,none,son,boy,identified,himself,The son that the boy liked identified himself . <eos>,The son that the boy liked identified himself .,the son that the boy liked identified ***mask*** .,3.856957368279719
116,20,simple,local,no-c-command,0,a,matrix_subj,number,boys,son,identified,himself,The boys that the son liked identified himself . <eos>,The boys that the son liked identified himself .,the boys that the son liked identified ***mask*** .,4.267523663883832
117,20,simple,local,no-c-command,0,b,matrix_subj,number,sons,boy,identified,himself,The sons that the boy liked identified himself . <eos>,The sons that the boy liked identified himself .,the sons that the boy liked identified ***mask*** .,3.9184525232423617
118,20,simple,local,c-command,1,a,rc_subj,number,boy,sons,identified,himself,The boy that the sons liked identified himself . <eos>,The boy that the sons liked identified himself .,the boy that the sons liked identified ***mask*** .,3.845905823820054
119,20,simple,local,c-command,1,b,rc_subj,number,son,boys,identified,himself,The son that the boys liked identified himself . <eos>,The son that the boys liked identified himself .,the son that the boys liked identified ***mask*** .,5.496440392509339
120,21,simple,local,c-command,1,a,none,none,boy,son,made,himself,The boy that the son liked made himself . <eos>,The boy that the son liked made himself .,the boy that the son liked made ***mask*** .,11.796981102278838
121,21,simple,local,c-command,1,b,none,none,son,boy,made,himself,The son that the boy liked made himself . <eos>,The son that the boy liked made himself .,the son that the boy liked made ***mask*** .,11.877647186206126
122,21,simple,local,no-c-command,0,a,matrix_subj,number,boys,son,made,himself,The boys that the son liked made himself . <eos>,The boys that the son liked made himself .,the boys that the son liked made ***mask*** .,12.961781436516699
123,21,simple,local,no-c-command,0,b,matrix_subj,number,sons,boy,made,himself,The sons that the boy liked made himself . <eos>,The sons that the boy liked made himself .,the sons that the boy liked made ***mask*** .,11.97498652599029
124,21,simple,local,c-command,1,a,rc_subj,number,boy,sons,made,himself,The boy that the sons liked made himself . <eos>,The boy that the sons liked made himself .,the boy that the sons liked made ***mask*** .,10.989249617950685
125,21,simple,local,c-command,1,b,rc_subj,number,son,boys,made,himself,The son that the boys liked made himself . <eos>,The son that the boys liked made himself .,the son that the boys liked made ***mask*** .,12.724124158806905
126,22,simple,local,c-command,1,a,none,none,boy,son,found,himself,The boy that the son liked found himself . <eos>,The boy that the son liked found himself .,the boy that the son liked found ***mask*** .,5.55902821065062
127,22,simple,local,c-command,1,b,none,none,son,boy,found,himself,The son that the boy liked found himself . <eos>,The son that the boy liked found himself .,the son that the boy liked found ***mask*** .,4.9357803988685385
128,22,simple,local,no-c-command,0,a,matrix_subj,number,boys,son,found,himself,The boys that the son liked found himself . <eos>,The boys that the son liked found himself .,the boys that the son liked found ***mask*** .,9.180064670819238
129,22,simple,local,no-c-command,0,b,matrix_subj,number,sons,boy,found,himself,The sons that the boy liked found himself . <eos>,The sons that the boy liked found himself .,the sons that the boy liked found ***mask*** .,7.995238272024389
130,22,simple,local,c-command,1,a,rc_subj,number,boy,sons,found,himself,The boy that the sons liked found himself . <eos>,The boy that the sons liked found himself .,the boy that the sons liked found ***mask*** .,5.163154285275955
131,22,simple,local,c-command,1,b,rc_subj,number,son,boys,found,himself,The son that the boys liked found himself . <eos>,The son that the boys liked found himself .,the son that the boys liked found ***mask*** .,5.066612167582771
132,23,simple,local,c-command,1,a,none,none,boy,son,distinguished,himself,The boy that the son liked distinguished himself . <eos>,The boy that the son liked distinguished himself .,the boy that the son liked distinguished ***mask*** .,1.8973155753513302
133,23,simple,local,c-command,1,b,none,none,son,boy,distinguished,himself,The son that the boy liked distinguished himself . <eos>,The son that the boy liked distinguished himself .,the son that the boy liked distinguished ***mask*** .,4.547071954886077
134,23,simple,local,no-c-command,0,a,matrix_subj,number,boys,son,distinguished,himself,The boys that the son liked distinguished himself . <eos>,The boys that the son liked distinguished himself .,the boys that the son liked distinguished ***mask*** .,5.389041527061235
135,23,simple,local,no-c-command,0,b,matrix_subj,number,sons,boy,distinguished,himself,The sons that the boy liked distinguished himself . <eos>,The sons that the boy liked distinguished himself .,the sons that the boy liked distinguished ***mask*** .,4.1219472157505255
136,23,simple,local,c-command,1,a,rc_subj,number,boy,sons,distinguished,himself,The boy that the sons liked distinguished himself . <eos>,The boy that the sons liked distinguished himself .,the boy that the sons liked distinguished ***mask*** .,3.0534893587020364
137,23,simple,local,c-command,1,b,rc_subj,number,son,boys,distinguished,himself,The son that the boys liked distinguished himself . <eos>,The son that the boys liked distinguished himself .,the son that the boys liked distinguished ***mask*** .,8.119448936177134
138,24,simple,local,c-command,1,a,none,none,boy,son,taught,himself,The boy that the son liked taught himself . <eos>,The boy that the son liked taught himself .,the boy that the son liked taught ***mask*** .,9.043224437133212
139,24,simple,local,c-command,1,b,none,none,son,boy,taught,himself,The son that the boy liked taught himself . <eos>,The son that the boy liked taught himself .,the son that the boy liked taught ***mask*** .,8.886189171666624
140,24,simple,local,no-c-command,0,a,matrix_subj,number,boys,son,taught,himself,The boys that the son liked taught himself . <eos>,The boys that the son liked taught himself .,the boys that the son liked taught ***mask*** .,9.663815732036939
141,24,simple,local,no-c-command,0,b,matrix_subj,number,sons,boy,taught,himself,The sons that the boy liked taught himself . <eos>,The sons that the boy liked taught himself .,the sons that the boy liked taught ***mask*** .,9.921708115478701
142,24,simple,local,c-command,1,a,rc_subj,number,boy,sons,taught,himself,The boy that the sons liked taught himself . <eos>,The boy that the sons liked taught himself .,the boy that the sons liked taught ***mask*** .,9.340386310870967
