,item,RC_verb,clause_type,locality,grammatical,counterbalance,mismatch_position,mismatch_feature,nonlocal_subj,local_sub,verb,pronoun,sentence,sentence_no_eos,bert_sentence,surprisal
30,3,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,author,congratulated,herself,The bankers that the author liked congratulated herself . <eos>,The bankers that the author liked congratulated herself .,the bankers that the author liked congratulated ***mask*** .,9.293345691656809
31,3,liked,embed,nonlocal,0,d,matrix_subj,number,authors,banker,congratulated,herself,The authors that the banker liked congratulated herself . <eos>,The authors that the banker liked congratulated herself .,the authors that the banker liked congratulated ***mask*** .,9.906665133222715
32,3,liked,embed,local,1,a,rc_subj,number,mechanic,authors,congratulated,herself,The mechanic that the authors liked congratulated herself . <eos>,The mechanic that the authors liked congratulated herself .,the mechanic that the authors liked congratulated ***mask*** .,9.36982587750792
33,3,liked,embed,local,1,b,rc_subj,number,author,mechanics,congratulated,herself,The author that the mechanics liked congratulated herself . <eos>,The author that the mechanics liked congratulated herself .,the author that the mechanics liked congratulated ***mask*** .,9.4724102448417
34,3,liked,embed,local,1,c,rc_subj,number,banker,authors,congratulated,herself,The banker that the authors liked congratulated herself . <eos>,The banker that the authors liked congratulated herself .,the banker that the authors liked congratulated ***mask*** .,8.622198892945232
35,3,liked,embed,local,1,d,rc_subj,number,author,bankers,congratulated,herself,The author that the bankers liked congratulated herself . <eos>,The author that the bankers liked congratulated herself .,the author that the bankers liked congratulated ***mask*** .,9.728646403964369
36,4,liked,embed,local,1,a,none,none,mechanic,author,embarrassed,herself,The mechanic that the author liked embarrassed herself . <eos>,The mechanic that the author liked embarrassed herself .,the mechanic that the author liked embarrassed ***mask*** .,11.2311826655091
37,4,liked,embed,local,1,b,none,none,author,mechanic,embarrassed,herself,The author that the mechanic liked embarrassed herself . <eos>,The author that the mechanic liked embarrassed herself .,the author that the mechanic liked embarrassed ***mask*** .,9.839869447318964
38,4,liked,embed,local,1,c,none,none,banker,author,embarrassed,herself,The banker that the author liked embarrassed herself . <eos>,The banker that the author liked embarrassed herself .,the banker that the author liked embarrassed ***mask*** .,10.84578496280676
39,4,liked,embed,local,1,d,none,none,author,banker,embarrassed,herself,The author that the banker liked embarrassed herself . <eos>,The author that the banker liked embarrassed herself .,the author that the banker liked embarrassed ***mask*** .,10.033748482498156
40,4,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,author,embarrassed,herself,The mechanics that the author liked embarrassed herself . <eos>,The mechanics that the author liked embarrassed herself .,the mechanics that the author liked embarrassed ***mask*** .,11.5342870101724
41,4,liked,embed,nonlocal,0,b,matrix_subj,number,authors,mechanic,embarrassed,herself,The authors that the mechanic liked embarrassed herself . <eos>,The authors that the mechanic liked embarrassed herself .,the authors that the mechanic liked embarrassed ***mask*** .,11.012329516839209
42,4,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,author,embarrassed,herself,The bankers that the author liked embarrassed herself . <eos>,The bankers that the author liked embarrassed herself .,the bankers that the author liked embarrassed ***mask*** .,11.024964868881593
43,4,liked,embed,nonlocal,0,d,matrix_subj,number,authors,banker,embarrassed,herself,The authors that the banker liked embarrassed herself . <eos>,The authors that the banker liked embarrassed herself .,the authors that the banker liked embarrassed ***mask*** .,11.429981267200692
44,4,liked,embed,local,1,a,rc_subj,number,mechanic,authors,embarrassed,herself,The mechanic that the authors liked embarrassed herself . <eos>,The mechanic that the authors liked embarrassed herself .,the mechanic that the authors liked embarrassed ***mask*** .,11.642893709026037
45,4,liked,embed,local,1,b,rc_subj,number,author,mechanics,embarrassed,herself,The author that the mechanics liked embarrassed herself . <eos>,The author that the mechanics liked embarrassed herself .,the author that the mechanics liked embarrassed ***mask*** .,11.110447948248462
46,4,liked,embed,local,1,c,rc_subj,number,banker,authors,embarrassed,herself,The banker that the authors liked embarrassed herself . <eos>,The banker that the authors liked embarrassed herself .,the banker that the authors liked embarrassed ***mask*** .,11.537004802814256
47,4,liked,embed,local,1,d,rc_subj,number,author,bankers,embarrassed,herself,The author that the bankers liked embarrassed herself . <eos>,The author that the bankers liked embarrassed herself .,the author that the bankers liked embarrassed ***mask*** .,11.429871794146893
48,5,liked,embed,local,1,a,none,none,mechanic,author,disguised,herself,The mechanic that the author liked disguised herself . <eos>,The mechanic that the author liked disguised herself .,the mechanic that the author liked disguised ***mask*** .,10.40058573123362
49,5,liked,embed,local,1,b,none,none,author,mechanic,disguised,herself,The author that the mechanic liked disguised herself . <eos>,The author that the mechanic liked disguised herself .,the author that the mechanic liked disguised ***mask*** .,10.484825580737784
50,5,liked,embed,local,1,c,none,none,banker,author,disguised,herself,The banker that the author liked disguised herself . <eos>,The banker that the author liked disguised herself .,the banker that the author liked disguised ***mask*** .,10.862683449141635
51,5,liked,embed,local,1,d,none,none,author,banker,disguised,herself,The author that the banker liked disguised herself . <eos>,The author that the banker liked disguised herself .,the author that the banker liked disguised ***mask*** .,8.732991480284129
52,5,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,author,disguised,herself,The mechanics that the author liked disguised herself . <eos>,The mechanics that the author liked disguised herself .,the mechanics that the author liked disguised ***mask*** .,10.259195636487176
53,5,liked,embed,nonlocal,0,b,matrix_subj,number,authors,mechanic,disguised,herself,The authors that the mechanic liked disguised herself . <eos>,The authors that the mechanic liked disguised herself .,the authors that the mechanic liked disguised ***mask*** .,9.039894987009461
54,5,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,author,disguised,herself,The bankers that the author liked disguised herself . <eos>,The bankers that the author liked disguised herself .,the bankers that the author liked disguised ***mask*** .,8.426022354771808
55,5,liked,embed,nonlocal,0,d,matrix_subj,number,authors,banker,disguised,herself,The authors that the banker liked disguised herself . <eos>,The authors that the banker liked disguised herself .,the authors that the banker liked disguised ***mask*** .,9.343235831626123
56,5,liked,embed,local,1,a,rc_subj,number,mechanic,authors,disguised,herself,The mechanic that the authors liked disguised herself . <eos>,The mechanic that the authors liked disguised herself .,the mechanic that the authors liked disguised ***mask*** .,12.072596456356091
57,5,liked,embed,local,1,b,rc_subj,number,author,mechanics,disguised,herself,The author that the mechanics liked disguised herself . <eos>,The author that the mechanics liked disguised herself .,the author that the mechanics liked disguised ***mask*** .,13.747931156039293
58,5,liked,embed,local,1,c,rc_subj,number,banker,authors,disguised,herself,The banker that the authors liked disguised herself . <eos>,The banker that the authors liked disguised herself .,the banker that the authors liked disguised ***mask*** .,12.358850410108138
59,5,liked,embed,local,1,d,rc_subj,number,author,bankers,disguised,herself,The author that the bankers liked disguised herself . <eos>,The author that the bankers liked disguised herself .,the author that the bankers liked disguised ***mask*** .,12.323196572969223
60,6,liked,embed,local,1,a,none,none,mechanic,author,hated,herself,The mechanic that the author liked hated herself . <eos>,The mechanic that the author liked hated herself .,the mechanic that the author liked hated ***mask*** .,10.831841462364649
61,6,liked,embed,local,1,b,none,none,author,mechanic,hated,herself,The author that the mechanic liked hated herself . <eos>,The author that the mechanic liked hated herself .,the author that the mechanic liked hated ***mask*** .,10.856147702122337
62,6,liked,embed,local,1,c,none,none,banker,author,hated,herself,The banker that the author liked hated herself . <eos>,The banker that the author liked hated herself .,the banker that the author liked hated ***mask*** .,11.025299915788025
63,6,liked,embed,local,1,d,none,none,author,banker,hated,herself,The author that the banker liked hated herself . <eos>,The author that the banker liked hated herself .,the author that the banker liked hated ***mask*** .,10.943718352611834
64,6,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,author,hated,herself,The mechanics that the author liked hated herself . <eos>,The mechanics that the author liked hated herself .,the mechanics that the author liked hated ***mask*** .,12.410377310254109
65,6,liked,embed,nonlocal,0,b,matrix_subj,number,authors,mechanic,hated,herself,The authors that the mechanic liked hated herself . <eos>,The authors that the mechanic liked hated herself .,the authors that the mechanic liked hated ***mask*** .,11.610238175717631
66,6,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,author,hated,herself,The bankers that the author liked hated herself . <eos>,The bankers that the author liked hated herself .,the bankers that the author liked hated ***mask*** .,11.639473699778714
67,6,liked,embed,nonlocal,0,d,matrix_subj,number,authors,banker,hated,herself,The authors that the banker liked hated herself . <eos>,The authors that the banker liked hated herself .,the authors that the banker liked hated ***mask*** .,12.591714708637307
68,6,liked,embed,local,1,a,rc_subj,number,mechanic,authors,hated,herself,The mechanic that the authors liked hated herself . <eos>,The mechanic that the authors liked hated herself .,the mechanic that the authors liked hated ***mask*** .,11.513262302566964
69,6,liked,embed,local,1,b,rc_subj,number,author,mechanics,hated,herself,The author that the mechanics liked hated herself . <eos>,The author that the mechanics liked hated herself .,the author that the mechanics liked hated ***mask*** .,11.151449071734906
70,6,liked,embed,local,1,c,rc_subj,number,banker,authors,hated,herself,The banker that the authors liked hated herself . <eos>,The banker that the authors liked hated herself .,the banker that the authors liked hated ***mask*** .,11.356830253076168
71,6,liked,embed,local,1,d,rc_subj,number,author,bankers,hated,herself,The author that the bankers liked hated herself . <eos>,The author that the bankers liked hated herself .,the author that the bankers liked hated ***mask*** .,11.932429254632567
72,7,liked,embed,local,1,a,none,none,mechanic,author,doubted,herself,The mechanic that the author liked doubted herself . <eos>,The mechanic that the author liked doubted herself .,the mechanic that the author liked doubted ***mask*** .,11.38882725065778
73,7,liked,embed,local,1,b,none,none,author,mechanic,doubted,herself,The author that the mechanic liked doubted herself . <eos>,The author that the mechanic liked doubted herself .,the author that the mechanic liked doubted ***mask*** .,11.233387891318634
74,7,liked,embed,local,1,c,none,none,banker,author,doubted,herself,The banker that the author liked doubted herself . <eos>,The banker that the author liked doubted herself .,the banker that the author liked doubted ***mask*** .,10.877235974901984
75,7,liked,embed,local,1,d,none,none,author,banker,doubted,herself,The author that the banker liked doubted herself . <eos>,The author that the banker liked doubted herself .,the author that the banker liked doubted ***mask*** .,10.745732709682553
76,7,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,author,doubted,herself,The mechanics that the author liked doubted herself . <eos>,The mechanics that the author liked doubted herself .,the mechanics that the author liked doubted ***mask*** .,12.248672417468466
77,7,liked,embed,nonlocal,0,b,matrix_subj,number,authors,mechanic,doubted,herself,The authors that the mechanic liked doubted herself . <eos>,The authors that the mechanic liked doubted herself .,the authors that the mechanic liked doubted ***mask*** .,11.50270851188243
78,7,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,author,doubted,herself,The bankers that the author liked doubted herself . <eos>,The bankers that the author liked doubted herself .,the bankers that the author liked doubted ***mask*** .,11.382702489410816
79,7,liked,embed,nonlocal,0,d,matrix_subj,number,authors,banker,doubted,herself,The authors that the banker liked doubted herself . <eos>,The authors that the banker liked doubted herself .,the authors that the banker liked doubted ***mask*** .,11.635822721065615
80,7,liked,embed,local,1,a,rc_subj,number,mechanic,authors,doubted,herself,The mechanic that the authors liked doubted herself . <eos>,The mechanic that the authors liked doubted herself .,the mechanic that the authors liked doubted ***mask*** .,11.551489422905966
81,7,liked,embed,local,1,b,rc_subj,number,author,mechanics,doubted,herself,The author that the mechanics liked doubted herself . <eos>,The author that the mechanics liked doubted herself .,the author that the mechanics liked doubted ***mask*** .,11.406941530225867
82,7,liked,embed,local,1,c,rc_subj,number,banker,authors,doubted,herself,The banker that the authors liked doubted herself . <eos>,The banker that the authors liked doubted herself .,the banker that the authors liked doubted ***mask*** .,11.089848266068513
83,7,liked,embed,local,1,d,rc_subj,number,author,bankers,doubted,herself,The author that the bankers liked doubted herself . <eos>,The author that the bankers liked doubted herself .,the author that the bankers liked doubted ***mask*** .,11.083960654121425
84,8,liked,embed,local,1,a,none,none,mechanic,pilot,hurt,herself,The mechanic that the pilot liked hurt herself . <eos>,The mechanic that the pilot liked hurt herself .,the mechanic that the pilot liked hurt ***mask*** .,11.02484999606936
85,8,liked,embed,local,1,b,none,none,pilot,mechanic,hurt,herself,The pilot that the mechanic liked hurt herself . <eos>,The pilot that the mechanic liked hurt herself .,the pilot that the mechanic liked hurt ***mask*** .,12.048543454370822
86,8,liked,embed,local,1,c,none,none,banker,pilot,hurt,herself,The banker that the pilot liked hurt herself . <eos>,The banker that the pilot liked hurt herself .,the banker that the pilot liked hurt ***mask*** .,12.699623278834785
87,8,liked,embed,local,1,d,none,none,pilot,banker,hurt,herself,The pilot that the banker liked hurt herself . <eos>,The pilot that the banker liked hurt herself .,the pilot that the banker liked hurt ***mask*** .,11.69493550025516
88,8,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,pilot,hurt,herself,The mechanics that the pilot liked hurt herself . <eos>,The mechanics that the pilot liked hurt herself .,the mechanics that the pilot liked hurt ***mask*** .,12.697313668060493
89,8,liked,embed,nonlocal,0,b,matrix_subj,number,pilots,mechanic,hurt,herself,The pilots that the mechanic liked hurt herself . <eos>,The pilots that the mechanic liked hurt herself .,the pilots that the mechanic liked hurt ***mask*** .,12.14808143385437
90,8,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,pilot,hurt,herself,The bankers that the pilot liked hurt herself . <eos>,The bankers that the pilot liked hurt herself .,the bankers that the pilot liked hurt ***mask*** .,13.903591905069716
91,8,liked,embed,nonlocal,0,d,matrix_subj,number,pilots,banker,hurt,herself,The pilots that the banker liked hurt herself . <eos>,The pilots that the banker liked hurt herself .,the pilots that the banker liked hurt ***mask*** .,12.181306270847303
92,8,liked,embed,local,1,a,rc_subj,number,mechanic,pilots,hurt,herself,The mechanic that the pilots liked hurt herself . <eos>,The mechanic that the pilots liked hurt herself .,the mechanic that the pilots liked hurt ***mask*** .,11.000617205757235
93,8,liked,embed,local,1,b,rc_subj,number,pilot,mechanics,hurt,herself,The pilot that the mechanics liked hurt herself . <eos>,The pilot that the mechanics liked hurt herself .,the pilot that the mechanics liked hurt ***mask*** .,11.92945399623178
94,8,liked,embed,local,1,c,rc_subj,number,banker,pilots,hurt,herself,The banker that the pilots liked hurt herself . <eos>,The banker that the pilots liked hurt herself .,the banker that the pilots liked hurt ***mask*** .,12.716944721026755
95,8,liked,embed,local,1,d,rc_subj,number,pilot,bankers,hurt,herself,The pilot that the bankers liked hurt herself . <eos>,The pilot that the bankers liked hurt herself .,the pilot that the bankers liked hurt ***mask*** .,11.30470734154324
96,9,liked,embed,local,1,a,none,none,mechanic,pilot,injured,herself,The mechanic that the pilot liked injured herself . <eos>,The mechanic that the pilot liked injured herself .,the mechanic that the pilot liked injured ***mask*** .,7.6619698631103255
97,9,liked,embed,local,1,b,none,none,pilot,mechanic,injured,herself,The pilot that the mechanic liked injured herself . <eos>,The pilot that the mechanic liked injured herself .,the pilot that the mechanic liked injured ***mask*** .,6.764189532082831
98,9,liked,embed,local,1,c,none,none,banker,pilot,injured,herself,The banker that the pilot liked injured herself . <eos>,The banker that the pilot liked injured herself .,the banker that the pilot liked injured ***mask*** .,16.47469809078742
99,9,liked,embed,local,1,d,none,none,pilot,banker,injured,herself,The pilot that the banker liked injured herself . <eos>,The pilot that the banker liked injured herself .,the pilot that the banker liked injured ***mask*** .,7.659788309861284
100,9,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,pilot,injured,herself,The mechanics that the pilot liked injured herself . <eos>,The mechanics that the pilot liked injured herself .,the mechanics that the pilot liked injured ***mask*** .,9.432949354925185
101,9,liked,embed,nonlocal,0,b,matrix_subj,number,pilots,mechanic,injured,herself,The pilots that the mechanic liked injured herself . <eos>,The pilots that the mechanic liked injured herself .,the pilots that the mechanic liked injured ***mask*** .,8.420298973397893
102,9,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,pilot,injured,herself,The bankers that the pilot liked injured herself . <eos>,The bankers that the pilot liked injured herself .,the bankers that the pilot liked injured ***mask*** .,15.903654804850955
103,9,liked,embed,nonlocal,0,d,matrix_subj,number,pilots,banker,injured,herself,The pilots that the banker liked injured herself . <eos>,The pilots that the banker liked injured herself .,the pilots that the banker liked injured ***mask*** .,10.606383824865446
104,9,liked,embed,local,1,a,rc_subj,number,mechanic,pilots,injured,herself,The mechanic that the pilots liked injured herself . <eos>,The mechanic that the pilots liked injured herself .,the mechanic that the pilots liked injured ***mask*** .,8.935532361782755
105,9,liked,embed,local,1,b,rc_subj,number,pilot,mechanics,injured,herself,The pilot that the mechanics liked injured herself . <eos>,The pilot that the mechanics liked injured herself .,the pilot that the mechanics liked injured ***mask*** .,7.1706763742936435
106,9,liked,embed,local,1,c,rc_subj,number,banker,pilots,injured,herself,The banker that the pilots liked injured herself . <eos>,The banker that the pilots liked injured herself .,the banker that the pilots liked injured ***mask*** .,16.73424504493879
107,9,liked,embed,local,1,d,rc_subj,number,pilot,bankers,injured,herself,The pilot that the bankers liked injured herself . <eos>,The pilot that the bankers liked injured herself .,the pilot that the bankers liked injured ***mask*** .,8.35543756094218
108,10,liked,embed,local,1,a,none,none,mechanic,pilot,congratulated,herself,The mechanic that the pilot liked congratulated herself . <eos>,The mechanic that the pilot liked congratulated herself .,the mechanic that the pilot liked congratulated ***mask*** .,9.78028714749625
109,10,liked,embed,local,1,b,none,none,pilot,mechanic,congratulated,herself,The pilot that the mechanic liked congratulated herself . <eos>,The pilot that the mechanic liked congratulated herself .,the pilot that the mechanic liked congratulated ***mask*** .,9.795409901638205
110,10,liked,embed,local,1,c,none,none,banker,pilot,congratulated,herself,The banker that the pilot liked congratulated herself . <eos>,The banker that the pilot liked congratulated herself .,the banker that the pilot liked congratulated ***mask*** .,9.798178196467795
111,10,liked,embed,local,1,d,none,none,pilot,banker,congratulated,herself,The pilot that the banker liked congratulated herself . <eos>,The pilot that the banker liked congratulated herself .,the pilot that the banker liked congratulated ***mask*** .,10.25380287616544
112,10,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,pilot,congratulated,herself,The mechanics that the pilot liked congratulated herself . <eos>,The mechanics that the pilot liked congratulated herself .,the mechanics that the pilot liked congratulated ***mask*** .,10.241768752553995
113,10,liked,embed,nonlocal,0,b,matrix_subj,number,pilots,mechanic,congratulated,herself,The pilots that the mechanic liked congratulated herself . <eos>,The pilots that the mechanic liked congratulated herself .,the pilots that the mechanic liked congratulated ***mask*** .,10.698255988128189
114,10,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,pilot,congratulated,herself,The bankers that the pilot liked congratulated herself . <eos>,The bankers that the pilot liked congratulated herself .,the bankers that the pilot liked congratulated ***mask*** .,9.9029813888324
115,10,liked,embed,nonlocal,0,d,matrix_subj,number,pilots,banker,congratulated,herself,The pilots that the banker liked congratulated herself . <eos>,The pilots that the banker liked congratulated herself .,the pilots that the banker liked congratulated ***mask*** .,10.652550967548827
116,10,liked,embed,local,1,a,rc_subj,number,mechanic,pilots,congratulated,herself,The mechanic that the pilots liked congratulated herself . <eos>,The mechanic that the pilots liked congratulated herself .,the mechanic that the pilots liked congratulated ***mask*** .,10.073053467128728
117,10,liked,embed,local,1,b,rc_subj,number,pilot,mechanics,congratulated,herself,The pilot that the mechanics liked congratulated herself . <eos>,The pilot that the mechanics liked congratulated herself .,the pilot that the mechanics liked congratulated ***mask*** .,9.525405798938058
118,10,liked,embed,local,1,c,rc_subj,number,banker,pilots,congratulated,herself,The banker that the pilots liked congratulated herself . <eos>,The banker that the pilots liked congratulated herself .,the banker that the pilots liked congratulated ***mask*** .,9.913676497863486
119,10,liked,embed,local,1,d,rc_subj,number,pilot,bankers,congratulated,herself,The pilot that the bankers liked congratulated herself . <eos>,The pilot that the bankers liked congratulated herself .,the pilot that the bankers liked congratulated ***mask*** .,9.689689410775596
120,11,liked,embed,local,1,a,none,none,mechanic,pilot,embarrassed,herself,The mechanic that the pilot liked embarrassed herself . <eos>,The mechanic that the pilot liked embarrassed herself .,the mechanic that the pilot liked embarrassed ***mask*** .,10.89976003451801
121,11,liked,embed,local,1,b,none,none,pilot,mechanic,embarrassed,herself,The pilot that the mechanic liked embarrassed herself . <eos>,The pilot that the mechanic liked embarrassed herself .,the pilot that the mechanic liked embarrassed ***mask*** .,10.31859363902929
122,11,liked,embed,local,1,c,none,none,banker,pilot,embarrassed,herself,The banker that the pilot liked embarrassed herself . <eos>,The banker that the pilot liked embarrassed herself .,the banker that the pilot liked embarrassed ***mask*** .,12.18870008422591
123,11,liked,embed,local,1,d,none,none,pilot,banker,embarrassed,herself,The pilot that the banker liked embarrassed herself . <eos>,The pilot that the banker liked embarrassed herself .,the pilot that the banker liked embarrassed ***mask*** .,11.512585097104992
124,11,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,pilot,embarrassed,herself,The mechanics that the pilot liked embarrassed herself . <eos>,The mechanics that the pilot liked embarrassed herself .,the mechanics that the pilot liked embarrassed ***mask*** .,11.354316283571944
125,11,liked,embed,nonlocal,0,b,matrix_subj,number,pilots,mechanic,embarrassed,herself,The pilots that the mechanic liked embarrassed herself . <eos>,The pilots that the mechanic liked embarrassed herself .,the pilots that the mechanic liked embarrassed ***mask*** .,10.837913746093035
126,11,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,pilot,embarrassed,herself,The bankers that the pilot liked embarrassed herself . <eos>,The bankers that the pilot liked embarrassed herself .,the bankers that the pilot liked embarrassed ***mask*** .,12.270953647788376
127,11,liked,embed,nonlocal,0,d,matrix_subj,number,pilots,banker,embarrassed,herself,The pilots that the banker liked embarrassed herself . <eos>,The pilots that the banker liked embarrassed herself .,the pilots that the banker liked embarrassed ***mask*** .,11.799336477136688
128,11,liked,embed,local,1,a,rc_subj,number,mechanic,pilots,embarrassed,herself,The mechanic that the pilots liked embarrassed herself . <eos>,The mechanic that the pilots liked embarrassed herself .,the mechanic that the pilots liked embarrassed ***mask*** .,11.72549657716891
