item,RC_verb,clause_type,locality,grammatical,counterbalance,mismatch_position,mismatch_feature,nonlocal_subj,local_sub,verb,pronoun,sentence,sentence_no_eos
2,liked,embed,local,1,a,rc_subj,number,mechanics,author,injured,themselves,The mechanics that the author liked injured themselves . <eos>,The mechanics that the author liked injured themselves .
2,liked,embed,local,1,b,rc_subj,number,authors,mechanic,injured,themselves,The authors that the mechanic liked injured themselves . <eos>,The authors that the mechanic liked injured themselves .
2,liked,embed,local,1,c,rc_subj,number,bankers,author,injured,themselves,The bankers that the author liked injured themselves . <eos>,The bankers that the author liked injured themselves .
2,liked,embed,local,1,d,rc_subj,number,authors,banker,injured,themselves,The authors that the banker liked injured themselves . <eos>,The authors that the banker liked injured themselves .
2,liked,embed,nonlocal,0,a,matrix_subj,number,mechanic,authors,injured,themselves,The mechanic that the authors liked injured themselves . <eos>,The mechanic that the authors liked injured themselves .
2,liked,embed,nonlocal,0,b,matrix_subj,number,author,mechanics,injured,themselves,The author that the mechanics liked injured themselves . <eos>,The author that the mechanics liked injured themselves .
2,liked,embed,nonlocal,0,c,matrix_subj,number,banker,authors,injured,themselves,The banker that the authors liked injured themselves . <eos>,The banker that the authors liked injured themselves .
2,liked,embed,nonlocal,0,d,matrix_subj,number,author,bankers,injured,themselves,The author that the bankers liked injured themselves . <eos>,The author that the bankers liked injured themselves .
3,liked,embed,local,1,a,none,none,mechanics,authors,congratulated,themselves,The mechanics that the authors liked congratulated themselves . <eos>,The mechanics that the authors liked congratulated themselves .
3,liked,embed,local,1,b,none,none,authors,mechanics,congratulated,themselves,The authors that the mechanics liked congratulated themselves . <eos>,The authors that the mechanics liked congratulated themselves .
3,liked,embed,local,1,c,none,none,bankers,authors,congratulated,themselves,The bankers that the authors liked congratulated themselves . <eos>,The bankers that the authors liked congratulated themselves .
3,liked,embed,local,1,d,none,none,authors,bankers,congratulated,themselves,The authors that the bankers liked congratulated themselves . <eos>,The authors that the bankers liked congratulated themselves .
3,liked,embed,local,1,a,rc_subj,number,mechanics,author,congratulated,themselves,The mechanics that the author liked congratulated themselves . <eos>,The mechanics that the author liked congratulated themselves .
3,liked,embed,local,1,b,rc_subj,number,authors,mechanic,congratulated,themselves,The authors that the mechanic liked congratulated themselves . <eos>,The authors that the mechanic liked congratulated themselves .
3,liked,embed,local,1,c,rc_subj,number,bankers,author,congratulated,themselves,The bankers that the author liked congratulated themselves . <eos>,The bankers that the author liked congratulated themselves .
3,liked,embed,local,1,d,rc_subj,number,authors,banker,congratulated,themselves,The authors that the banker liked congratulated themselves . <eos>,The authors that the banker liked congratulated themselves .
3,liked,embed,nonlocal,0,a,matrix_subj,number,mechanic,authors,congratulated,themselves,The mechanic that the authors liked congratulated themselves . <eos>,The mechanic that the authors liked congratulated themselves .
3,liked,embed,nonlocal,0,b,matrix_subj,number,author,mechanics,congratulated,themselves,The author that the mechanics liked congratulated themselves . <eos>,The author that the mechanics liked congratulated themselves .
3,liked,embed,nonlocal,0,c,matrix_subj,number,banker,authors,congratulated,themselves,The banker that the authors liked congratulated themselves . <eos>,The banker that the authors liked congratulated themselves .
3,liked,embed,nonlocal,0,d,matrix_subj,number,author,bankers,congratulated,themselves,The author that the bankers liked congratulated themselves . <eos>,The author that the bankers liked congratulated themselves .
4,liked,embed,local,1,a,none,none,mechanics,authors,embarrassed,themselves,The mechanics that the authors liked embarrassed themselves . <eos>,The mechanics that the authors liked embarrassed themselves .
4,liked,embed,local,1,b,none,none,authors,mechanics,embarrassed,themselves,The authors that the mechanics liked embarrassed themselves . <eos>,The authors that the mechanics liked embarrassed themselves .
4,liked,embed,local,1,c,none,none,bankers,authors,embarrassed,themselves,The bankers that the authors liked embarrassed themselves . <eos>,The bankers that the authors liked embarrassed themselves .
4,liked,embed,local,1,d,none,none,authors,bankers,embarrassed,themselves,The authors that the bankers liked embarrassed themselves . <eos>,The authors that the bankers liked embarrassed themselves .
4,liked,embed,local,1,a,rc_subj,number,mechanics,author,embarrassed,themselves,The mechanics that the author liked embarrassed themselves . <eos>,The mechanics that the author liked embarrassed themselves .
4,liked,embed,local,1,b,rc_subj,number,authors,mechanic,embarrassed,themselves,The authors that the mechanic liked embarrassed themselves . <eos>,The authors that the mechanic liked embarrassed themselves .
4,liked,embed,local,1,c,rc_subj,number,bankers,author,embarrassed,themselves,The bankers that the author liked embarrassed themselves . <eos>,The bankers that the author liked embarrassed themselves .
4,liked,embed,local,1,d,rc_subj,number,authors,banker,embarrassed,themselves,The authors that the banker liked embarrassed themselves . <eos>,The authors that the banker liked embarrassed themselves .
4,liked,embed,nonlocal,0,a,matrix_subj,number,mechanic,authors,embarrassed,themselves,The mechanic that the authors liked embarrassed themselves . <eos>,The mechanic that the authors liked embarrassed themselves .
4,liked,embed,nonlocal,0,b,matrix_subj,number,author,mechanics,embarrassed,themselves,The author that the mechanics liked embarrassed themselves . <eos>,The author that the mechanics liked embarrassed themselves .
4,liked,embed,nonlocal,0,c,matrix_subj,number,banker,authors,embarrassed,themselves,The banker that the authors liked embarrassed themselves . <eos>,The banker that the authors liked embarrassed themselves .
4,liked,embed,nonlocal,0,d,matrix_subj,number,author,bankers,embarrassed,themselves,The author that the bankers liked embarrassed themselves . <eos>,The author that the bankers liked embarrassed themselves .
5,liked,embed,local,1,a,none,none,mechanics,authors,disguised,themselves,The mechanics that the authors liked disguised themselves . <eos>,The mechanics that the authors liked disguised themselves .
5,liked,embed,local,1,b,none,none,authors,mechanics,disguised,themselves,The authors that the mechanics liked disguised themselves . <eos>,The authors that the mechanics liked disguised themselves .
5,liked,embed,local,1,c,none,none,bankers,authors,disguised,themselves,The bankers that the authors liked disguised themselves . <eos>,The bankers that the authors liked disguised themselves .
5,liked,embed,local,1,d,none,none,authors,bankers,disguised,themselves,The authors that the bankers liked disguised themselves . <eos>,The authors that the bankers liked disguised themselves .
5,liked,embed,local,1,a,rc_subj,number,mechanics,author,disguised,themselves,The mechanics that the author liked disguised themselves . <eos>,The mechanics that the author liked disguised themselves .
5,liked,embed,local,1,b,rc_subj,number,authors,mechanic,disguised,themselves,The authors that the mechanic liked disguised themselves . <eos>,The authors that the mechanic liked disguised themselves .
5,liked,embed,local,1,c,rc_subj,number,bankers,author,disguised,themselves,The bankers that the author liked disguised themselves . <eos>,The bankers that the author liked disguised themselves .
5,liked,embed,local,1,d,rc_subj,number,authors,banker,disguised,themselves,The authors that the banker liked disguised themselves . <eos>,The authors that the banker liked disguised themselves .
5,liked,embed,nonlocal,0,a,matrix_subj,number,mechanic,authors,disguised,themselves,The mechanic that the authors liked disguised themselves . <eos>,The mechanic that the authors liked disguised themselves .
5,liked,embed,nonlocal,0,b,matrix_subj,number,author,mechanics,disguised,themselves,The author that the mechanics liked disguised themselves . <eos>,The author that the mechanics liked disguised themselves .
5,liked,embed,nonlocal,0,c,matrix_subj,number,banker,authors,disguised,themselves,The banker that the authors liked disguised themselves . <eos>,The banker that the authors liked disguised themselves .
5,liked,embed,nonlocal,0,d,matrix_subj,number,author,bankers,disguised,themselves,The author that the bankers liked disguised themselves . <eos>,The author that the bankers liked disguised themselves .
6,liked,embed,local,1,a,none,none,mechanics,authors,hated,themselves,The mechanics that the authors liked hated themselves . <eos>,The mechanics that the authors liked hated themselves .
6,liked,embed,local,1,b,none,none,authors,mechanics,hated,themselves,The authors that the mechanics liked hated themselves . <eos>,The authors that the mechanics liked hated themselves .
6,liked,embed,local,1,c,none,none,bankers,authors,hated,themselves,The bankers that the authors liked hated themselves . <eos>,The bankers that the authors liked hated themselves .
6,liked,embed,local,1,d,none,none,authors,bankers,hated,themselves,The authors that the bankers liked hated themselves . <eos>,The authors that the bankers liked hated themselves .
6,liked,embed,local,1,a,rc_subj,number,mechanics,author,hated,themselves,The mechanics that the author liked hated themselves . <eos>,The mechanics that the author liked hated themselves .
6,liked,embed,local,1,b,rc_subj,number,authors,mechanic,hated,themselves,The authors that the mechanic liked hated themselves . <eos>,The authors that the mechanic liked hated themselves .
6,liked,embed,local,1,c,rc_subj,number,bankers,author,hated,themselves,The bankers that the author liked hated themselves . <eos>,The bankers that the author liked hated themselves .
6,liked,embed,local,1,d,rc_subj,number,authors,banker,hated,themselves,The authors that the banker liked hated themselves . <eos>,The authors that the banker liked hated themselves .
6,liked,embed,nonlocal,0,a,matrix_subj,number,mechanic,authors,hated,themselves,The mechanic that the authors liked hated themselves . <eos>,The mechanic that the authors liked hated themselves .
6,liked,embed,nonlocal,0,b,matrix_subj,number,author,mechanics,hated,themselves,The author that the mechanics liked hated themselves . <eos>,The author that the mechanics liked hated themselves .
6,liked,embed,nonlocal,0,c,matrix_subj,number,banker,authors,hated,themselves,The banker that the authors liked hated themselves . <eos>,The banker that the authors liked hated themselves .
6,liked,embed,nonlocal,0,d,matrix_subj,number,author,bankers,hated,themselves,The author that the bankers liked hated themselves . <eos>,The author that the bankers liked hated themselves .
7,liked,embed,local,1,a,none,none,mechanics,authors,doubted,themselves,The mechanics that the authors liked doubted themselves . <eos>,The mechanics that the authors liked doubted themselves .
7,liked,embed,local,1,b,none,none,authors,mechanics,doubted,themselves,The authors that the mechanics liked doubted themselves . <eos>,The authors that the mechanics liked doubted themselves .
7,liked,embed,local,1,c,none,none,bankers,authors,doubted,themselves,The bankers that the authors liked doubted themselves . <eos>,The bankers that the authors liked doubted themselves .
7,liked,embed,local,1,d,none,none,authors,bankers,doubted,themselves,The authors that the bankers liked doubted themselves . <eos>,The authors that the bankers liked doubted themselves .
7,liked,embed,local,1,a,rc_subj,number,mechanics,author,doubted,themselves,The mechanics that the author liked doubted themselves . <eos>,The mechanics that the author liked doubted themselves .
7,liked,embed,local,1,b,rc_subj,number,authors,mechanic,doubted,themselves,The authors that the mechanic liked doubted themselves . <eos>,The authors that the mechanic liked doubted themselves .
7,liked,embed,local,1,c,rc_subj,number,bankers,author,doubted,themselves,The bankers that the author liked doubted themselves . <eos>,The bankers that the author liked doubted themselves .
7,liked,embed,local,1,d,rc_subj,number,authors,banker,doubted,themselves,The authors that the banker liked doubted themselves . <eos>,The authors that the banker liked doubted themselves .
7,liked,embed,nonlocal,0,a,matrix_subj,number,mechanic,authors,doubted,themselves,The mechanic that the authors liked doubted themselves . <eos>,The mechanic that the authors liked doubted themselves .
7,liked,embed,nonlocal,0,b,matrix_subj,number,author,mechanics,doubted,themselves,The author that the mechanics liked doubted themselves . <eos>,The author that the mechanics liked doubted themselves .
7,liked,embed,nonlocal,0,c,matrix_subj,number,banker,authors,doubted,themselves,The banker that the authors liked doubted themselves . <eos>,The banker that the authors liked doubted themselves .
7,liked,embed,nonlocal,0,d,matrix_subj,number,author,bankers,doubted,themselves,The author that the bankers liked doubted themselves . <eos>,The author that the bankers liked doubted themselves .
8,liked,embed,local,1,a,none,none,mechanics,pilots,hurt,themselves,The mechanics that the pilots liked hurt themselves . <eos>,The mechanics that the pilots liked hurt themselves .
8,liked,embed,local,1,b,none,none,pilots,mechanics,hurt,themselves,The pilots that the mechanics liked hurt themselves . <eos>,The pilots that the mechanics liked hurt themselves .
8,liked,embed,local,1,c,none,none,bankers,pilots,hurt,themselves,The bankers that the pilots liked hurt themselves . <eos>,The bankers that the pilots liked hurt themselves .
8,liked,embed,local,1,d,none,none,pilots,bankers,hurt,themselves,The pilots that the bankers liked hurt themselves . <eos>,The pilots that the bankers liked hurt themselves .
8,liked,embed,local,1,a,rc_subj,number,mechanics,pilot,hurt,themselves,The mechanics that the pilot liked hurt themselves . <eos>,The mechanics that the pilot liked hurt themselves .
8,liked,embed,local,1,b,rc_subj,number,pilots,mechanic,hurt,themselves,The pilots that the mechanic liked hurt themselves . <eos>,The pilots that the mechanic liked hurt themselves .
8,liked,embed,local,1,c,rc_subj,number,bankers,pilot,hurt,themselves,The bankers that the pilot liked hurt themselves . <eos>,The bankers that the pilot liked hurt themselves .
8,liked,embed,local,1,d,rc_subj,number,pilots,banker,hurt,themselves,The pilots that the banker liked hurt themselves . <eos>,The pilots that the banker liked hurt themselves .
8,liked,embed,nonlocal,0,a,matrix_subj,number,mechanic,pilots,hurt,themselves,The mechanic that the pilots liked hurt themselves . <eos>,The mechanic that the pilots liked hurt themselves .
8,liked,embed,nonlocal,0,b,matrix_subj,number,pilot,mechanics,hurt,themselves,The pilot that the mechanics liked hurt themselves . <eos>,The pilot that the mechanics liked hurt themselves .
8,liked,embed,nonlocal,0,c,matrix_subj,number,banker,pilots,hurt,themselves,The banker that the pilots liked hurt themselves . <eos>,The banker that the pilots liked hurt themselves .
8,liked,embed,nonlocal,0,d,matrix_subj,number,pilot,bankers,hurt,themselves,The pilot that the bankers liked hurt themselves . <eos>,The pilot that the bankers liked hurt themselves .
9,liked,embed,local,1,a,none,none,mechanics,pilots,injured,themselves,The mechanics that the pilots liked injured themselves . <eos>,The mechanics that the pilots liked injured themselves .
9,liked,embed,local,1,b,none,none,pilots,mechanics,injured,themselves,The pilots that the mechanics liked injured themselves . <eos>,The pilots that the mechanics liked injured themselves .
9,liked,embed,local,1,c,none,none,bankers,pilots,injured,themselves,The bankers that the pilots liked injured themselves . <eos>,The bankers that the pilots liked injured themselves .
9,liked,embed,local,1,d,none,none,pilots,bankers,injured,themselves,The pilots that the bankers liked injured themselves . <eos>,The pilots that the bankers liked injured themselves .
9,liked,embed,local,1,a,rc_subj,number,mechanics,pilot,injured,themselves,The mechanics that the pilot liked injured themselves . <eos>,The mechanics that the pilot liked injured themselves .
9,liked,embed,local,1,b,rc_subj,number,pilots,mechanic,injured,themselves,The pilots that the mechanic liked injured themselves . <eos>,The pilots that the mechanic liked injured themselves .
9,liked,embed,local,1,c,rc_subj,number,bankers,pilot,injured,themselves,The bankers that the pilot liked injured themselves . <eos>,The bankers that the pilot liked injured themselves .
9,liked,embed,local,1,d,rc_subj,number,pilots,banker,injured,themselves,The pilots that the banker liked injured themselves . <eos>,The pilots that the banker liked injured themselves .
9,liked,embed,nonlocal,0,a,matrix_subj,number,mechanic,pilots,injured,themselves,The mechanic that the pilots liked injured themselves . <eos>,The mechanic that the pilots liked injured themselves .
9,liked,embed,nonlocal,0,b,matrix_subj,number,pilot,mechanics,injured,themselves,The pilot that the mechanics liked injured themselves . <eos>,The pilot that the mechanics liked injured themselves .
9,liked,embed,nonlocal,0,c,matrix_subj,number,banker,pilots,injured,themselves,The banker that the pilots liked injured themselves . <eos>,The banker that the pilots liked injured themselves .
9,liked,embed,nonlocal,0,d,matrix_subj,number,pilot,bankers,injured,themselves,The pilot that the bankers liked injured themselves . <eos>,The pilot that the bankers liked injured themselves .
10,liked,embed,local,1,a,none,none,mechanics,pilots,congratulated,themselves,The mechanics that the pilots liked congratulated themselves . <eos>,The mechanics that the pilots liked congratulated themselves .
10,liked,embed,local,1,b,none,none,pilots,mechanics,congratulated,themselves,The pilots that the mechanics liked congratulated themselves . <eos>,The pilots that the mechanics liked congratulated themselves .
10,liked,embed,local,1,c,none,none,bankers,pilots,congratulated,themselves,The bankers that the pilots liked congratulated themselves . <eos>,The bankers that the pilots liked congratulated themselves .
10,liked,embed,local,1,d,none,none,pilots,bankers,congratulated,themselves,The pilots that the bankers liked congratulated themselves . <eos>,The pilots that the bankers liked congratulated themselves .
10,liked,embed,local,1,a,rc_subj,number,mechanics,pilot,congratulated,themselves,The mechanics that the pilot liked congratulated themselves . <eos>,The mechanics that the pilot liked congratulated themselves .
10,liked,embed,local,1,b,rc_subj,number,pilots,mechanic,congratulated,themselves,The pilots that the mechanic liked congratulated themselves . <eos>,The pilots that the mechanic liked congratulated themselves .
10,liked,embed,local,1,c,rc_subj,number,bankers,pilot,congratulated,themselves,The bankers that the pilot liked congratulated themselves . <eos>,The bankers that the pilot liked congratulated themselves .
10,liked,embed,local,1,d,rc_subj,number,pilots,banker,congratulated,themselves,The pilots that the banker liked congratulated themselves . <eos>,The pilots that the banker liked congratulated themselves .
10,liked,embed,nonlocal,0,a,matrix_subj,number,mechanic,pilots,congratulated,themselves,The mechanic that the pilots liked congratulated themselves . <eos>,The mechanic that the pilots liked congratulated themselves .
10,liked,embed,nonlocal,0,b,matrix_subj,number,pilot,mechanics,congratulated,themselves,The pilot that the mechanics liked congratulated themselves . <eos>,The pilot that the mechanics liked congratulated themselves .
10,liked,embed,nonlocal,0,c,matrix_subj,number,banker,pilots,congratulated,themselves,The banker that the pilots liked congratulated themselves . <eos>,The banker that the pilots liked congratulated themselves .
10,liked,embed,nonlocal,0,d,matrix_subj,number,pilot,bankers,congratulated,themselves,The pilot that the bankers liked congratulated themselves . <eos>,The pilot that the bankers liked congratulated themselves .
11,liked,embed,local,1,a,none,none,mechanics,pilots,embarrassed,themselves,The mechanics that the pilots liked embarrassed themselves . <eos>,The mechanics that the pilots liked embarrassed themselves .
11,liked,embed,local,1,b,none,none,pilots,mechanics,embarrassed,themselves,The pilots that the mechanics liked embarrassed themselves . <eos>,The pilots that the mechanics liked embarrassed themselves .
11,liked,embed,local,1,c,none,none,bankers,pilots,embarrassed,themselves,The bankers that the pilots liked embarrassed themselves . <eos>,The bankers that the pilots liked embarrassed themselves .
11,liked,embed,local,1,d,none,none,pilots,bankers,embarrassed,themselves,The pilots that the bankers liked embarrassed themselves . <eos>,The pilots that the bankers liked embarrassed themselves .
11,liked,embed,local,1,a,rc_subj,number,mechanics,pilot,embarrassed,themselves,The mechanics that the pilot liked embarrassed themselves . <eos>,The mechanics that the pilot liked embarrassed themselves .
11,liked,embed,local,1,b,rc_subj,number,pilots,mechanic,embarrassed,themselves,The pilots that the mechanic liked embarrassed themselves . <eos>,The pilots that the mechanic liked embarrassed themselves .
11,liked,embed,local,1,c,rc_subj,number,bankers,pilot,embarrassed,themselves,The bankers that the pilot liked embarrassed themselves . <eos>,The bankers that the pilot liked embarrassed themselves .
11,liked,embed,local,1,d,rc_subj,number,pilots,banker,embarrassed,themselves,The pilots that the banker liked embarrassed themselves . <eos>,The pilots that the banker liked embarrassed themselves .
11,liked,embed,nonlocal,0,a,matrix_subj,number,mechanic,pilots,embarrassed,themselves,The mechanic that the pilots liked embarrassed themselves . <eos>,The mechanic that the pilots liked embarrassed themselves .
11,liked,embed,nonlocal,0,b,matrix_subj,number,pilot,mechanics,embarrassed,themselves,The pilot that the mechanics liked embarrassed themselves . <eos>,The pilot that the mechanics liked embarrassed themselves .
11,liked,embed,nonlocal,0,c,matrix_subj,number,banker,pilots,embarrassed,themselves,The banker that the pilots liked embarrassed themselves . <eos>,The banker that the pilots liked embarrassed themselves .
11,liked,embed,nonlocal,0,d,matrix_subj,number,pilot,bankers,embarrassed,themselves,The pilot that the bankers liked embarrassed themselves . <eos>,The pilot that the bankers liked embarrassed themselves .
12,liked,embed,local,1,a,none,none,mechanics,pilots,disguised,themselves,The mechanics that the pilots liked disguised themselves . <eos>,The mechanics that the pilots liked disguised themselves .
12,liked,embed,local,1,b,none,none,pilots,mechanics,disguised,themselves,The pilots that the mechanics liked disguised themselves . <eos>,The pilots that the mechanics liked disguised themselves .
12,liked,embed,local,1,c,none,none,bankers,pilots,disguised,themselves,The bankers that the pilots liked disguised themselves . <eos>,The bankers that the pilots liked disguised themselves .
12,liked,embed,local,1,d,none,none,pilots,bankers,disguised,themselves,The pilots that the bankers liked disguised themselves . <eos>,The pilots that the bankers liked disguised themselves .
12,liked,embed,local,1,a,rc_subj,number,mechanics,pilot,disguised,themselves,The mechanics that the pilot liked disguised themselves . <eos>,The mechanics that the pilot liked disguised themselves .
12,liked,embed,local,1,b,rc_subj,number,pilots,mechanic,disguised,themselves,The pilots that the mechanic liked disguised themselves . <eos>,The pilots that the mechanic liked disguised themselves .
12,liked,embed,local,1,c,rc_subj,number,bankers,pilot,disguised,themselves,The bankers that the pilot liked disguised themselves . <eos>,The bankers that the pilot liked disguised themselves .
12,liked,embed,local,1,d,rc_subj,number,pilots,banker,disguised,themselves,The pilots that the banker liked disguised themselves . <eos>,The pilots that the banker liked disguised themselves .
12,liked,embed,nonlocal,0,a,matrix_subj,number,mechanic,pilots,disguised,themselves,The mechanic that the pilots liked disguised themselves . <eos>,The mechanic that the pilots liked disguised themselves .
12,liked,embed,nonlocal,0,b,matrix_subj,number,pilot,mechanics,disguised,themselves,The pilot that the mechanics liked disguised themselves . <eos>,The pilot that the mechanics liked disguised themselves .
12,liked,embed,nonlocal,0,c,matrix_subj,number,banker,pilots,disguised,themselves,The banker that the pilots liked disguised themselves . <eos>,The banker that the pilots liked disguised themselves .
12,liked,embed,nonlocal,0,d,matrix_subj,number,pilot,bankers,disguised,themselves,The pilot that the bankers liked disguised themselves . <eos>,The pilot that the bankers liked disguised themselves .
13,liked,embed,local,1,a,none,none,mechanics,pilots,hated,themselves,The mechanics that the pilots liked hated themselves . <eos>,The mechanics that the pilots liked hated themselves .
13,liked,embed,local,1,b,none,none,pilots,mechanics,hated,themselves,The pilots that the mechanics liked hated themselves . <eos>,The pilots that the mechanics liked hated themselves .
13,liked,embed,local,1,c,none,none,bankers,pilots,hated,themselves,The bankers that the pilots liked hated themselves . <eos>,The bankers that the pilots liked hated themselves .
13,liked,embed,local,1,d,none,none,pilots,bankers,hated,themselves,The pilots that the bankers liked hated themselves . <eos>,The pilots that the bankers liked hated themselves .
13,liked,embed,local,1,a,rc_subj,number,mechanics,pilot,hated,themselves,The mechanics that the pilot liked hated themselves . <eos>,The mechanics that the pilot liked hated themselves .
13,liked,embed,local,1,b,rc_subj,number,pilots,mechanic,hated,themselves,The pilots that the mechanic liked hated themselves . <eos>,The pilots that the mechanic liked hated themselves .
13,liked,embed,local,1,c,rc_subj,number,bankers,pilot,hated,themselves,The bankers that the pilot liked hated themselves . <eos>,The bankers that the pilot liked hated themselves .
13,liked,embed,local,1,d,rc_subj,number,pilots,banker,hated,themselves,The pilots that the banker liked hated themselves . <eos>,The pilots that the banker liked hated themselves .
13,liked,embed,nonlocal,0,a,matrix_subj,number,mechanic,pilots,hated,themselves,The mechanic that the pilots liked hated themselves . <eos>,The mechanic that the pilots liked hated themselves .
13,liked,embed,nonlocal,0,b,matrix_subj,number,pilot,mechanics,hated,themselves,The pilot that the mechanics liked hated themselves . <eos>,The pilot that the mechanics liked hated themselves .
13,liked,embed,nonlocal,0,c,matrix_subj,number,banker,pilots,hated,themselves,The banker that the pilots liked hated themselves . <eos>,The banker that the pilots liked hated themselves .
13,liked,embed,nonlocal,0,d,matrix_subj,number,pilot,bankers,hated,themselves,The pilot that the bankers liked hated themselves . <eos>,The pilot that the bankers liked hated themselves .
14,liked,embed,local,1,a,none,none,mechanics,pilots,doubted,themselves,The mechanics that the pilots liked doubted themselves . <eos>,The mechanics that the pilots liked doubted themselves .
14,liked,embed,local,1,b,none,none,pilots,mechanics,doubted,themselves,The pilots that the mechanics liked doubted themselves . <eos>,The pilots that the mechanics liked doubted themselves .
14,liked,embed,local,1,c,none,none,bankers,pilots,doubted,themselves,The bankers that the pilots liked doubted themselves . <eos>,The bankers that the pilots liked doubted themselves .
14,liked,embed,local,1,d,none,none,pilots,bankers,doubted,themselves,The pilots that the bankers liked doubted themselves . <eos>,The pilots that the bankers liked doubted themselves .
14,liked,embed,local,1,a,rc_subj,number,mechanics,pilot,doubted,themselves,The mechanics that the pilot liked doubted themselves . <eos>,The mechanics that the pilot liked doubted themselves .
14,liked,embed,local,1,b,rc_subj,number,pilots,mechanic,doubted,themselves,The pilots that the mechanic liked doubted themselves . <eos>,The pilots that the mechanic liked doubted themselves .
14,liked,embed,local,1,c,rc_subj,number,bankers,pilot,doubted,themselves,The bankers that the pilot liked doubted themselves . <eos>,The bankers that the pilot liked doubted themselves .
14,liked,embed,local,1,d,rc_subj,number,pilots,banker,doubted,themselves,The pilots that the banker liked doubted themselves . <eos>,The pilots that the banker liked doubted themselves .
14,liked,embed,nonlocal,0,a,matrix_subj,number,mechanic,pilots,doubted,themselves,The mechanic that the pilots liked doubted themselves . <eos>,The mechanic that the pilots liked doubted themselves .
14,liked,embed,nonlocal,0,b,matrix_subj,number,pilot,mechanics,doubted,themselves,The pilot that the mechanics liked doubted themselves . <eos>,The pilot that the mechanics liked doubted themselves .
14,liked,embed,nonlocal,0,c,matrix_subj,number,banker,pilots,doubted,themselves,The banker that the pilots liked doubted themselves . <eos>,The banker that the pilots liked doubted themselves .
14,liked,embed,nonlocal,0,d,matrix_subj,number,pilot,bankers,doubted,themselves,The pilot that the bankers liked doubted themselves . <eos>,The pilot that the bankers liked doubted themselves .
15,liked,embed,local,1,a,none,none,mechanics,surgeons,hurt,themselves,The mechanics that the surgeons liked hurt themselves . <eos>,The mechanics that the surgeons liked hurt themselves .
15,liked,embed,local,1,b,none,none,surgeons,mechanics,hurt,themselves,The surgeons that the mechanics liked hurt themselves . <eos>,The surgeons that the mechanics liked hurt themselves .
15,liked,embed,local,1,c,none,none,bankers,surgeons,hurt,themselves,The bankers that the surgeons liked hurt themselves . <eos>,The bankers that the surgeons liked hurt themselves .
15,liked,embed,local,1,d,none,none,surgeons,bankers,hurt,themselves,The surgeons that the bankers liked hurt themselves . <eos>,The surgeons that the bankers liked hurt themselves .
15,liked,embed,local,1,a,rc_subj,number,mechanics,surgeon,hurt,themselves,The mechanics that the surgeon liked hurt themselves . <eos>,The mechanics that the surgeon liked hurt themselves .
