item,clause_type,locality,c-command,grammatical,counterbalance,mismatch_position,mismatch_feature,head_noun,distractor_noun,verb,pronoun,sentence,sentence_no_eos
4,simple,local,c-command,1,a,none,none,girl,mother,considered,herself,The girl near the mother considered herself . <eos>,The girl near the mother considered herself .
4,simple,local,c-command,1,b,none,none,mother,girl,considered,herself,The mother near the girl considered herself . <eos>,The mother near the girl considered herself .
4,simple,local,no-c-command,0,a,head,number,girls,mother,considered,herself,The girls near the mother considered herself . <eos>,The girls near the mother considered herself .
4,simple,local,no-c-command,0,b,head,number,mothers,girl,considered,herself,The mothers near the girl considered herself . <eos>,The mothers near the girl considered herself .
4,simple,local,c-command,1,a,distractor,number,girl,mothers,considered,herself,The girl near the mothers considered herself . <eos>,The girl near the mothers considered herself .
4,simple,local,c-command,1,b,distractor,number,mother,girls,considered,herself,The mother near the girls considered herself . <eos>,The mother near the girls considered herself .
5,simple,local,c-command,1,a,none,none,girl,mother,identified,herself,The girl near the mother identified herself . <eos>,The girl near the mother identified herself .
5,simple,local,c-command,1,b,none,none,mother,girl,identified,herself,The mother near the girl identified herself . <eos>,The mother near the girl identified herself .
5,simple,local,no-c-command,0,a,head,number,girls,mother,identified,herself,The girls near the mother identified herself . <eos>,The girls near the mother identified herself .
5,simple,local,no-c-command,0,b,head,number,mothers,girl,identified,herself,The mothers near the girl identified herself . <eos>,The mothers near the girl identified herself .
5,simple,local,c-command,1,a,distractor,number,girl,mothers,identified,herself,The girl near the mothers identified herself . <eos>,The girl near the mothers identified herself .
5,simple,local,c-command,1,b,distractor,number,mother,girls,identified,herself,The mother near the girls identified herself . <eos>,The mother near the girls identified herself .
6,simple,local,c-command,1,a,none,none,girl,mother,made,herself,The girl near the mother made herself . <eos>,The girl near the mother made herself .
6,simple,local,c-command,1,b,none,none,mother,girl,made,herself,The mother near the girl made herself . <eos>,The mother near the girl made herself .
6,simple,local,no-c-command,0,a,head,number,girls,mother,made,herself,The girls near the mother made herself . <eos>,The girls near the mother made herself .
6,simple,local,no-c-command,0,b,head,number,mothers,girl,made,herself,The mothers near the girl made herself . <eos>,The mothers near the girl made herself .
6,simple,local,c-command,1,a,distractor,number,girl,mothers,made,herself,The girl near the mothers made herself . <eos>,The girl near the mothers made herself .
6,simple,local,c-command,1,b,distractor,number,mother,girls,made,herself,The mother near the girls made herself . <eos>,The mother near the girls made herself .
7,simple,local,c-command,1,a,none,none,girl,mother,found,herself,The girl near the mother found herself . <eos>,The girl near the mother found herself .
7,simple,local,c-command,1,b,none,none,mother,girl,found,herself,The mother near the girl found herself . <eos>,The mother near the girl found herself .
7,simple,local,no-c-command,0,a,head,number,girls,mother,found,herself,The girls near the mother found herself . <eos>,The girls near the mother found herself .
7,simple,local,no-c-command,0,b,head,number,mothers,girl,found,herself,The mothers near the girl found herself . <eos>,The mothers near the girl found herself .
7,simple,local,c-command,1,a,distractor,number,girl,mothers,found,herself,The girl near the mothers found herself . <eos>,The girl near the mothers found herself .
7,simple,local,c-command,1,b,distractor,number,mother,girls,found,herself,The mother near the girls found herself . <eos>,The mother near the girls found herself .
8,simple,local,c-command,1,a,none,none,girl,mother,distinguished,herself,The girl near the mother distinguished herself . <eos>,The girl near the mother distinguished herself .
8,simple,local,c-command,1,b,none,none,mother,girl,distinguished,herself,The mother near the girl distinguished herself . <eos>,The mother near the girl distinguished herself .
8,simple,local,no-c-command,0,a,head,number,girls,mother,distinguished,herself,The girls near the mother distinguished herself . <eos>,The girls near the mother distinguished herself .
8,simple,local,no-c-command,0,b,head,number,mothers,girl,distinguished,herself,The mothers near the girl distinguished herself . <eos>,The mothers near the girl distinguished herself .
8,simple,local,c-command,1,a,distractor,number,girl,mothers,distinguished,herself,The girl near the mothers distinguished herself . <eos>,The girl near the mothers distinguished herself .
8,simple,local,c-command,1,b,distractor,number,mother,girls,distinguished,herself,The mother near the girls distinguished herself . <eos>,The mother near the girls distinguished herself .
9,simple,local,c-command,1,a,none,none,girl,mother,taught,herself,The girl near the mother taught herself . <eos>,The girl near the mother taught herself .
9,simple,local,c-command,1,b,none,none,mother,girl,taught,herself,The mother near the girl taught herself . <eos>,The mother near the girl taught herself .
9,simple,local,no-c-command,0,a,head,number,girls,mother,taught,herself,The girls near the mother taught herself . <eos>,The girls near the mother taught herself .
9,simple,local,no-c-command,0,b,head,number,mothers,girl,taught,herself,The mothers near the girl taught herself . <eos>,The mothers near the girl taught herself .
9,simple,local,c-command,1,a,distractor,number,girl,mothers,taught,herself,The girl near the mothers taught herself . <eos>,The girl near the mothers taught herself .
9,simple,local,c-command,1,b,distractor,number,mother,girls,taught,herself,The mother near the girls taught herself . <eos>,The mother near the girls taught herself .
10,simple,local,c-command,1,a,none,none,girl,mother,killed,herself,The girl near the mother killed herself . <eos>,The girl near the mother killed herself .
10,simple,local,c-command,1,b,none,none,mother,girl,killed,herself,The mother near the girl killed herself . <eos>,The mother near the girl killed herself .
10,simple,local,no-c-command,0,a,head,number,girls,mother,killed,herself,The girls near the mother killed herself . <eos>,The girls near the mother killed herself .
10,simple,local,no-c-command,0,b,head,number,mothers,girl,killed,herself,The mothers near the girl killed herself . <eos>,The mothers near the girl killed herself .
10,simple,local,c-command,1,a,distractor,number,girl,mothers,killed,herself,The girl near the mothers killed herself . <eos>,The girl near the mothers killed herself .
10,simple,local,c-command,1,b,distractor,number,mother,girls,killed,herself,The mother near the girls killed herself . <eos>,The mother near the girls killed herself .
11,simple,local,c-command,1,a,none,none,girl,mother,called,herself,The girl near the mother called herself . <eos>,The girl near the mother called herself .
11,simple,local,c-command,1,b,none,none,mother,girl,called,herself,The mother near the girl called herself . <eos>,The mother near the girl called herself .
11,simple,local,no-c-command,0,a,head,number,girls,mother,called,herself,The girls near the mother called herself . <eos>,The girls near the mother called herself .
11,simple,local,no-c-command,0,b,head,number,mothers,girl,called,herself,The mothers near the girl called herself . <eos>,The mothers near the girl called herself .
11,simple,local,c-command,1,a,distractor,number,girl,mothers,called,herself,The girl near the mothers called herself . <eos>,The girl near the mothers called herself .
11,simple,local,c-command,1,b,distractor,number,mother,girls,called,herself,The mother near the girls called herself . <eos>,The mother near the girls called herself .
12,simple,local,c-command,1,a,none,none,girl,mother,dedicated,herself,The girl near the mother dedicated herself . <eos>,The girl near the mother dedicated herself .
12,simple,local,c-command,1,b,none,none,mother,girl,dedicated,herself,The mother near the girl dedicated herself . <eos>,The mother near the girl dedicated herself .
12,simple,local,no-c-command,0,a,head,number,girls,mother,dedicated,herself,The girls near the mother dedicated herself . <eos>,The girls near the mother dedicated herself .
12,simple,local,no-c-command,0,b,head,number,mothers,girl,dedicated,herself,The mothers near the girl dedicated herself . <eos>,The mothers near the girl dedicated herself .
12,simple,local,c-command,1,a,distractor,number,girl,mothers,dedicated,herself,The girl near the mothers dedicated herself . <eos>,The girl near the mothers dedicated herself .
12,simple,local,c-command,1,b,distractor,number,mother,girls,dedicated,herself,The mother near the girls dedicated herself . <eos>,The mother near the girls dedicated herself .
13,simple,local,c-command,1,a,none,none,girl,mother,declared,herself,The girl near the mother declared herself . <eos>,The girl near the mother declared herself .
13,simple,local,c-command,1,b,none,none,mother,girl,declared,herself,The mother near the girl declared herself . <eos>,The mother near the girl declared herself .
13,simple,local,no-c-command,0,a,head,number,girls,mother,declared,herself,The girls near the mother declared herself . <eos>,The girls near the mother declared herself .
13,simple,local,no-c-command,0,b,head,number,mothers,girl,declared,herself,The mothers near the girl declared herself . <eos>,The mothers near the girl declared herself .
13,simple,local,c-command,1,a,distractor,number,girl,mothers,declared,herself,The girl near the mothers declared herself . <eos>,The girl near the mothers declared herself .
13,simple,local,c-command,1,b,distractor,number,mother,girls,declared,herself,The mother near the girls declared herself . <eos>,The mother near the girls declared herself .
14,simple,local,c-command,1,a,none,none,girl,mother,proved,herself,The girl near the mother proved herself . <eos>,The girl near the mother proved herself .
14,simple,local,c-command,1,b,none,none,mother,girl,proved,herself,The mother near the girl proved herself . <eos>,The mother near the girl proved herself .
14,simple,local,no-c-command,0,a,head,number,girls,mother,proved,herself,The girls near the mother proved herself . <eos>,The girls near the mother proved herself .
14,simple,local,no-c-command,0,b,head,number,mothers,girl,proved,herself,The mothers near the girl proved herself . <eos>,The mothers near the girl proved herself .
14,simple,local,c-command,1,a,distractor,number,girl,mothers,proved,herself,The girl near the mothers proved herself . <eos>,The girl near the mothers proved herself .
14,simple,local,c-command,1,b,distractor,number,mother,girls,proved,herself,The mother near the girls proved herself . <eos>,The mother near the girls proved herself .
15,simple,local,c-command,1,a,none,none,girl,mother,shot,herself,The girl near the mother shot herself . <eos>,The girl near the mother shot herself .
15,simple,local,c-command,1,b,none,none,mother,girl,shot,herself,The mother near the girl shot herself . <eos>,The mother near the girl shot herself .
15,simple,local,no-c-command,0,a,head,number,girls,mother,shot,herself,The girls near the mother shot herself . <eos>,The girls near the mother shot herself .
15,simple,local,no-c-command,0,b,head,number,mothers,girl,shot,herself,The mothers near the girl shot herself . <eos>,The mothers near the girl shot herself .
15,simple,local,c-command,1,a,distractor,number,girl,mothers,shot,herself,The girl near the mothers shot herself . <eos>,The girl near the mothers shot herself .
15,simple,local,c-command,1,b,distractor,number,mother,girls,shot,herself,The mother near the girls shot herself . <eos>,The mother near the girls shot herself .
16,simple,local,c-command,1,a,none,none,girl,daughter,saw,herself,The girl near the daughter saw herself . <eos>,The girl near the daughter saw herself .
16,simple,local,c-command,1,b,none,none,daughter,girl,saw,herself,The daughter near the girl saw herself . <eos>,The daughter near the girl saw herself .
16,simple,local,no-c-command,0,a,head,number,girls,daughter,saw,herself,The girls near the daughter saw herself . <eos>,The girls near the daughter saw herself .
16,simple,local,no-c-command,0,b,head,number,daughters,girl,saw,herself,The daughters near the girl saw herself . <eos>,The daughters near the girl saw herself .
16,simple,local,c-command,1,a,distractor,number,girl,daughters,saw,herself,The girl near the daughters saw herself . <eos>,The girl near the daughters saw herself .
16,simple,local,c-command,1,b,distractor,number,daughter,girls,saw,herself,The daughter near the girls saw herself . <eos>,The daughter near the girls saw herself .
17,simple,local,c-command,1,a,none,none,girl,daughter,established,herself,The girl near the daughter established herself . <eos>,The girl near the daughter established herself .
17,simple,local,c-command,1,b,none,none,daughter,girl,established,herself,The daughter near the girl established herself . <eos>,The daughter near the girl established herself .
17,simple,local,no-c-command,0,a,head,number,girls,daughter,established,herself,The girls near the daughter established herself . <eos>,The girls near the daughter established herself .
17,simple,local,no-c-command,0,b,head,number,daughters,girl,established,herself,The daughters near the girl established herself . <eos>,The daughters near the girl established herself .
17,simple,local,c-command,1,a,distractor,number,girl,daughters,established,herself,The girl near the daughters established herself . <eos>,The girl near the daughters established herself .
17,simple,local,c-command,1,b,distractor,number,daughter,girls,established,herself,The daughter near the girls established herself . <eos>,The daughter near the girls established herself .
18,simple,local,c-command,1,a,none,none,girl,daughter,devoted,herself,The girl near the daughter devoted herself . <eos>,The girl near the daughter devoted herself .
18,simple,local,c-command,1,b,none,none,daughter,girl,devoted,herself,The daughter near the girl devoted herself . <eos>,The daughter near the girl devoted herself .
18,simple,local,no-c-command,0,a,head,number,girls,daughter,devoted,herself,The girls near the daughter devoted herself . <eos>,The girls near the daughter devoted herself .
18,simple,local,no-c-command,0,b,head,number,daughters,girl,devoted,herself,The daughters near the girl devoted herself . <eos>,The daughters near the girl devoted herself .
18,simple,local,c-command,1,a,distractor,number,girl,daughters,devoted,herself,The girl near the daughters devoted herself . <eos>,The girl near the daughters devoted herself .
18,simple,local,c-command,1,b,distractor,number,daughter,girls,devoted,herself,The daughter near the girls devoted herself . <eos>,The daughter near the girls devoted herself .
19,simple,local,c-command,1,a,none,none,girl,daughter,considered,herself,The girl near the daughter considered herself . <eos>,The girl near the daughter considered herself .
19,simple,local,c-command,1,b,none,none,daughter,girl,considered,herself,The daughter near the girl considered herself . <eos>,The daughter near the girl considered herself .
19,simple,local,no-c-command,0,a,head,number,girls,daughter,considered,herself,The girls near the daughter considered herself . <eos>,The girls near the daughter considered herself .
19,simple,local,no-c-command,0,b,head,number,daughters,girl,considered,herself,The daughters near the girl considered herself . <eos>,The daughters near the girl considered herself .
19,simple,local,c-command,1,a,distractor,number,girl,daughters,considered,herself,The girl near the daughters considered herself . <eos>,The girl near the daughters considered herself .
19,simple,local,c-command,1,b,distractor,number,daughter,girls,considered,herself,The daughter near the girls considered herself . <eos>,The daughter near the girls considered herself .
20,simple,local,c-command,1,a,none,none,girl,daughter,identified,herself,The girl near the daughter identified herself . <eos>,The girl near the daughter identified herself .
20,simple,local,c-command,1,b,none,none,daughter,girl,identified,herself,The daughter near the girl identified herself . <eos>,The daughter near the girl identified herself .
20,simple,local,no-c-command,0,a,head,number,girls,daughter,identified,herself,The girls near the daughter identified herself . <eos>,The girls near the daughter identified herself .
20,simple,local,no-c-command,0,b,head,number,daughters,girl,identified,herself,The daughters near the girl identified herself . <eos>,The daughters near the girl identified herself .
20,simple,local,c-command,1,a,distractor,number,girl,daughters,identified,herself,The girl near the daughters identified herself . <eos>,The girl near the daughters identified herself .
20,simple,local,c-command,1,b,distractor,number,daughter,girls,identified,herself,The daughter near the girls identified herself . <eos>,The daughter near the girls identified herself .
21,simple,local,c-command,1,a,none,none,girl,daughter,made,herself,The girl near the daughter made herself . <eos>,The girl near the daughter made herself .
21,simple,local,c-command,1,b,none,none,daughter,girl,made,herself,The daughter near the girl made herself . <eos>,The daughter near the girl made herself .
21,simple,local,no-c-command,0,a,head,number,girls,daughter,made,herself,The girls near the daughter made herself . <eos>,The girls near the daughter made herself .
21,simple,local,no-c-command,0,b,head,number,daughters,girl,made,herself,The daughters near the girl made herself . <eos>,The daughters near the girl made herself .
21,simple,local,c-command,1,a,distractor,number,girl,daughters,made,herself,The girl near the daughters made herself . <eos>,The girl near the daughters made herself .
21,simple,local,c-command,1,b,distractor,number,daughter,girls,made,herself,The daughter near the girls made herself . <eos>,The daughter near the girls made herself .
22,simple,local,c-command,1,a,none,none,girl,daughter,found,herself,The girl near the daughter found herself . <eos>,The girl near the daughter found herself .
22,simple,local,c-command,1,b,none,none,daughter,girl,found,herself,The daughter near the girl found herself . <eos>,The daughter near the girl found herself .
22,simple,local,no-c-command,0,a,head,number,girls,daughter,found,herself,The girls near the daughter found herself . <eos>,The girls near the daughter found herself .
22,simple,local,no-c-command,0,b,head,number,daughters,girl,found,herself,The daughters near the girl found herself . <eos>,The daughters near the girl found herself .
22,simple,local,c-command,1,a,distractor,number,girl,daughters,found,herself,The girl near the daughters found herself . <eos>,The girl near the daughters found herself .
22,simple,local,c-command,1,b,distractor,number,daughter,girls,found,herself,The daughter near the girls found herself . <eos>,The daughter near the girls found herself .
23,simple,local,c-command,1,a,none,none,girl,daughter,distinguished,herself,The girl near the daughter distinguished herself . <eos>,The girl near the daughter distinguished herself .
23,simple,local,c-command,1,b,none,none,daughter,girl,distinguished,herself,The daughter near the girl distinguished herself . <eos>,The daughter near the girl distinguished herself .
23,simple,local,no-c-command,0,a,head,number,girls,daughter,distinguished,herself,The girls near the daughter distinguished herself . <eos>,The girls near the daughter distinguished herself .
23,simple,local,no-c-command,0,b,head,number,daughters,girl,distinguished,herself,The daughters near the girl distinguished herself . <eos>,The daughters near the girl distinguished herself .
23,simple,local,c-command,1,a,distractor,number,girl,daughters,distinguished,herself,The girl near the daughters distinguished herself . <eos>,The girl near the daughters distinguished herself .
23,simple,local,c-command,1,b,distractor,number,daughter,girls,distinguished,herself,The daughter near the girls distinguished herself . <eos>,The daughter near the girls distinguished herself .
24,simple,local,c-command,1,a,none,none,girl,daughter,taught,herself,The girl near the daughter taught herself . <eos>,The girl near the daughter taught herself .
24,simple,local,c-command,1,b,none,none,daughter,girl,taught,herself,The daughter near the girl taught herself . <eos>,The daughter near the girl taught herself .
24,simple,local,no-c-command,0,a,head,number,girls,daughter,taught,herself,The girls near the daughter taught herself . <eos>,The girls near the daughter taught herself .
24,simple,local,no-c-command,0,b,head,number,daughters,girl,taught,herself,The daughters near the girl taught herself . <eos>,The daughters near the girl taught herself .
24,simple,local,c-command,1,a,distractor,number,girl,daughters,taught,herself,The girl near the daughters taught herself . <eos>,The girl near the daughters taught herself .
24,simple,local,c-command,1,b,distractor,number,daughter,girls,taught,herself,The daughter near the girls taught herself . <eos>,The daughter near the girls taught herself .
25,simple,local,c-command,1,a,none,none,girl,daughter,killed,herself,The girl near the daughter killed herself . <eos>,The girl near the daughter killed herself .
25,simple,local,c-command,1,b,none,none,daughter,girl,killed,herself,The daughter near the girl killed herself . <eos>,The daughter near the girl killed herself .
25,simple,local,no-c-command,0,a,head,number,girls,daughter,killed,herself,The girls near the daughter killed herself . <eos>,The girls near the daughter killed herself .
25,simple,local,no-c-command,0,b,head,number,daughters,girl,killed,herself,The daughters near the girl killed herself . <eos>,The daughters near the girl killed herself .
25,simple,local,c-command,1,a,distractor,number,girl,daughters,killed,herself,The girl near the daughters killed herself . <eos>,The girl near the daughters killed herself .
25,simple,local,c-command,1,b,distractor,number,daughter,girls,killed,herself,The daughter near the girls killed herself . <eos>,The daughter near the girls killed herself .
26,simple,local,c-command,1,a,none,none,girl,daughter,called,herself,The girl near the daughter called herself . <eos>,The girl near the daughter called herself .
26,simple,local,c-command,1,b,none,none,daughter,girl,called,herself,The daughter near the girl called herself . <eos>,The daughter near the girl called herself .
26,simple,local,no-c-command,0,a,head,number,girls,daughter,called,herself,The girls near the daughter called herself . <eos>,The girls near the daughter called herself .
26,simple,local,no-c-command,0,b,head,number,daughters,girl,called,herself,The daughters near the girl called herself . <eos>,The daughters near the girl called herself .
26,simple,local,c-command,1,a,distractor,number,girl,daughters,called,herself,The girl near the daughters called herself . <eos>,The girl near the daughters called herself .
26,simple,local,c-command,1,b,distractor,number,daughter,girls,called,herself,The daughter near the girls called herself . <eos>,The daughter near the girls called herself .
27,simple,local,c-command,1,a,none,none,girl,daughter,dedicated,herself,The girl near the daughter dedicated herself . <eos>,The girl near the daughter dedicated herself .
27,simple,local,c-command,1,b,none,none,daughter,girl,dedicated,herself,The daughter near the girl dedicated herself . <eos>,The daughter near the girl dedicated herself .
27,simple,local,no-c-command,0,a,head,number,girls,daughter,dedicated,herself,The girls near the daughter dedicated herself . <eos>,The girls near the daughter dedicated herself .
27,simple,local,no-c-command,0,b,head,number,daughters,girl,dedicated,herself,The daughters near the girl dedicated herself . <eos>,The daughters near the girl dedicated herself .
27,simple,local,c-command,1,a,distractor,number,girl,daughters,dedicated,herself,The girl near the daughters dedicated herself . <eos>,The girl near the daughters dedicated herself .
27,simple,local,c-command,1,b,distractor,number,daughter,girls,dedicated,herself,The daughter near the girls dedicated herself . <eos>,The daughter near the girls dedicated herself .
28,simple,local,c-command,1,a,none,none,girl,daughter,declared,herself,The girl near the daughter declared herself . <eos>,The girl near the daughter declared herself .
28,simple,local,c-command,1,b,none,none,daughter,girl,declared,herself,The daughter near the girl declared herself . <eos>,The daughter near the girl declared herself .
28,simple,local,no-c-command,0,a,head,number,girls,daughter,declared,herself,The girls near the daughter declared herself . <eos>,The girls near the daughter declared herself .
28,simple,local,no-c-command,0,b,head,number,daughters,girl,declared,herself,The daughters near the girl declared herself . <eos>,The daughters near the girl declared herself .
28,simple,local,c-command,1,a,distractor,number,girl,daughters,declared,herself,The girl near the daughters declared herself . <eos>,The girl near the daughters declared herself .
28,simple,local,c-command,1,b,distractor,number,daughter,girls,declared,herself,The daughter near the girls declared herself . <eos>,The daughter near the girls declared herself .
29,simple,local,c-command,1,a,none,none,girl,daughter,proved,herself,The girl near the daughter proved herself . <eos>,The girl near the daughter proved herself .
29,simple,local,c-command,1,b,none,none,daughter,girl,proved,herself,The daughter near the girl proved herself . <eos>,The daughter near the girl proved herself .
29,simple,local,no-c-command,0,a,head,number,girls,daughter,proved,herself,The girls near the daughter proved herself . <eos>,The girls near the daughter proved herself .
29,simple,local,no-c-command,0,b,head,number,daughters,girl,proved,herself,The daughters near the girl proved herself . <eos>,The daughters near the girl proved herself .
29,simple,local,c-command,1,a,distractor,number,girl,daughters,proved,herself,The girl near the daughters proved herself . <eos>,The girl near the daughters proved herself .
29,simple,local,c-command,1,b,distractor,number,daughter,girls,proved,herself,The daughter near the girls proved herself . <eos>,The daughter near the girls proved herself .
30,simple,local,c-command,1,a,none,none,girl,daughter,shot,herself,The girl near the daughter shot herself . <eos>,The girl near the daughter shot herself .
30,simple,local,c-command,1,b,none,none,daughter,girl,shot,herself,The daughter near the girl shot herself . <eos>,The daughter near the girl shot herself .
30,simple,local,no-c-command,0,a,head,number,girls,daughter,shot,herself,The girls near the daughter shot herself . <eos>,The girls near the daughter shot herself .
30,simple,local,no-c-command,0,b,head,number,daughters,girl,shot,herself,The daughters near the girl shot herself . <eos>,The daughters near the girl shot herself .
30,simple,local,c-command,1,a,distractor,number,girl,daughters,shot,herself,The girl near the daughters shot herself . <eos>,The girl near the daughters shot herself .
30,simple,local,c-command,1,b,distractor,number,daughter,girls,shot,herself,The daughter near the girls shot herself . <eos>,The daughter near the girls shot herself .
31,simple,local,c-command,1,a,none,none,girl,woman,saw,herself,The girl near the woman saw herself . <eos>,The girl near the woman saw herself .
31,simple,local,c-command,1,b,none,none,woman,girl,saw,herself,The woman near the girl saw herself . <eos>,The woman near the girl saw herself .
31,simple,local,no-c-command,0,a,head,number,girls,woman,saw,herself,The girls near the woman saw herself . <eos>,The girls near the woman saw herself .
31,simple,local,no-c-command,0,b,head,number,women,girl,saw,herself,The women near the girl saw herself . <eos>,The women near the girl saw herself .
31,simple,local,c-command,1,a,distractor,number,girl,women,saw,herself,The girl near the women saw herself . <eos>,The girl near the women saw herself .
31,simple,local,c-command,1,b,distractor,number,woman,girls,saw,herself,The woman near the girls saw herself . <eos>,The woman near the girls saw herself .
32,simple,local,c-command,1,a,none,none,girl,woman,established,herself,The girl near the woman established herself . <eos>,The girl near the woman established herself .
32,simple,local,c-command,1,b,none,none,woman,girl,established,herself,The woman near the girl established herself . <eos>,The woman near the girl established herself .
32,simple,local,no-c-command,0,a,head,number,girls,woman,established,herself,The girls near the woman established herself . <eos>,The girls near the woman established herself .
32,simple,local,no-c-command,0,b,head,number,women,girl,established,herself,The women near the girl established herself . <eos>,The women near the girl established herself .
32,simple,local,c-command,1,a,distractor,number,girl,women,established,herself,The girl near the women established herself . <eos>,The girl near the women established herself .
32,simple,local,c-command,1,b,distractor,number,woman,girls,established,herself,The woman near the girls established herself . <eos>,The woman near the girls established herself .
33,simple,local,c-command,1,a,none,none,girl,woman,devoted,herself,The girl near the woman devoted herself . <eos>,The girl near the woman devoted herself .
33,simple,local,c-command,1,b,none,none,woman,girl,devoted,herself,The woman near the girl devoted herself . <eos>,The woman near the girl devoted herself .
33,simple,local,no-c-command,0,a,head,number,girls,woman,devoted,herself,The girls near the woman devoted herself . <eos>,The girls near the woman devoted herself .
33,simple,local,no-c-command,0,b,head,number,women,girl,devoted,herself,The women near the girl devoted herself . <eos>,The women near the girl devoted herself .
33,simple,local,c-command,1,a,distractor,number,girl,women,devoted,herself,The girl near the women devoted herself . <eos>,The girl near the women devoted herself .
33,simple,local,c-command,1,b,distractor,number,woman,girls,devoted,herself,The woman near the girls devoted herself . <eos>,The woman near the girls devoted herself .
34,simple,local,c-command,1,a,none,none,girl,woman,considered,herself,The girl near the woman considered herself . <eos>,The girl near the woman considered herself .
34,simple,local,c-command,1,b,none,none,woman,girl,considered,herself,The woman near the girl considered herself . <eos>,The woman near the girl considered herself .
34,simple,local,no-c-command,0,a,head,number,girls,woman,considered,herself,The girls near the woman considered herself . <eos>,The girls near the woman considered herself .
34,simple,local,no-c-command,0,b,head,number,women,girl,considered,herself,The women near the girl considered herself . <eos>,The women near the girl considered herself .
34,simple,local,c-command,1,a,distractor,number,girl,women,considered,herself,The girl near the women considered herself . <eos>,The girl near the women considered herself .
34,simple,local,c-command,1,b,distractor,number,woman,girls,considered,herself,The woman near the girls considered herself . <eos>,The woman near the girls considered herself .
35,simple,local,c-command,1,a,none,none,girl,woman,identified,herself,The girl near the woman identified herself . <eos>,The girl near the woman identified herself .
35,simple,local,c-command,1,b,none,none,woman,girl,identified,herself,The woman near the girl identified herself . <eos>,The woman near the girl identified herself .
35,simple,local,no-c-command,0,a,head,number,girls,woman,identified,herself,The girls near the woman identified herself . <eos>,The girls near the woman identified herself .
35,simple,local,no-c-command,0,b,head,number,women,girl,identified,herself,The women near the girl identified herself . <eos>,The women near the girl identified herself .
35,simple,local,c-command,1,a,distractor,number,girl,women,identified,herself,The girl near the women identified herself . <eos>,The girl near the women identified herself .
35,simple,local,c-command,1,b,distractor,number,woman,girls,identified,herself,The woman near the girls identified herself . <eos>,The woman near the girls identified herself .
36,simple,local,c-command,1,a,none,none,girl,woman,made,herself,The girl near the woman made herself . <eos>,The girl near the woman made herself .
36,simple,local,c-command,1,b,none,none,woman,girl,made,herself,The woman near the girl made herself . <eos>,The woman near the girl made herself .
36,simple,local,no-c-command,0,a,head,number,girls,woman,made,herself,The girls near the woman made herself . <eos>,The girls near the woman made herself .
36,simple,local,no-c-command,0,b,head,number,women,girl,made,herself,The women near the girl made herself . <eos>,The women near the girl made herself .
36,simple,local,c-command,1,a,distractor,number,girl,women,made,herself,The girl near the women made herself . <eos>,The girl near the women made herself .
36,simple,local,c-command,1,b,distractor,number,woman,girls,made,herself,The woman near the girls made herself . <eos>,The woman near the girls made herself .
