item,clause_type,locality,c-command,grammatical,counterbalance,subject,mismatch_position,mismatch_feature,head_noun,distractor_noun,verb,pronoun,sentence,sentence_no_eos
8,simple,local,c-command,1,b,male,none,none,fathers,boys,distinguished,themselves,The fathers near the boys distinguished themselves . <eos>,The fathers near the boys distinguished themselves .
8,simple,local,c-command,1,a,female,none,none,girls,mothers,distinguished,themselves,The girls near the mothers distinguished themselves . <eos>,The girls near the mothers distinguished themselves .
8,simple,local,c-command,1,b,female,none,none,mothers,girls,distinguished,themselves,The mothers near the girls distinguished themselves . <eos>,The mothers near the girls distinguished themselves .
8,simple,local,no-c-command,0,a,male,head,number,boy,fathers,distinguished,themselves,The boy near the fathers distinguished themselves . <eos>,The boy near the fathers distinguished themselves .
8,simple,local,no-c-command,0,b,male,head,number,father,boys,distinguished,themselves,The father near the boys distinguished themselves . <eos>,The father near the boys distinguished themselves .
8,simple,local,no-c-command,0,a,female,head,number,girl,mothers,distinguished,themselves,The girl near the mothers distinguished themselves . <eos>,The girl near the mothers distinguished themselves .
8,simple,local,no-c-command,0,b,female,head,number,mother,girls,distinguished,themselves,The mother near the girls distinguished themselves . <eos>,The mother near the girls distinguished themselves .
8,simple,local,c-command,1,a,male,distractor,number,boys,father,distinguished,themselves,The boys near the father distinguished themselves . <eos>,The boys near the father distinguished themselves .
8,simple,local,c-command,1,b,male,distractor,number,fathers,boy,distinguished,themselves,The fathers near the boy distinguished themselves . <eos>,The fathers near the boy distinguished themselves .
8,simple,local,c-command,1,a,female,distractor,number,girls,mother,distinguished,themselves,The girls near the mother distinguished themselves . <eos>,The girls near the mother distinguished themselves .
8,simple,local,c-command,1,b,female,distractor,number,mothers,girl,distinguished,themselves,The mothers near the girl distinguished themselves . <eos>,The mothers near the girl distinguished themselves .
9,simple,local,c-command,1,a,male,none,none,boys,fathers,taught,themselves,The boys near the fathers taught themselves . <eos>,The boys near the fathers taught themselves .
9,simple,local,c-command,1,b,male,none,none,fathers,boys,taught,themselves,The fathers near the boys taught themselves . <eos>,The fathers near the boys taught themselves .
9,simple,local,c-command,1,a,female,none,none,girls,mothers,taught,themselves,The girls near the mothers taught themselves . <eos>,The girls near the mothers taught themselves .
9,simple,local,c-command,1,b,female,none,none,mothers,girls,taught,themselves,The mothers near the girls taught themselves . <eos>,The mothers near the girls taught themselves .
9,simple,local,no-c-command,0,a,male,head,number,boy,fathers,taught,themselves,The boy near the fathers taught themselves . <eos>,The boy near the fathers taught themselves .
9,simple,local,no-c-command,0,b,male,head,number,father,boys,taught,themselves,The father near the boys taught themselves . <eos>,The father near the boys taught themselves .
9,simple,local,no-c-command,0,a,female,head,number,girl,mothers,taught,themselves,The girl near the mothers taught themselves . <eos>,The girl near the mothers taught themselves .
9,simple,local,no-c-command,0,b,female,head,number,mother,girls,taught,themselves,The mother near the girls taught themselves . <eos>,The mother near the girls taught themselves .
9,simple,local,c-command,1,a,male,distractor,number,boys,father,taught,themselves,The boys near the father taught themselves . <eos>,The boys near the father taught themselves .
9,simple,local,c-command,1,b,male,distractor,number,fathers,boy,taught,themselves,The fathers near the boy taught themselves . <eos>,The fathers near the boy taught themselves .
9,simple,local,c-command,1,a,female,distractor,number,girls,mother,taught,themselves,The girls near the mother taught themselves . <eos>,The girls near the mother taught themselves .
9,simple,local,c-command,1,b,female,distractor,number,mothers,girl,taught,themselves,The mothers near the girl taught themselves . <eos>,The mothers near the girl taught themselves .
10,simple,local,c-command,1,a,male,none,none,boys,fathers,killed,themselves,The boys near the fathers killed themselves . <eos>,The boys near the fathers killed themselves .
10,simple,local,c-command,1,b,male,none,none,fathers,boys,killed,themselves,The fathers near the boys killed themselves . <eos>,The fathers near the boys killed themselves .
10,simple,local,c-command,1,a,female,none,none,girls,mothers,killed,themselves,The girls near the mothers killed themselves . <eos>,The girls near the mothers killed themselves .
10,simple,local,c-command,1,b,female,none,none,mothers,girls,killed,themselves,The mothers near the girls killed themselves . <eos>,The mothers near the girls killed themselves .
10,simple,local,no-c-command,0,a,male,head,number,boy,fathers,killed,themselves,The boy near the fathers killed themselves . <eos>,The boy near the fathers killed themselves .
10,simple,local,no-c-command,0,b,male,head,number,father,boys,killed,themselves,The father near the boys killed themselves . <eos>,The father near the boys killed themselves .
10,simple,local,no-c-command,0,a,female,head,number,girl,mothers,killed,themselves,The girl near the mothers killed themselves . <eos>,The girl near the mothers killed themselves .
10,simple,local,no-c-command,0,b,female,head,number,mother,girls,killed,themselves,The mother near the girls killed themselves . <eos>,The mother near the girls killed themselves .
10,simple,local,c-command,1,a,male,distractor,number,boys,father,killed,themselves,The boys near the father killed themselves . <eos>,The boys near the father killed themselves .
10,simple,local,c-command,1,b,male,distractor,number,fathers,boy,killed,themselves,The fathers near the boy killed themselves . <eos>,The fathers near the boy killed themselves .
10,simple,local,c-command,1,a,female,distractor,number,girls,mother,killed,themselves,The girls near the mother killed themselves . <eos>,The girls near the mother killed themselves .
10,simple,local,c-command,1,b,female,distractor,number,mothers,girl,killed,themselves,The mothers near the girl killed themselves . <eos>,The mothers near the girl killed themselves .
11,simple,local,c-command,1,a,male,none,none,boys,fathers,called,themselves,The boys near the fathers called themselves . <eos>,The boys near the fathers called themselves .
11,simple,local,c-command,1,b,male,none,none,fathers,boys,called,themselves,The fathers near the boys called themselves . <eos>,The fathers near the boys called themselves .
11,simple,local,c-command,1,a,female,none,none,girls,mothers,called,themselves,The girls near the mothers called themselves . <eos>,The girls near the mothers called themselves .
11,simple,local,c-command,1,b,female,none,none,mothers,girls,called,themselves,The mothers near the girls called themselves . <eos>,The mothers near the girls called themselves .
11,simple,local,no-c-command,0,a,male,head,number,boy,fathers,called,themselves,The boy near the fathers called themselves . <eos>,The boy near the fathers called themselves .
11,simple,local,no-c-command,0,b,male,head,number,father,boys,called,themselves,The father near the boys called themselves . <eos>,The father near the boys called themselves .
11,simple,local,no-c-command,0,a,female,head,number,girl,mothers,called,themselves,The girl near the mothers called themselves . <eos>,The girl near the mothers called themselves .
11,simple,local,no-c-command,0,b,female,head,number,mother,girls,called,themselves,The mother near the girls called themselves . <eos>,The mother near the girls called themselves .
11,simple,local,c-command,1,a,male,distractor,number,boys,father,called,themselves,The boys near the father called themselves . <eos>,The boys near the father called themselves .
11,simple,local,c-command,1,b,male,distractor,number,fathers,boy,called,themselves,The fathers near the boy called themselves . <eos>,The fathers near the boy called themselves .
11,simple,local,c-command,1,a,female,distractor,number,girls,mother,called,themselves,The girls near the mother called themselves . <eos>,The girls near the mother called themselves .
11,simple,local,c-command,1,b,female,distractor,number,mothers,girl,called,themselves,The mothers near the girl called themselves . <eos>,The mothers near the girl called themselves .
12,simple,local,c-command,1,a,male,none,none,boys,fathers,dedicated,themselves,The boys near the fathers dedicated themselves . <eos>,The boys near the fathers dedicated themselves .
12,simple,local,c-command,1,b,male,none,none,fathers,boys,dedicated,themselves,The fathers near the boys dedicated themselves . <eos>,The fathers near the boys dedicated themselves .
12,simple,local,c-command,1,a,female,none,none,girls,mothers,dedicated,themselves,The girls near the mothers dedicated themselves . <eos>,The girls near the mothers dedicated themselves .
12,simple,local,c-command,1,b,female,none,none,mothers,girls,dedicated,themselves,The mothers near the girls dedicated themselves . <eos>,The mothers near the girls dedicated themselves .
12,simple,local,no-c-command,0,a,male,head,number,boy,fathers,dedicated,themselves,The boy near the fathers dedicated themselves . <eos>,The boy near the fathers dedicated themselves .
12,simple,local,no-c-command,0,b,male,head,number,father,boys,dedicated,themselves,The father near the boys dedicated themselves . <eos>,The father near the boys dedicated themselves .
12,simple,local,no-c-command,0,a,female,head,number,girl,mothers,dedicated,themselves,The girl near the mothers dedicated themselves . <eos>,The girl near the mothers dedicated themselves .
12,simple,local,no-c-command,0,b,female,head,number,mother,girls,dedicated,themselves,The mother near the girls dedicated themselves . <eos>,The mother near the girls dedicated themselves .
12,simple,local,c-command,1,a,male,distractor,number,boys,father,dedicated,themselves,The boys near the father dedicated themselves . <eos>,The boys near the father dedicated themselves .
12,simple,local,c-command,1,b,male,distractor,number,fathers,boy,dedicated,themselves,The fathers near the boy dedicated themselves . <eos>,The fathers near the boy dedicated themselves .
12,simple,local,c-command,1,a,female,distractor,number,girls,mother,dedicated,themselves,The girls near the mother dedicated themselves . <eos>,The girls near the mother dedicated themselves .
12,simple,local,c-command,1,b,female,distractor,number,mothers,girl,dedicated,themselves,The mothers near the girl dedicated themselves . <eos>,The mothers near the girl dedicated themselves .
13,simple,local,c-command,1,a,male,none,none,boys,fathers,declared,themselves,The boys near the fathers declared themselves . <eos>,The boys near the fathers declared themselves .
13,simple,local,c-command,1,b,male,none,none,fathers,boys,declared,themselves,The fathers near the boys declared themselves . <eos>,The fathers near the boys declared themselves .
13,simple,local,c-command,1,a,female,none,none,girls,mothers,declared,themselves,The girls near the mothers declared themselves . <eos>,The girls near the mothers declared themselves .
13,simple,local,c-command,1,b,female,none,none,mothers,girls,declared,themselves,The mothers near the girls declared themselves . <eos>,The mothers near the girls declared themselves .
13,simple,local,no-c-command,0,a,male,head,number,boy,fathers,declared,themselves,The boy near the fathers declared themselves . <eos>,The boy near the fathers declared themselves .
13,simple,local,no-c-command,0,b,male,head,number,father,boys,declared,themselves,The father near the boys declared themselves . <eos>,The father near the boys declared themselves .
13,simple,local,no-c-command,0,a,female,head,number,girl,mothers,declared,themselves,The girl near the mothers declared themselves . <eos>,The girl near the mothers declared themselves .
13,simple,local,no-c-command,0,b,female,head,number,mother,girls,declared,themselves,The mother near the girls declared themselves . <eos>,The mother near the girls declared themselves .
13,simple,local,c-command,1,a,male,distractor,number,boys,father,declared,themselves,The boys near the father declared themselves . <eos>,The boys near the father declared themselves .
13,simple,local,c-command,1,b,male,distractor,number,fathers,boy,declared,themselves,The fathers near the boy declared themselves . <eos>,The fathers near the boy declared themselves .
13,simple,local,c-command,1,a,female,distractor,number,girls,mother,declared,themselves,The girls near the mother declared themselves . <eos>,The girls near the mother declared themselves .
13,simple,local,c-command,1,b,female,distractor,number,mothers,girl,declared,themselves,The mothers near the girl declared themselves . <eos>,The mothers near the girl declared themselves .
14,simple,local,c-command,1,a,male,none,none,boys,fathers,proved,themselves,The boys near the fathers proved themselves . <eos>,The boys near the fathers proved themselves .
14,simple,local,c-command,1,b,male,none,none,fathers,boys,proved,themselves,The fathers near the boys proved themselves . <eos>,The fathers near the boys proved themselves .
14,simple,local,c-command,1,a,female,none,none,girls,mothers,proved,themselves,The girls near the mothers proved themselves . <eos>,The girls near the mothers proved themselves .
14,simple,local,c-command,1,b,female,none,none,mothers,girls,proved,themselves,The mothers near the girls proved themselves . <eos>,The mothers near the girls proved themselves .
14,simple,local,no-c-command,0,a,male,head,number,boy,fathers,proved,themselves,The boy near the fathers proved themselves . <eos>,The boy near the fathers proved themselves .
14,simple,local,no-c-command,0,b,male,head,number,father,boys,proved,themselves,The father near the boys proved themselves . <eos>,The father near the boys proved themselves .
14,simple,local,no-c-command,0,a,female,head,number,girl,mothers,proved,themselves,The girl near the mothers proved themselves . <eos>,The girl near the mothers proved themselves .
14,simple,local,no-c-command,0,b,female,head,number,mother,girls,proved,themselves,The mother near the girls proved themselves . <eos>,The mother near the girls proved themselves .
14,simple,local,c-command,1,a,male,distractor,number,boys,father,proved,themselves,The boys near the father proved themselves . <eos>,The boys near the father proved themselves .
14,simple,local,c-command,1,b,male,distractor,number,fathers,boy,proved,themselves,The fathers near the boy proved themselves . <eos>,The fathers near the boy proved themselves .
14,simple,local,c-command,1,a,female,distractor,number,girls,mother,proved,themselves,The girls near the mother proved themselves . <eos>,The girls near the mother proved themselves .
14,simple,local,c-command,1,b,female,distractor,number,mothers,girl,proved,themselves,The mothers near the girl proved themselves . <eos>,The mothers near the girl proved themselves .
15,simple,local,c-command,1,a,male,none,none,boys,fathers,shot,themselves,The boys near the fathers shot themselves . <eos>,The boys near the fathers shot themselves .
15,simple,local,c-command,1,b,male,none,none,fathers,boys,shot,themselves,The fathers near the boys shot themselves . <eos>,The fathers near the boys shot themselves .
15,simple,local,c-command,1,a,female,none,none,girls,mothers,shot,themselves,The girls near the mothers shot themselves . <eos>,The girls near the mothers shot themselves .
15,simple,local,c-command,1,b,female,none,none,mothers,girls,shot,themselves,The mothers near the girls shot themselves . <eos>,The mothers near the girls shot themselves .
15,simple,local,no-c-command,0,a,male,head,number,boy,fathers,shot,themselves,The boy near the fathers shot themselves . <eos>,The boy near the fathers shot themselves .
15,simple,local,no-c-command,0,b,male,head,number,father,boys,shot,themselves,The father near the boys shot themselves . <eos>,The father near the boys shot themselves .
15,simple,local,no-c-command,0,a,female,head,number,girl,mothers,shot,themselves,The girl near the mothers shot themselves . <eos>,The girl near the mothers shot themselves .
15,simple,local,no-c-command,0,b,female,head,number,mother,girls,shot,themselves,The mother near the girls shot themselves . <eos>,The mother near the girls shot themselves .
15,simple,local,c-command,1,a,male,distractor,number,boys,father,shot,themselves,The boys near the father shot themselves . <eos>,The boys near the father shot themselves .
15,simple,local,c-command,1,b,male,distractor,number,fathers,boy,shot,themselves,The fathers near the boy shot themselves . <eos>,The fathers near the boy shot themselves .
15,simple,local,c-command,1,a,female,distractor,number,girls,mother,shot,themselves,The girls near the mother shot themselves . <eos>,The girls near the mother shot themselves .
15,simple,local,c-command,1,b,female,distractor,number,mothers,girl,shot,themselves,The mothers near the girl shot themselves . <eos>,The mothers near the girl shot themselves .
16,simple,local,c-command,1,a,male,none,none,boys,sons,saw,themselves,The boys near the sons saw themselves . <eos>,The boys near the sons saw themselves .
16,simple,local,c-command,1,b,male,none,none,sons,boys,saw,themselves,The sons near the boys saw themselves . <eos>,The sons near the boys saw themselves .
16,simple,local,c-command,1,a,female,none,none,girls,daughters,saw,themselves,The girls near the daughters saw themselves . <eos>,The girls near the daughters saw themselves .
16,simple,local,c-command,1,b,female,none,none,daughters,girls,saw,themselves,The daughters near the girls saw themselves . <eos>,The daughters near the girls saw themselves .
16,simple,local,no-c-command,0,a,male,head,number,boy,sons,saw,themselves,The boy near the sons saw themselves . <eos>,The boy near the sons saw themselves .
16,simple,local,no-c-command,0,b,male,head,number,son,boys,saw,themselves,The son near the boys saw themselves . <eos>,The son near the boys saw themselves .
16,simple,local,no-c-command,0,a,female,head,number,girl,daughters,saw,themselves,The girl near the daughters saw themselves . <eos>,The girl near the daughters saw themselves .
16,simple,local,no-c-command,0,b,female,head,number,daughter,girls,saw,themselves,The daughter near the girls saw themselves . <eos>,The daughter near the girls saw themselves .
16,simple,local,c-command,1,a,male,distractor,number,boys,son,saw,themselves,The boys near the son saw themselves . <eos>,The boys near the son saw themselves .
16,simple,local,c-command,1,b,male,distractor,number,sons,boy,saw,themselves,The sons near the boy saw themselves . <eos>,The sons near the boy saw themselves .
16,simple,local,c-command,1,a,female,distractor,number,girls,daughter,saw,themselves,The girls near the daughter saw themselves . <eos>,The girls near the daughter saw themselves .
16,simple,local,c-command,1,b,female,distractor,number,daughters,girl,saw,themselves,The daughters near the girl saw themselves . <eos>,The daughters near the girl saw themselves .
17,simple,local,c-command,1,a,male,none,none,boys,sons,established,themselves,The boys near the sons established themselves . <eos>,The boys near the sons established themselves .
17,simple,local,c-command,1,b,male,none,none,sons,boys,established,themselves,The sons near the boys established themselves . <eos>,The sons near the boys established themselves .
17,simple,local,c-command,1,a,female,none,none,girls,daughters,established,themselves,The girls near the daughters established themselves . <eos>,The girls near the daughters established themselves .
17,simple,local,c-command,1,b,female,none,none,daughters,girls,established,themselves,The daughters near the girls established themselves . <eos>,The daughters near the girls established themselves .
17,simple,local,no-c-command,0,a,male,head,number,boy,sons,established,themselves,The boy near the sons established themselves . <eos>,The boy near the sons established themselves .
17,simple,local,no-c-command,0,b,male,head,number,son,boys,established,themselves,The son near the boys established themselves . <eos>,The son near the boys established themselves .
17,simple,local,no-c-command,0,a,female,head,number,girl,daughters,established,themselves,The girl near the daughters established themselves . <eos>,The girl near the daughters established themselves .
17,simple,local,no-c-command,0,b,female,head,number,daughter,girls,established,themselves,The daughter near the girls established themselves . <eos>,The daughter near the girls established themselves .
17,simple,local,c-command,1,a,male,distractor,number,boys,son,established,themselves,The boys near the son established themselves . <eos>,The boys near the son established themselves .
